get metadata from header,parseDataReportFlag ok,parse metadata,infra.grpc.invoker,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Depts only have yunzhanghu,funName=concurrentNoPaging run task end,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,funName=DataCompose,parent node is not exist,no need or no have tags,computeAndCompare same,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,allNum=<:NUM:>,ClientEnvHandler is <:*:>,<:GIN:>,protection for <:*:> have compare <:NUM:>,no <:*:>,no page <:*:>,superiorAndDeputy empty,no page <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:ownDeptIDs:>,approve callback start,approve status error,svc.ApproveCallback failed,Response=<:MAP:>,message,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,msg,<:deptLeaderManageDeptIDs:>,<:listManageOrgReq:>,<:query signature:>,[GetBaseInfoByEmpID] db ge<:updateFanweiEmployee failed:>,GetBaseInfoByEmpID failed,protection for <:*:> done,query ge<:updateFanweiEmployee failed:>,build <:*:> reply,GetSupervisorPosition success,no api page resources,check failed,protection.ComputeAndDiff failed,error occurred in <:NewAccessRequest:>,callback status error,sign switch is off [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:YID:>,[GetAuthorizedDept] getAllDept success,dept inChargeSuperiors is empty,checkCheckPer<:updateFanweiEmployee failed:>,s.getAuthObject objects=[dealer id customer id],checkAndBuildListPermDataReq failed,ListFieldValues failed,p.svc.GetSingleYidSingleFieldPermDat<:updateFanweiEmployee failed:>,<:tagID:>,token check failed,timestamp
7512,7512,7515,7512,2873,81,251,222,81,81,205,205,81,203,0,81,81,29,2873,0,0,81,0,251,29,0,26,26,0,0,0,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:50:00
10284,10284,10281,10284,4073,48,287,263,48,48,238,238,48,236,0,48,48,24,4073,0,0,48,0,287,24,0,27,27,0,0,0,2,0,0,3,3,3,3,3,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:52:00
10280,10280,10281,10280,4065,48,292,263,48,48,239,239,48,237,0,48,48,29,4065,0,0,48,0,292,29,0,28,28,0,0,0,2,0,0,4,4,4,4,4,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:54:00
10277,10277,10280,10280,4066,48,289,261,48,48,242,242,48,237,0,48,48,28,4066,0,0,48,0,289,28,0,27,27,0,0,0,5,0,0,3,2,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:56:00
10278,10278,10275,10278,4057,46,296,262,46,46,241,241,46,236,0,46,46,34,4057,0,0,46,0,296,34,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:58:00
10284,10284,10284,10284,4074,48,279,261,48,48,241,241,48,237,0,48,48,18,4074,0,0,48,0,279,18,0,27,27,0,0,0,4,0,0,3,2,3,3,3,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:00:00
10180,10180,10181,10178,4005,48,284,260,48,48,239,239,48,235,0,48,48,24,4005,0,0,48,0,284,24,0,26,26,0,0,0,4,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:02:00
10229,10229,10228,10228,4046,48,283,265,48,48,241,241,48,236,0,48,48,18,4046,0,0,48,0,283,18,0,29,29,0,0,0,4,0,0,5,5,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2023-11-01 16:04:00
10189,10189,10190,10190,4010,48,289,261,48,48,240,240,48,236,0,48,48,28,4010,0,0,48,0,289,28,0,27,27,0,0,0,3,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:06:00
10292,10292,10291,10292,4074,46,278,261,46,46,241,241,46,236,0,46,46,17,4074,0,0,46,0,278,17,0,26,26,0,0,0,4,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:08:00
10259,10259,10259,10259,4054,48,289,262,48,48,238,238,48,237,0,48,48,27,4054,0,0,48,0,289,27,0,27,27,0,0,0,1,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:10:00
10287,10287,10286,10287,4065,48,294,264,48,48,240,240,48,236,0,48,48,30,4065,0,0,48,0,294,30,0,29,29,0,0,0,4,0,0,5,5,5,5,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:12:00
10335,10335,10336,10335,4088,48,281,263,48,48,247,247,48,238,0,48,48,18,4088,0,0,48,0,281,18,0,26,26,0,0,0,8,0,0,2,2,2,2,2,2,2,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:14:00
10214,10214,10217,10214,4038,48,277,261,48,48,239,239,48,234,0,48,48,16,4038,0,0,48,0,277,16,0,27,27,0,0,0,5,0,0,3,3,3,3,3,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:16:00
10247,10247,10243,10247,4047,48,279,259,48,48,238,238,48,236,0,48,48,20,4047,0,0,48,0,279,20,0,26,26,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:18:00
10311,10311,10311,10311,4072,48,295,265,48,48,243,243,48,238,0,48,48,30,4072,0,0,48,0,295,30,0,29,29,0,0,0,5,0,0,5,4,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:20:00
10200,10200,10201,10200,4011,48,281,260,48,48,241,241,48,235,0,48,48,21,4011,0,0,48,0,281,21,0,26,26,0,0,0,6,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:22:00
10281,10281,10283,10281,4058,47,285,261,46,46,243,243,46,236,0,46,47,24,4058,0,0,46,0,285,24,0,27,27,0,0,0,6,0,0,3,2,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:24:00
10293,10293,10291,10293,4063,47,291,262,48,48,243,243,48,238,0,48,47,29,4063,0,0,48,0,291,29,0,27,27,0,0,0,5,0,0,3,3,3,3,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:26:00
10286,10286,10286,10286,4064,48,283,263,48,48,242,242,48,236,0,48,48,20,4064,0,0,48,0,283,20,0,28,28,0,0,0,6,0,0,4,4,4,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:28:00
10327,10327,10327,10327,4086,48,282,263,48,48,243,243,48,238,0,48,48,19,4086,0,0,48,0,282,19,0,27,27,0,0,0,5,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:30:00
10244,10244,10245,10244,4046,48,277,260,48,48,240,240,48,235,0,48,48,17,4046,0,0,48,0,277,17,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:32:00
10321,10321,10322,10321,4078,48,292,266,48,48,242,242,48,238,0,48,48,26,4078,0,0,48,0,292,26,0,29,29,0,0,0,4,0,0,5,5,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:34:00
10352,10352,10349,10352,4094,48,292,264,48,48,243,243,48,238,0,48,48,28,4094,0,0,48,0,292,28,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:36:00
10238,10238,10238,10238,4038,46,284,260,46,46,246,246,46,236,0,46,46,24,4038,0,0,46,0,284,24,0,27,27,0,0,0,9,0,0,3,2,3,3,3,2,2,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:38:00
10212,10212,10212,10212,4030,48,287,260,48,48,243,243,48,234,0,48,48,27,4030,0,0,48,0,287,27,0,26,26,0,0,0,9,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:40:00
10233,10233,10234,10233,4035,48,279,263,48,48,242,242,48,237,0,48,48,16,4035,0,0,48,0,279,16,0,29,29,0,0,0,5,0,0,5,4,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:42:00
10299,10299,10298,10299,4059,48,294,262,48,48,248,248,48,238,0,48,48,32,4059,0,0,48,0,294,32,0,26,26,0,0,0,9,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:44:00
10297,10297,10300,10298,4061,48,291,261,48,48,242,242,48,237,0,48,48,30,4061,0,0,48,0,291,30,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:46:00
10300,10300,10299,10300,4069,48,288,263,48,48,241,241,48,236,0,48,48,25,4069,0,0,48,0,288,25,0,27,27,0,0,0,5,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:48:00
10239,10239,10237,10239,4034,48,289,263,48,48,239,239,48,236,0,48,48,26,4034,0,0,48,0,289,26,0,28,28,0,0,0,2,0,0,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:50:00
10272,10272,10274,10272,4058,47,283,261,46,46,238,238,46,237,0,46,47,22,4058,0,0,46,0,283,22,0,27,27,0,0,0,1,0,0,3,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:52:00
10311,10311,10311,10312,4076,47,287,262,48,48,239,239,48,238,0,48,47,25,4076,0,0,48,0,287,25,0,26,26,0,0,0,1,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:54:00
10318,10318,10318,10319,4076,48,288,262,48,48,241,241,48,236,0,48,48,26,4076,0,0,48,0,288,26,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:56:00
10297,10297,10295,10297,4069,48,286,265,48,48,242,242,48,238,0,48,48,21,4069,0,0,48,0,286,21,0,29,29,0,0,0,4,0,0,5,5,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 16:58:00
10291,10291,10291,10291,4057,48,292,260,48,48,241,241,48,236,0,48,48,32,4057,0,0,48,0,292,32,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:00:00
10266,10266,10267,10266,4041,48,300,263,48,48,245,245,48,237,0,48,48,37,4041,0,0,48,0,300,37,0,27,27,0,0,0,8,0,0,3,2,3,3,3,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:02:00
10291,10291,10290,10291,4060,48,289,261,48,48,241,241,48,236,0,48,48,28,4060,0,0,48,0,289,28,0,26,26,0,0,0,5,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:04:00
10264,10264,10264,10265,4063,46,294,262,46,46,239,239,46,236,0,46,46,32,4063,0,0,46,0,294,32,0,28,28,0,0,0,3,0,0,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:06:00
10278,10278,10278,10279,4061,48,284,263,48,48,240,240,48,237,0,48,48,21,4061,0,0,48,0,284,21,0,27,27,0,0,0,3,0,0,3,2,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:08:00
10268,10268,10269,10269,4050,48,288,259,48,48,240,240,48,236,0,48,48,29,4050,0,0,48,0,288,29,0,26,26,0,0,0,4,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:10:00
10332,10332,10333,10332,4084,48,297,266,48,48,241,241,48,238,0,48,48,31,4084,0,0,48,0,297,31,0,29,29,0,0,0,3,0,0,5,5,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:12:00
10323,10323,10322,10324,4079,48,292,262,48,48,238,238,48,236,0,48,48,30,4079,0,0,48,0,292,30,0,26,26,0,0,0,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:14:00
10291,10291,10290,10291,4062,48,283,261,48,48,244,244,48,238,0,48,48,22,4062,0,0,48,0,283,22,0,26,26,0,0,0,6,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:16:00
10307,10307,10308,10307,4074,48,288,263,48,48,242,242,48,236,0,48,48,25,4074,0,0,48,0,288,25,0,27,27,0,0,0,6,0,0,3,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:18:00
10280,10280,10281,10280,4059,47,286,262,47,47,241,241,47,237,0,47,47,24,4059,0,0,47,0,286,24,0,28,28,0,0,0,4,0,0,4,4,4,4,4,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:20:00
10197,10197,10196,10199,4013,47,289,262,47,47,243,243,47,236,0,47,47,27,4013,0,0,47,0,289,27,0,27,27,0,0,0,7,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:22:00
10213,10213,10213,10211,4025,48,282,260,48,48,242,242,48,236,0,48,48,22,4025,0,0,48,0,282,22,0,26,26,0,0,0,6,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:24:00
10250,10250,10249,10251,4043,48,292,262,48,48,238,238,48,236,0,48,48,30,4043,0,0,48,0,292,30,0,26,26,0,0,0,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:26:00
10278,10278,10282,10278,4057,48,296,263,48,48,239,239,48,237,0,48,48,33,4057,0,0,48,0,296,33,0,29,29,0,0,0,2,0,0,5,4,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:28:00
10168,10168,10165,10168,4012,46,280,258,46,46,237,237,46,234,0,46,46,22,4012,0,0,46,0,280,22,0,25,25,0,0,0,3,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:30:00
10316,10316,10315,10317,4078,48,391,261,48,48,248,248,48,238,0,48,48,130,4078,0,0,48,0,391,130,0,26,26,0,0,0,9,0,0,2,2,2,2,2,2,2,2,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 17:32:00
