<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,RecordThirdPartyCost,begin Consume call,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,receive <:*:>,deal<:SmsCallback:>,dealSmsCallback complete <:callback:>,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,PushSmsOrderResult: <:result:>,getAppSmsLimit <:*:> not exist,not find dictionary type=<:NUM:>,scCallBack receive <:request:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,WeChatMsg Send WechatMsg <:*:> <:*:> <:overLimit:>,<:dealMailCallback:>,dealMailCallback complete <:callback:>,send by <:*:> OrderID=<:SEQ:>,PushMailSendResult: <:result:>,scCallBack DealCallBack <:event:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,begin <:*:>,use preferred orderID=<:SEQ:> <:channel:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,SendWeChatMsg <:*:>,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,<:NUM:> <:*:>,load <:*:> config ok,dealSmsCallback dealSmsCallbackRetry <:order:>,juhe sendSms <:rs:>,ykmsymsg <:*:> start kms,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,version,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,waiting task controller finished,task controller finished,dao close finished,msg,timestamp,unknown
978,961,983,906,88,52,9,15,19,19,43,16,6,71,18,67,67,9,9,21,9,9,9,9,9,9,9,9,9,3,5,9,6,3,0,2,1,1,1,1,2,1,70,2023-10-05 10:03:24,37
929,919,917,881,33,10,11,15,14,14,9,14,2,30,4,21,21,3,3,12,3,3,0,1,1,1,1,1,1,3,5,0,0,0,1,0,1,0,0,0,0,0,21,2023-10-05 10:05:24,4
955,945,1186,869,34,0,15,18,16,16,0,16,3,41,0,19,19,0,0,15,0,0,0,0,0,0,0,0,4,4,5,7,6,0,2,2,0,1,1,1,2,1,22,2023-10-05 10:07:24,4
940,935,1019,985,41,24,11,9,9,9,20,8,5,45,11,25,25,7,7,16,7,7,1,4,4,4,4,4,10,2,5,8,6,1,0,2,1,1,1,1,2,1,28,2023-10-05 10:09:24,2
997,988,1482,987,65,132,13,13,13,13,110,12,4,45,46,29,29,24,24,36,24,24,0,22,22,22,22,22,11,7,5,8,6,1,0,2,1,1,1,1,2,1,32,2023-10-05 10:11:24,2
947,936,522,489,36,12,15,14,14,14,10,14,6,56,5,19,19,3,3,17,3,3,1,2,2,2,2,2,3,7,5,0,0,0,0,0,1,0,0,0,0,0,19,2023-10-05 10:13:24,2
926,916,29,0,32,6,10,13,13,13,5,12,6,45,2,20,20,1,1,12,1,1,0,1,1,1,1,1,4,5,5,9,6,1,0,2,1,1,1,1,2,1,23,2023-10-05 10:15:24,2
953,949,315,0,30,6,12,12,12,12,5,11,3,41,2,16,16,1,1,14,1,1,1,1,1,1,1,1,0,2,5,7,6,1,0,2,0,1,1,1,2,1,19,2023-10-05 10:17:24,3
922,914,25,0,27,6,11,15,15,15,5,13,5,30,2,13,13,1,1,14,1,1,1,1,1,1,1,1,2,5,5,0,0,2,0,0,1,0,0,0,0,0,13,2023-10-05 10:19:24,2
943,937,309,0,24,6,8,8,8,8,5,7,1,45,2,14,14,1,1,10,1,1,0,1,1,1,1,1,0,3,5,8,6,1,0,2,1,1,1,1,2,1,17,2023-10-05 10:21:24,2
923,920,29,0,33,4,12,10,10,10,3,10,2,71,1,20,20,0,0,13,0,0,0,1,1,1,1,1,5,3,5,7,6,0,0,2,1,1,1,1,2,1,23,2023-10-05 10:23:24,1
952,946,365,318,53,60,18,19,19,19,51,19,5,45,27,26,26,18,18,27,18,18,1,9,9,9,9,9,5,2,5,8,6,0,0,2,1,1,1,1,2,1,29,2023-10-05 10:25:24,6
968,962,1184,869,31,50,6,8,8,8,42,8,3,26,19,16,16,11,11,15,11,11,0,8,8,8,8,8,2,3,5,0,0,1,0,0,0,0,0,0,0,0,16,2023-10-05 10:27:24,6
968,963,993,962,50,78,10,10,10,10,65,10,3,45,36,27,27,23,23,23,23,23,0,13,13,13,13,13,19,5,5,4,6,0,0,2,1,1,1,1,2,1,30,2023-10-05 10:29:24,5
948,944,1155,838,36,12,12,13,13,13,10,11,4,45,4,20,20,2,2,16,2,2,1,2,2,2,2,2,6,2,5,8,6,2,0,2,1,1,1,1,2,1,23,2023-10-05 10:31:24,2
933,923,900,871,30,0,14,16,16,16,0,16,6,56,0,16,16,0,0,14,0,0,2,0,0,0,0,0,1,3,5,0,0,0,1,0,1,0,0,0,0,0,16,2023-10-05 10:33:24,2
928,922,896,862,37,18,13,12,11,11,15,11,5,45,6,21,21,3,3,16,3,3,0,3,3,3,3,3,3,3,5,8,6,0,0,2,1,1,1,1,2,1,24,2023-10-05 10:35:24,2
955,947,1167,849,38,0,19,17,18,18,0,18,3,41,0,19,19,0,0,19,0,0,0,0,0,0,0,0,6,6,5,9,6,0,1,2,0,1,1,1,2,1,22,2023-10-05 10:37:24,4
926,917,906,885,21,22,8,9,9,9,18,8,2,45,7,9,9,3,3,12,3,3,0,4,4,4,4,4,2,6,5,8,6,0,0,2,1,1,1,1,2,1,12,2023-10-05 10:39:24,2
984,973,1183,863,52,32,16,15,15,15,27,15,5,30,11,31,31,6,6,21,6,6,0,5,5,5,5,5,22,6,5,0,0,0,0,0,1,0,0,0,0,0,31,2023-10-05 10:41:24,6
936,928,934,905,33,6,15,17,17,17,5,16,8,71,2,16,16,1,1,17,1,1,0,1,1,1,1,1,6,4,5,8,6,1,0,2,1,1,1,1,2,1,19,2023-10-05 10:43:24,2
924,917,1067,863,38,0,14,14,14,14,0,13,6,45,0,23,23,0,0,15,0,0,0,0,0,0,0,0,3,4,5,8,6,1,0,2,1,1,1,1,2,1,26,2023-10-05 10:45:24,2
952,947,1015,873,30,6,12,12,12,12,5,12,2,26,2,17,17,1,1,13,1,1,0,1,1,1,1,1,4,4,5,0,0,0,0,0,0,0,0,0,0,0,17,2023-10-05 10:47:24,2
919,910,1016,985,33,0,18,20,19,19,0,19,2,45,0,15,15,0,0,18,0,0,0,0,0,0,0,0,2,6,5,9,6,0,1,2,1,1,1,1,2,1,18,2023-10-05 10:49:24,3
972,965,1295,995,39,6,9,10,10,10,5,10,2,45,2,29,29,1,1,10,1,1,1,1,1,1,1,1,25,3,5,9,6,0,1,2,1,1,1,1,2,1,32,2023-10-05 10:51:24,2
945,938,529,508,22,6,16,14,14,14,5,14,5,71,2,5,5,1,1,17,1,1,0,1,1,1,1,1,1,3,5,8,6,0,0,2,1,1,1,1,2,1,8,2023-10-05 10:53:24,2
914,905,294,0,38,12,24,22,22,22,10,21,8,30,4,11,11,2,2,27,2,2,1,2,2,2,2,2,3,7,5,0,0,1,0,0,1,0,0,0,0,0,11,2023-10-05 10:55:24,2
957,952,58,0,36,12,11,14,14,14,10,15,6,41,5,23,23,3,3,13,3,3,0,2,2,2,2,2,6,3,5,8,6,0,0,2,0,1,1,1,2,1,26,2023-10-05 10:57:24,3
919,911,31,0,34,0,16,15,15,15,0,14,11,45,0,17,17,0,0,17,0,0,1,0,0,0,0,0,4,4,5,8,6,1,0,2,1,1,1,1,2,1,20,2023-10-05 10:59:24,2
968,953,323,0,39,6,22,27,27,27,5,24,12,30,9,15,15,8,8,24,8,8,1,1,1,1,1,1,4,8,5,0,0,1,0,0,1,0,0,0,0,0,15,2023-10-05 11:01:24,2
942,938,31,0,36,6,10,10,10,10,5,9,4,71,2,24,24,1,1,12,1,1,0,1,1,1,1,1,4,2,5,8,6,1,0,2,1,1,1,1,2,1,27,2023-10-05 11:03:24,2
916,905,527,321,36,0,20,16,16,16,0,15,5,45,0,15,15,4,4,21,4,0,1,0,0,0,0,0,1,5,5,9,6,1,0,2,1,1,1,1,2,1,18,2023-10-05 11:05:24,6
947,941,994,855,24,0,8,12,12,12,0,12,5,41,0,16,16,0,0,8,0,0,0,0,0,0,0,0,2,3,5,8,6,0,0,2,0,1,1,1,2,1,19,2023-10-05 11:07:24,2
917,911,988,966,21,0,9,10,10,10,0,10,2,30,0,12,12,0,0,9,0,0,0,0,0,0,0,0,3,4,5,0,0,0,1,0,1,0,0,0,0,0,12,2023-10-05 11:09:24,4
960,953,1174,851,35,26,15,14,14,14,22,14,4,45,9,16,16,5,5,19,5,5,3,4,4,4,4,4,4,2,5,7,6,0,0,2,1,1,1,1,2,1,19,2023-10-05 11:11:24,3
954,946,920,883,44,24,14,17,17,17,20,14,4,71,8,23,23,4,4,21,4,4,2,4,4,4,4,4,5,3,5,5,6,3,0,2,1,1,1,1,2,1,26,2023-10-05 11:13:24,2
924,913,1056,854,38,12,15,16,16,16,10,14,3,30,5,19,19,3,3,19,3,3,1,2,2,2,2,2,4,6,5,0,0,2,2,0,1,0,0,0,0,0,19,2023-10-05 11:15:24,2
953,949,982,847,18,6,5,6,6,6,5,6,1,41,5,12,12,4,4,6,4,4,0,1,1,1,1,1,0,2,5,8,6,0,0,2,0,1,1,1,2,1,15,2023-10-05 11:17:24,3
932,925,924,878,45,42,16,15,15,15,35,14,4,45,20,21,21,13,13,24,13,13,1,7,7,7,7,7,0,4,5,2,6,1,0,2,1,1,1,1,2,1,24,2023-10-05 11:19:24,2
951,949,1190,880,24,18,3,4,4,4,15,4,2,45,11,18,18,8,8,6,8,8,0,3,3,3,3,3,1,1,5,5,6,0,0,2,1,1,1,1,2,1,21,2023-10-05 11:21:24,2
948,940,950,921,30,18,7,12,12,12,15,12,3,56,6,20,20,3,3,10,3,3,0,3,3,3,3,3,1,2,5,0,0,0,0,0,1,0,0,0,0,0,20,2023-10-05 11:23:24,2
915,910,1078,882,31,6,5,6,6,6,5,5,1,45,2,24,24,1,1,7,1,1,2,1,1,1,1,1,4,2,5,9,6,1,0,2,1,1,1,1,2,1,27,2023-10-05 11:25:24,2
947,937,1028,877,36,12,17,19,19,19,10,18,4,41,4,16,16,2,2,20,2,2,0,2,2,2,2,2,0,7,5,7,6,1,0,2,0,1,1,1,2,1,19,2023-10-05 11:27:24,2
933,926,1007,984,40,6,11,12,12,12,5,12,10,30,2,27,27,1,1,13,1,1,0,1,1,1,1,1,17,0,5,0,0,1,0,0,1,0,0,0,0,0,27,2023-10-05 11:29:24,4
949,945,1301,976,43,6,24,13,13,13,5,13,9,45,2,18,18,1,1,25,1,1,0,1,1,1,1,1,7,3,5,8,6,0,0,2,1,1,1,1,2,1,21,2023-10-05 11:31:24,2
973,945,501,471,31,24,8,16,16,16,20,16,5,71,8,19,19,20,20,12,20,4,1,4,4,4,4,4,2,8,5,9,6,0,0,2,1,1,1,1,2,1,22,2023-10-05 11:33:24,19
931,927,198,0,30,6,10,10,10,10,5,9,2,45,2,18,18,1,1,12,1,1,1,1,1,1,1,1,1,2,5,9,6,1,0,2,1,1,1,1,2,1,21,2023-10-05 11:35:24,2
945,943,139,0,28,18,5,8,7,7,15,6,3,26,19,19,19,16,16,9,16,16,0,3,3,3,3,3,5,1,5,0,0,1,0,0,0,0,0,0,0,0,19,2023-10-05 11:37:24,2
928,916,31,0,29,6,15,15,16,16,5,16,3,45,2,13,13,1,1,16,1,1,0,1,1,1,1,1,0,7,5,9,6,0,0,2,1,1,1,1,2,1,16,2023-10-05 11:39:24,2
958,952,312,0,45,12,12,10,10,10,10,10,6,45,4,31,31,2,2,14,2,2,2,2,2,2,2,2,21,3,5,3,6,0,0,2,1,1,1,1,2,1,34,2023-10-05 11:41:24,2
943,939,20,0,17,12,4,6,6,6,10,5,1,56,4,10,10,2,2,7,2,2,0,2,2,2,2,2,1,1,5,0,0,1,0,0,1,0,0,0,0,0,10,2023-10-05 11:43:24,2
934,928,444,312,40,0,11,11,11,11,0,11,5,45,0,29,29,0,0,11,0,0,0,0,0,0,0,0,14,2,5,9,6,0,0,2,1,1,1,1,2,1,32,2023-10-05 11:45:24,2
963,948,1077,857,51,24,23,28,28,28,20,26,6,41,8,21,21,4,4,30,4,4,2,4,4,4,4,4,8,9,5,9,6,2,1,2,0,1,1,1,2,1,24,2023-10-05 11:47:24,9
918,914,1015,989,31,0,14,14,14,14,0,14,2,45,0,17,17,0,0,14,0,0,0,0,0,0,0,0,6,3,5,6,6,0,0,2,1,1,1,1,2,1,20,2023-10-05 11:49:24,2
948,942,1140,841,19,0,10,9,9,9,0,9,4,30,0,9,9,0,0,10,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,1,0,0,0,0,0,9,2023-10-05 11:51:24,2
950,939,911,892,20,12,11,12,11,11,10,10,5,71,4,6,6,4,4,14,4,2,0,2,2,2,2,2,0,3,5,7,6,1,1,2,1,1,1,1,2,1,9,2023-10-05 11:53:24,6
923,916,998,861,20,0,10,12,12,12,0,11,7,45,0,9,9,0,0,11,0,0,0,0,0,0,0,0,2,3,5,9,6,1,0,2,1,1,1,1,2,1,12,2023-10-05 11:55:24,2
934,929,1037,843,28,12,9,8,8,8,10,8,4,26,5,17,17,3,3,11,3,3,0,2,2,2,2,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,17,2023-10-05 11:57:24,2
920,911,923,895,26,6,13,15,15,15,5,16,1,45,2,12,12,1,1,14,1,1,1,1,1,1,1,1,1,7,5,9,6,0,0,2,1,1,1,1,2,1,15,2023-10-05 11:59:24,2
956,951,1176,867,27,6,6,8,7,7,5,6,4,45,3,19,19,2,2,8,2,2,0,1,1,1,1,1,6,1,5,9,6,1,1,2,1,1,1,1,2,1,22,2023-10-05 12:01:24,3
942,937,924,895,32,6,5,5,5,5,5,5,1,71,2,26,26,1,1,6,1,1,0,1,1,1,1,1,3,3,5,8,6,0,1,2,1,1,1,1,2,1,29,2023-10-05 12:03:24,2
925,918,917,885,34,6,12,12,12,12,5,11,5,30,3,20,20,2,2,14,2,2,0,1,1,1,1,1,4,6,5,0,0,1,0,0,1,0,0,0,0,0,20,2023-10-05 12:05:24,3
946,940,1185,871,34,12,11,10,10,10,10,10,5,41,4,21,21,2,2,13,2,2,1,2,2,2,2,2,7,4,5,9,6,0,1,2,0,1,1,1,2,1,24,2023-10-05 12:07:24,2
915,909,1010,990,17,0,6,9,9,9,0,9,3,45,0,11,11,0,0,6,0,0,0,0,0,0,0,0,1,1,5,9,6,0,0,2,1,1,1,1,2,1,14,2023-10-05 12:09:24,2
953,946,1306,992,30,6,11,9,9,9,5,9,1,30,2,18,18,1,1,12,1,1,0,1,1,1,1,1,7,5,5,0,0,0,0,0,1,0,0,0,0,0,18,2023-10-05 12:11:24,2
947,942,490,456,37,12,14,15,15,15,10,14,4,71,4,20,20,2,2,17,2,2,0,2,2,2,2,2,3,1,5,8,6,1,0,2,1,1,1,1,2,1,23,2023-10-05 12:13:24,2
928,924,23,0,26,0,8,9,9,9,0,9,4,45,0,18,18,0,0,8,0,0,0,0,0,0,0,0,3,4,5,8,6,0,0,2,1,1,1,1,2,1,21,2023-10-05 12:15:24,2
958,950,322,0,42,24,20,18,18,18,20,17,8,41,11,17,17,7,7,25,7,7,0,4,4,4,4,4,5,3,5,4,6,1,0,2,0,1,1,1,2,1,20,2023-10-05 12:17:24,2
919,910,23,0,26,30,5,11,11,11,25,10,2,30,10,16,16,5,5,10,5,5,0,5,5,5,5,5,5,1,5,0,0,0,0,0,1,0,0,0,0,0,16,2023-10-05 12:19:24,3
945,940,311,0,27,0,9,9,9,9,0,9,4,45,0,18,18,0,0,9,0,0,0,0,0,0,0,0,2,3,5,8,6,0,0,2,1,1,1,1,2,1,21,2023-10-05 12:21:24,2
953,943,31,0,41,0,17,18,18,18,0,16,8,71,0,22,22,0,0,19,0,0,1,0,0,0,0,0,8,7,5,9,6,2,0,2,1,1,1,1,2,1,25,2023-10-05 12:23:24,2
923,921,343,320,30,0,4,5,5,5,0,5,2,30,0,26,26,0,0,4,0,0,0,0,0,0,0,0,7,1,5,0,0,0,0,0,1,0,0,0,0,0,26,2023-10-05 12:25:24,2
950,944,1179,869,25,6,10,9,9,9,5,9,5,41,2,14,14,1,1,11,1,1,0,1,1,1,1,1,1,4,5,8,6,0,0,2,0,1,1,1,2,1,17,2023-10-05 12:27:24,4
940,936,1002,974,50,60,8,11,11,11,50,11,6,45,20,31,31,10,10,19,10,10,0,10,10,10,10,10,22,0,5,8,6,1,0,2,1,1,1,1,2,1,34,2023-10-05 12:29:24,3
967,956,1152,836,33,36,11,15,15,15,30,15,3,45,12,16,16,6,6,17,6,6,0,6,6,6,6,6,6,8,5,7,6,0,0,2,1,1,1,1,2,1,19,2023-10-05 12:31:24,2
947,938,909,882,31,0,13,13,13,13,0,13,6,56,0,18,18,0,0,13,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,1,0,0,0,0,0,18,2023-10-05 12:33:24,2
928,925,899,876,30,6,6,5,5,5,5,5,2,45,2,23,23,1,1,7,1,1,0,1,1,1,1,1,7,2,5,8,6,0,0,2,1,1,1,1,2,1,26,2023-10-05 12:35:24,2
951,947,1147,835,32,6,12,9,9,9,5,9,5,41,2,19,19,1,1,13,1,1,0,1,1,1,1,1,6,3,5,9,6,0,0,2,0,1,1,1,2,1,22,2023-10-05 12:37:24,2
940,898,1033,864,202,0,160,191,191,191,0,158,187,30,0,9,9,0,0,193,0,0,10,0,0,0,0,0,2,6,5,0,0,33,0,0,1,0,0,0,0,0,9,2023-10-05 12:39:24,2
969,963,1173,865,46,0,10,11,11,11,0,11,2,45,0,36,36,0,0,10,0,0,0,0,0,0,0,0,26,3,5,3,6,0,1,2,1,1,1,1,2,1,39,2023-10-05 12:41:24,2
954,946,935,905,32,18,16,17,17,17,15,16,4,71,6,12,12,4,4,20,4,3,0,3,3,3,3,3,5,2,5,8,6,1,0,2,1,1,1,1,2,1,15,2023-10-05 12:43:24,3
935,918,895,856,47,6,23,25,25,25,5,21,8,45,2,19,19,1,1,28,1,1,0,1,1,1,1,1,4,13,5,9,6,4,0,2,1,1,1,1,2,1,22,2023-10-05 12:45:24,2
950,946,1173,870,23,0,6,6,6,6,0,6,3,26,0,17,17,0,0,6,0,0,0,0,0,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,17,2023-10-05 12:47:24,2
910,905,1034,1010,28,6,12,11,11,11,5,11,2,45,2,15,15,1,1,13,1,1,0,1,1,1,1,1,4,4,5,8,6,0,0,2,1,1,1,1,2,1,18,2023-10-05 12:49:24,2
950,943,1296,993,20,6,10,10,10,10,5,10,4,45,4,9,9,3,3,11,3,3,2,1,1,1,1,1,4,1,5,7,6,0,1,2,1,1,1,1,2,1,12,2023-10-05 12:51:24,2
945,941,503,491,16,6,8,6,6,6,5,6,1,56,2,7,7,1,1,9,1,1,0,1,1,1,1,1,4,3,5,0,0,0,1,0,1,0,0,0,0,0,7,2023-10-05 12:53:24,2
932,927,26,0,31,24,16,17,17,17,20,15,5,45,8,9,9,4,4,22,4,4,0,4,4,4,4,4,3,2,5,8,6,2,0,2,1,1,1,1,2,1,12,2023-10-05 12:55:24,2
952,943,319,0,34,12,13,14,13,13,10,12,6,41,4,18,18,2,2,16,2,2,0,2,2,2,2,2,0,3,5,3,6,1,2,2,0,1,1,1,2,1,21,2023-10-05 12:57:24,3
929,911,43,0,45,0,28,34,34,34,0,33,6,45,0,16,16,0,0,29,0,0,2,0,0,0,0,0,2,9,5,8,6,1,0,2,1,1,1,1,2,1,19,2023-10-05 12:59:24,3
946,933,306,0,29,6,5,14,14,14,5,6,4,30,2,23,23,2,2,6,2,1,10,1,1,1,1,1,10,2,5,0,0,0,0,0,1,0,0,0,0,0,23,2023-10-05 13:01:24,4
986,973,68,0,61,76,25,26,26,26,63,26,3,71,30,23,23,17,17,38,17,17,1,13,13,13,13,13,8,3,5,9,6,0,0,2,1,1,1,1,2,1,26,2023-10-05 13:03:24,3
918,916,350,323,25,2,6,6,6,6,2,6,2,45,1,19,19,1,1,6,1,1,0,0,0,0,0,0,2,1,5,7,6,0,0,2,1,1,1,1,2,1,22,2023-10-05 13:05:24,3
955,951,1163,851,31,6,9,8,8,8,5,8,4,26,2,21,21,1,1,10,1,1,1,1,1,1,1,1,6,3,5,0,0,0,1,0,0,0,0,0,0,0,21,2023-10-05 13:07:24,2
916,908,991,969,21,0,7,10,10,10,0,8,5,45,0,12,12,0,0,9,0,0,3,0,0,0,0,0,1,3,5,9,6,2,0,2,1,1,1,1,2,1,15,2023-10-05 13:09:24,2
940,930,1155,830,41,12,18,19,19,19,10,18,10,45,4,20,20,2,2,21,2,2,0,2,2,2,2,2,6,6,5,6,6,1,0,2,1,1,1,1,2,1,23,2023-10-05 13:11:24,2
958,952,927,883,46,40,17,14,14,14,33,13,6,71,14,21,21,7,7,25,7,7,0,7,7,7,7,7,3,2,5,9,6,1,1,2,1,1,1,1,2,1,24,2023-10-05 13:13:24,3
926,917,862,837,28,2,9,13,13,13,2,12,7,30,1,18,18,1,1,10,1,1,0,0,0,0,0,0,2,4,5,0,0,1,0,0,1,0,0,0,0,0,18,2023-10-05 13:15:24,2
953,947,1172,860,31,6,14,12,12,12,5,10,5,41,2,14,14,1,1,17,1,1,0,1,1,1,1,1,3,4,5,9,6,2,0,2,0,1,1,1,2,1,17,2023-10-05 13:17:24,2
932,913,902,865,40,6,24,25,26,26,5,25,5,45,2,14,14,1,1,26,1,1,1,1,1,1,1,1,4,12,5,4,6,1,1,2,1,1,1,1,2,1,17,2023-10-05 13:19:24,7
936,930,1215,905,26,6,9,10,10,10,5,10,3,30,2,16,16,1,1,10,1,1,3,1,1,1,1,1,2,3,5,0,0,0,0,0,1,0,0,0,0,0,16,2023-10-05 13:21:24,2
941,939,953,928,27,12,7,6,6,6,10,6,2,71,4,18,18,2,2,9,2,2,0,2,2,2,2,2,3,2,5,7,6,0,0,2,1,1,1,1,2,1,21,2023-10-05 13:23:24,3
925,919,919,894,30,0,5,7,7,7,0,7,2,45,0,25,25,0,0,5,0,0,0,0,0,0,0,0,5,5,5,8,6,0,0,2,1,1,1,1,2,1,28,2023-10-05 13:25:24,2
945,943,1181,875,20,6,6,4,4,4,5,4,3,41,2,13,13,1,1,7,1,1,1,1,1,1,1,1,0,1,5,8,6,0,0,2,0,1,1,1,2,1,16,2023-10-05 13:27:24,2
935,925,999,980,37,0,10,13,13,13,0,12,6,30,0,26,26,0,0,11,0,0,1,0,0,0,0,0,17,3,5,0,0,1,0,0,1,0,0,0,0,0,26,2023-10-05 13:29:24,2
937,932,1295,982,30,6,11,9,8,8,5,8,9,45,2,17,17,1,1,13,1,1,0,1,1,1,1,1,6,2,5,9,6,1,0,2,1,1,1,1,2,1,20,2023-10-05 13:31:24,5
948,936,491,464,34,0,12,20,21,21,0,16,12,71,0,17,17,0,0,17,0,0,1,0,0,0,0,0,2,1,5,8,6,5,0,2,1,1,1,1,2,1,20,2023-10-05 13:33:24,2
935,924,213,0,45,6,25,23,23,23,5,23,6,30,8,19,19,7,7,26,7,7,0,1,1,1,1,1,2,9,5,0,0,0,0,0,1,0,0,0,0,0,19,2023-10-05 13:35:24,3
957,950,141,0,32,6,10,12,12,12,5,12,3,41,2,21,21,1,1,11,1,1,1,1,1,1,1,1,7,3,5,9,6,0,0,2,0,1,1,1,2,1,24,2023-10-05 13:37:24,3
913,907,18,0,16,0,8,9,8,8,0,8,3,45,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,3,5,9,6,0,1,2,1,1,1,1,2,1,11,2023-10-05 13:39:24,3
969,960,309,0,43,0,13,20,20,20,0,20,3,45,0,30,30,0,0,13,0,0,2,0,0,0,0,0,22,5,5,9,6,0,0,2,1,1,1,1,2,1,33,2023-10-05 13:41:24,2
931,925,23,0,19,12,8,10,10,10,10,10,2,56,4,9,9,2,2,10,2,2,1,2,2,2,2,2,0,3,5,0,0,0,0,0,1,0,0,0,0,0,9,2023-10-05 13:43:24,1
