get metadata from header,parseDataReportFlag ok,parse metadata,infra.grpc.invoker,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Depts only have yunzhanghu,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,superiorAndDeputy empty,approve callback start,approve status error,svc.ApproveCallback failed,Response=<:MAP:>,message,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown
11255,11255,11256,11258,4075,171,438,394,171,171,387,387,171,379,170,171,44,4075,171,438,44,27,27,7,3,3,3,3,3,2,2,2,1,2023-11-02 12:00:00,0
11059,11059,11058,11059,4004,186,440,394,186,186,384,384,186,373,187,186,46,4004,186,440,46,27,27,10,3,3,3,3,3,2,2,2,1,2023-11-02 12:02:00,0
11266,11266,11266,11266,4074,203,464,417,203,203,370,370,203,359,203,203,47,4074,203,464,47,28,28,10,4,4,4,4,4,2,2,2,1,2023-11-02 12:04:00,4
11229,11229,11231,11229,4042,175,468,409,175,175,387,387,175,374,175,175,59,4042,175,468,59,30,30,12,6,6,6,6,6,2,2,2,1,2023-11-02 12:06:00,0
11233,11233,11230,11233,4062,171,449,400,171,171,392,392,171,384,171,171,49,4062,171,449,49,30,30,7,4,3,4,5,4,2,2,2,1,2023-11-02 12:08:00,4
11259,11259,11260,11259,4070,176,457,410,176,176,385,385,176,371,176,176,47,4070,176,457,47,27,27,13,3,3,3,3,3,2,2,2,1,2023-11-02 12:10:00,3
11310,11310,11310,11309,4100,189,511,411,189,189,384,384,189,377,189,189,100,4100,189,511,49,29,29,7,4,3,4,5,5,2,2,2,0,2023-11-02 12:12:00,54
11230,11230,11229,11230,4062,196,435,396,196,196,374,374,196,369,196,196,39,4062,196,435,39,30,30,5,6,6,6,6,6,2,2,2,0,2023-11-02 12:14:00,0
11274,11274,11275,11274,4085,195,451,406,195,195,380,380,195,371,195,195,45,4085,195,451,45,28,28,9,4,4,4,4,4,2,2,2,0,2023-11-02 12:16:00,0
11316,11316,11317,11316,4097,179,445,394,179,179,385,385,179,379,179,179,51,4097,179,445,51,27,27,6,3,3,3,3,3,2,2,2,0,2023-11-02 12:18:00,3
11233,11233,11236,11233,4070,184,462,411,184,184,378,378,184,365,184,185,51,4070,184,462,51,31,31,13,7,7,7,7,7,2,2,2,0,2023-11-02 12:20:00,0
7532,7532,7527,7532,2089,1663,962,593,953,953,254,254,555,243,202,184,690,2840,953,962,39,26,26,10,3,3,3,3,3,2,2,2,1,2023-11-02 12:22:00,2741
2803,2803,2801,2803,0,5308,1821,949,1898,1899,128,128,976,119,164,164,1690,1734,1787,1821,56,26,26,9,3,3,3,3,3,2,2,2,0,2023-11-02 12:24:00,5347
1032,1032,1031,1032,0,2890,198,148,325,324,145,145,174,133,174,174,50,151,174,198,50,28,28,11,4,4,4,4,4,2,2,2,1,2023-11-02 12:26:00,2832
1026,1026,1026,1026,0,2830,225,172,314,314,137,137,166,128,166,166,53,148,166,225,53,30,30,9,6,6,6,6,6,2,2,2,0,2023-11-02 12:28:00,2813
1053,1053,1054,1053,0,2843,186,140,310,310,152,152,161,140,161,161,46,149,161,186,46,28,28,12,4,3,4,4,4,2,2,2,0,2023-11-02 12:30:00,2839
1064,1064,1063,1064,0,1685,209,153,423,423,138,138,246,129,158,158,56,265,334,209,56,27,27,9,3,3,3,3,3,2,2,2,0,2023-11-02 12:32:00,1814
1225,1225,1225,1225,0,208,281,211,208,208,194,194,208,174,208,208,70,0,208,281,70,38,38,17,7,6,7,7,7,2,2,2,3,2023-11-02 12:34:00,1
953,953,953,953,0,159,220,170,159,159,145,145,159,132,159,159,50,0,159,220,50,30,30,12,6,6,6,6,6,2,2,2,1,2023-11-02 12:36:00,0
963,963,963,963,0,174,211,161,174,174,141,141,174,131,174,174,50,0,174,211,50,28,28,10,4,4,4,4,4,2,2,2,0,2023-11-02 12:38:00,0
940,940,940,940,0,169,201,152,169,169,137,137,169,130,169,169,49,0,169,201,49,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 12:40:00,0
965,965,965,965,0,163,198,151,163,163,152,152,163,139,163,163,47,0,163,198,47,27,27,13,3,3,3,3,3,2,2,2,0,2023-11-02 12:42:00,2
914,914,914,914,0,158,196,150,158,158,129,129,158,123,158,158,46,0,158,196,46,31,31,6,7,7,7,7,7,2,2,2,0,2023-11-02 12:44:00,0
944,944,944,944,0,166,225,171,166,166,141,141,166,130,166,166,54,0,166,225,54,27,27,11,3,3,3,3,3,2,2,2,0,2023-11-02 12:46:00,0
943,943,943,943,0,170,188,151,170,170,137,137,170,126,170,170,37,0,170,188,37,28,28,11,4,3,4,4,4,2,2,2,0,2023-11-02 12:48:00,1
937,937,937,937,0,173,200,156,173,173,140,140,173,127,173,173,44,0,173,200,44,27,27,12,3,3,3,3,3,2,2,2,1,2023-11-02 12:50:00,0
947,947,947,947,0,164,205,162,164,164,139,139,164,130,164,164,43,0,164,205,43,31,31,9,7,6,7,7,7,2,2,2,0,2023-11-02 12:52:00,5
944,944,944,944,0,176,208,154,176,176,131,131,176,125,176,176,54,0,176,208,54,27,27,6,3,3,3,3,3,2,2,2,0,2023-11-02 12:54:00,4
934,934,934,934,0,166,204,153,166,166,139,139,166,127,166,166,51,0,166,204,51,28,28,11,4,4,4,4,4,2,2,2,1,2023-11-02 12:56:00,2
931,931,931,932,0,170,193,160,170,170,136,136,170,130,170,170,33,0,170,193,33,30,30,6,6,6,6,6,6,2,2,2,0,2023-11-02 12:58:00,1
991,991,991,991,0,169,221,178,169,169,140,140,169,133,169,169,43,0,169,221,43,28,28,7,4,4,4,4,4,2,2,2,0,2023-11-02 13:00:00,3
961,961,962,960,0,179,209,161,179,179,142,142,179,135,179,179,48,0,179,209,48,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 13:02:00,0
950,950,949,950,0,163,216,151,163,163,146,146,163,130,163,163,65,0,163,216,65,28,28,16,4,3,4,4,4,2,2,2,0,2023-11-02 13:04:00,1
936,936,936,936,0,149,215,161,149,149,130,130,149,118,149,149,54,0,149,215,54,30,30,10,6,6,6,6,6,2,2,2,2,2023-11-02 13:06:00,0
993,993,994,994,0,170,230,168,170,170,145,145,170,132,170,170,62,0,170,230,62,27,27,13,3,3,3,3,3,2,2,2,0,2023-11-02 13:08:00,3
928,928,928,928,0,158,201,152,158,158,142,142,158,135,158,158,49,0,158,201,49,28,28,7,4,3,4,4,4,2,2,2,0,2023-11-02 13:10:00,7
1003,1003,1002,1003,0,160,250,151,160,160,148,148,160,141,160,160,99,0,160,250,48,28,28,7,3,3,3,4,4,2,2,2,0,2023-11-02 13:12:00,52
912,912,912,912,0,166,204,159,166,166,130,130,166,122,166,166,45,0,166,204,45,31,31,7,7,7,7,7,7,2,2,2,1,2023-11-02 13:14:00,4
934,934,934,934,0,170,190,141,170,170,140,140,170,134,170,170,49,0,170,190,49,27,27,6,3,3,3,3,3,2,2,2,0,2023-11-02 13:16:00,3
977,977,977,977,0,168,215,156,168,168,131,131,168,125,168,168,59,0,168,215,59,28,28,6,4,4,4,4,4,2,2,2,0,2023-11-02 13:18:00,1
926,926,926,926,0,180,206,160,180,180,121,121,180,118,180,180,46,0,180,206,46,27,27,2,3,3,3,3,3,2,2,2,0,2023-11-02 13:20:00,0
976,976,976,976,0,185,327,163,185,185,151,151,185,141,185,185,164,0,185,327,164,31,31,10,7,6,7,7,7,2,2,2,0,2023-11-02 13:22:00,5
931,931,931,931,0,173,196,149,173,173,140,140,173,130,173,173,47,0,173,196,47,27,27,10,3,3,3,3,3,2,2,2,0,2023-11-02 13:24:00,4
931,931,931,931,0,162,213,151,162,162,130,130,162,125,162,162,62,0,162,213,62,28,28,5,4,4,4,4,4,2,2,2,0,2023-11-02 13:26:00,0
960,960,962,960,0,164,190,143,164,164,143,143,164,133,164,164,47,0,164,190,47,27,27,9,3,3,3,3,3,2,2,2,1,2023-11-02 13:28:00,0
923,923,922,923,0,163,203,149,162,162,149,149,162,130,162,163,54,0,162,203,54,31,31,19,7,7,7,7,7,2,2,2,0,2023-11-02 13:30:00,1
971,971,970,971,0,167,204,145,168,168,144,144,168,132,168,167,59,0,168,204,59,27,27,11,3,3,3,3,3,2,2,2,1,2023-11-02 13:32:00,0
937,937,937,937,0,165,206,156,165,165,139,139,165,133,165,165,50,0,165,206,50,28,28,5,4,3,4,4,4,2,2,2,1,2023-11-02 13:34:00,1
985,985,986,985,0,164,229,181,164,164,151,151,164,141,164,164,48,0,164,229,48,30,30,10,6,6,6,6,6,2,2,2,0,2023-11-02 13:36:00,0
948,948,947,948,0,166,214,160,166,166,139,139,166,127,166,166,54,0,166,214,54,27,27,12,3,3,3,3,3,2,2,2,0,2023-11-02 13:38:00,0
927,927,927,927,0,166,205,151,166,166,145,145,166,131,166,166,54,0,166,205,54,28,28,14,4,3,4,4,4,2,2,2,0,2023-11-02 13:40:00,3
967,967,967,967,0,171,203,158,171,171,132,132,171,120,171,171,45,0,171,203,45,27,27,12,3,3,3,3,3,2,2,2,0,2023-11-02 13:42:00,0
940,940,940,940,0,158,199,149,158,158,132,132,158,122,158,158,50,0,158,199,50,31,31,10,7,7,7,7,7,2,2,2,0,2023-11-02 13:44:00,0
985,985,985,985,0,169,211,157,169,169,147,147,169,137,169,169,54,0,169,211,54,27,27,10,3,3,3,3,3,2,2,2,0,2023-11-02 13:46:00,1
956,956,956,956,0,165,215,161,165,165,156,156,165,145,165,165,54,0,165,215,54,28,28,11,4,4,4,4,4,2,2,2,0,2023-11-02 13:48:00,1
922,922,922,922,0,177,186,142,177,177,132,132,177,125,177,177,44,0,177,186,44,27,27,6,3,3,3,3,3,2,2,2,1,2023-11-02 13:50:00,5
956,956,956,956,0,183,203,158,183,183,139,139,183,125,183,183,45,0,183,203,45,31,31,13,7,6,7,7,7,2,2,2,1,2023-11-02 13:52:00,4
922,922,922,922,0,153,206,160,153,153,138,138,153,131,153,153,46,0,153,206,46,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 13:54:00,2
951,951,952,951,0,170,198,155,169,169,146,146,169,139,169,170,43,0,169,198,43,28,28,7,4,3,4,4,4,2,2,2,0,2023-11-02 13:56:00,4
965,965,965,965,0,159,302,161,160,160,140,140,160,129,160,159,141,0,160,302,141,27,27,11,3,3,3,3,3,2,2,2,0,2023-11-02 13:58:00,2
907,907,906,907,0,157,209,159,157,157,135,135,157,130,157,157,50,0,157,209,50,31,31,5,7,7,7,7,7,2,2,2,0,2023-11-02 14:00:00,0
964,964,964,964,0,165,212,150,165,165,127,127,165,123,165,165,62,0,165,212,62,27,27,4,3,3,3,3,3,2,2,2,0,2023-11-02 14:02:00,1
919,919,919,919,0,161,208,160,161,161,133,133,161,124,161,161,48,0,161,208,48,27,27,9,3,3,3,3,3,2,2,2,0,2023-11-02 14:04:00,0
951,951,952,951,0,180,203,152,180,180,141,141,180,130,180,181,51,0,180,203,51,30,30,11,6,6,6,6,6,2,2,2,0,2023-11-02 14:06:00,0
986,986,985,986,0,172,199,146,172,172,161,161,172,149,172,171,53,0,172,199,53,28,28,12,4,4,4,4,4,2,2,2,0,2023-11-02 14:08:00,0
933,933,933,933,0,162,209,159,162,162,144,144,162,139,162,162,50,0,162,209,50,28,28,5,4,3,4,4,4,2,2,2,0,2023-11-02 14:10:00,1
966,966,967,966,0,176,221,166,176,176,136,136,176,130,176,176,55,0,176,221,55,29,29,6,3,3,3,4,3,2,2,2,0,2023-11-02 14:12:00,6
932,932,931,932,0,166,209,157,166,166,136,136,166,129,166,166,52,0,166,209,52,31,31,7,7,6,7,7,7,2,2,2,0,2023-11-02 14:14:00,1
973,973,973,973,0,164,209,155,164,164,137,137,164,132,164,164,54,0,164,209,54,27,27,5,3,3,3,3,3,2,2,2,0,2023-11-02 14:16:00,4
948,948,949,948,0,164,209,160,164,164,141,141,164,131,164,164,49,0,164,209,49,28,28,10,4,4,4,4,4,2,2,2,0,2023-11-02 14:18:00,1
885,885,884,885,0,159,171,138,159,159,158,158,159,148,159,159,33,0,159,171,33,27,27,10,3,3,3,3,3,2,2,2,0,2023-11-02 14:20:00,4
942,942,942,942,0,166,214,161,166,166,144,144,166,139,166,166,53,0,166,214,53,31,31,5,7,7,7,7,7,2,2,2,0,2023-11-02 14:22:00,0
910,910,910,914,0,156,187,145,156,156,130,130,156,116,156,156,42,0,156,187,42,27,27,14,3,3,3,3,3,2,2,2,0,2023-11-02 14:24:00,0
957,957,958,957,0,166,207,156,166,166,130,130,166,120,166,166,51,0,166,207,51,27,27,10,3,3,3,3,3,2,2,2,0,2023-11-02 14:26:00,0
957,957,956,957,0,162,214,164,162,162,142,142,162,133,162,162,50,0,162,214,50,28,28,8,4,3,4,4,4,2,2,2,1,2023-11-02 14:28:00,4
965,965,965,965,0,170,209,158,170,170,147,147,170,136,170,170,51,0,170,209,51,30,30,11,6,6,6,6,6,2,2,2,0,2023-11-02 14:30:00,0
995,995,996,995,0,161,222,165,161,161,151,151,161,142,161,161,57,0,161,222,57,28,28,8,4,3,4,4,4,2,2,2,1,2023-11-02 14:32:00,3
902,902,901,902,0,166,195,154,166,166,117,117,166,110,166,166,41,0,166,195,41,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 14:34:00,1
2520,2520,2521,2523,682,142,213,171,142,142,175,175,142,159,142,142,42,682,142,213,42,28,28,16,4,4,4,4,4,2,2,2,0,2023-11-02 14:36:00,0
5658,5658,5660,5658,2045,129,268,218,129,129,192,192,129,182,129,130,50,2045,129,268,50,30,30,10,6,6,6,6,6,2,2,2,0,2023-11-02 14:38:00,0
5701,5701,5698,5701,2048,114,267,217,114,114,186,186,114,176,114,113,50,2048,114,267,50,28,28,10,4,4,4,4,4,2,2,2,0,2023-11-02 14:40:00,0
5625,5625,5626,5628,2020,114,277,221,114,114,187,187,114,181,114,115,56,2020,114,277,56,27,27,5,3,3,3,3,3,2,2,2,1,2023-11-02 14:42:00,2
5642,5642,5644,5643,2042,110,265,211,110,110,184,184,110,178,110,109,54,2042,110,265,54,31,31,6,7,6,7,7,7,2,2,2,0,2023-11-02 14:44:00,1
5694,5694,5693,5694,2053,120,270,210,120,120,183,183,120,176,120,120,60,2053,120,270,60,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 14:46:00,0
5673,5673,5672,5673,2039,117,372,219,117,117,184,184,117,176,117,118,153,2039,117,372,153,27,27,8,3,3,3,3,3,2,2,2,0,2023-11-02 14:48:00,4
5652,5652,5651,5652,2044,118,266,211,118,118,189,189,118,182,118,117,55,2044,118,266,55,28,28,7,4,3,4,4,4,2,2,2,0,2023-11-02 14:50:00,1
5643,5643,5643,5643,2040,108,359,217,108,108,187,187,108,180,108,108,142,2040,108,359,142,31,31,7,7,7,7,7,7,2,2,2,0,2023-11-02 14:52:00,0
5642,5642,5644,5642,2034,116,266,211,116,116,190,190,116,184,116,116,55,2034,116,266,55,27,27,5,3,3,3,3,3,2,2,2,1,2023-11-02 14:54:00,2
5632,5632,5630,5632,2029,114,265,207,114,114,192,192,114,182,114,114,58,2029,114,265,58,27,27,10,3,3,3,3,3,2,2,2,0,2023-11-02 14:56:00,0
5658,5658,5659,5658,2031,119,265,224,119,119,185,185,119,175,119,119,41,2031,119,265,41,28,28,10,4,4,4,4,4,2,2,2,0,2023-11-02 14:58:00,4
5666,5666,5665,5666,2049,108,275,221,108,108,195,195,108,185,108,108,54,2049,108,275,54,30,30,9,6,6,6,6,6,2,2,2,1,2023-11-02 15:00:00,4
5585,5585,5585,5585,2005,113,269,211,113,113,202,202,113,183,113,113,58,2005,113,269,58,28,28,18,4,3,4,4,4,2,2,2,1,2023-11-02 15:02:00,1
5670,5670,5671,5670,2045,112,268,222,112,112,194,194,112,187,112,112,46,2045,112,268,46,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 15:04:00,0
5673,5673,5672,5673,2050,112,260,210,112,112,196,196,112,181,112,112,50,2050,112,260,50,28,28,15,4,3,4,4,4,2,2,2,0,2023-11-02 15:06:00,1
5635,5635,5635,5635,2040,105,358,212,105,105,194,194,105,180,105,105,146,2040,105,358,146,30,30,14,6,6,6,6,6,2,2,2,0,2023-11-02 15:08:00,0
5691,5691,5691,5691,2046,126,260,211,126,126,202,202,126,189,126,126,49,2046,126,260,49,28,28,12,4,4,4,4,4,2,2,2,1,2023-11-02 15:10:00,3
5645,5645,5645,5646,2035,119,307,210,119,119,187,187,119,179,119,119,97,2035,119,307,46,28,28,8,3,3,3,4,4,2,2,2,0,2023-11-02 15:12:00,55
5628,5628,5629,5628,2046,104,256,209,104,104,183,183,104,177,104,104,47,2046,104,256,47,27,27,6,3,3,3,3,3,2,2,2,0,2023-11-02 15:14:00,0
5663,5663,5662,5663,2048,115,253,208,115,115,187,187,115,180,115,115,45,2048,115,253,45,31,31,6,7,7,7,7,7,2,2,2,1,2023-11-02 15:16:00,0
5612,5612,5612,5612,2032,109,249,202,109,109,190,190,109,183,109,109,47,2032,109,249,47,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 15:18:00,12
5663,5663,5663,5663,2048,118,249,202,118,118,186,186,118,180,118,118,47,2048,118,249,47,28,28,6,4,3,4,4,4,2,2,2,0,2023-11-02 15:20:00,4
5631,5631,5631,5632,2030,113,265,221,113,113,193,193,113,189,113,113,44,2030,113,265,44,30,30,4,6,6,6,6,6,2,2,2,0,2023-11-02 15:22:00,9
5609,5609,5609,5609,2029,110,238,208,110,110,188,188,110,180,110,110,30,2029,110,238,30,27,27,8,3,3,3,3,3,2,2,2,0,2023-11-02 15:24:00,0
5615,5615,5615,5615,2029,113,267,220,113,113,194,194,113,187,113,113,47,2029,113,267,47,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 15:26:00,0
5619,5619,5620,5619,2033,116,364,215,116,116,188,188,116,181,116,116,149,2033,116,364,149,28,28,7,4,3,4,4,4,2,2,2,0,2023-11-02 15:28:00,6
5623,5623,5623,5623,2034,109,248,203,109,109,185,185,109,181,109,109,45,2034,109,248,45,30,30,4,6,5,6,6,6,2,2,2,0,2023-11-02 15:30:00,2
5620,5620,5619,5621,2021,117,280,217,117,117,191,191,117,185,117,117,63,2021,117,280,63,26,26,5,3,3,3,3,3,2,2,2,0,2023-11-02 15:32:00,7
5670,5670,5670,5670,2043,112,268,215,112,112,194,194,112,187,112,112,53,2043,112,268,53,26,26,6,2,2,2,2,2,2,2,2,1,2023-11-02 15:34:00,0
5635,5635,5635,5635,2039,109,242,203,109,109,191,191,109,185,109,109,39,2039,109,242,39,27,27,6,3,2,3,3,3,2,2,2,0,2023-11-02 15:36:00,5
5641,5641,5641,5641,2044,108,262,220,108,108,186,186,108,180,108,108,42,2044,108,262,42,30,30,5,6,6,6,6,6,2,2,2,0,2023-11-02 15:38:00,0
5665,5665,5667,5665,2054,119,258,212,119,119,188,188,119,181,119,119,46,2054,119,258,46,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 15:40:00,6
5602,5602,5600,5602,2023,114,250,213,114,114,189,189,114,180,114,114,37,2023,114,250,37,28,28,9,3,3,3,3,3,2,2,2,0,2023-11-02 15:42:00,4
5622,5622,5624,5622,2033,111,251,202,111,111,185,185,111,179,111,111,49,2033,111,251,49,27,27,5,3,3,3,3,3,2,2,2,1,2023-11-02 15:44:00,0
5635,5635,5634,5635,2043,100,250,211,100,100,188,188,100,177,100,100,39,2043,100,250,39,29,29,11,5,4,5,5,5,2,2,2,0,2023-11-02 15:46:00,5
5667,5667,5666,5667,2045,121,361,211,121,121,190,190,121,183,121,121,150,2045,121,361,150,28,28,7,4,4,4,4,4,2,2,2,0,2023-11-02 15:48:00,22
7531,7531,7533,7531,2844,83,301,235,83,83,214,214,83,208,83,83,66,2844,83,301,66,27,27,6,3,3,3,3,3,2,2,2,0,2023-11-02 15:50:00,6
10352,10352,10351,10352,4084,48,414,262,48,48,249,249,48,236,48,48,152,4084,48,414,152,27,27,13,3,3,3,3,3,2,2,2,0,2023-11-02 15:52:00,1
10357,10357,10358,10357,4080,48,323,266,48,48,247,247,48,238,48,48,57,4080,48,323,57,30,30,9,6,6,6,6,6,2,2,2,0,2023-11-02 15:54:00,1
10243,10243,10242,10243,4036,46,303,258,46,46,249,249,46,234,46,46,45,4036,46,303,45,26,26,15,3,3,3,3,3,2,2,2,0,2023-11-02 15:56:00,0
10327,10327,10327,10327,4070,48,414,263,48,48,242,242,48,236,48,48,151,4070,48,414,151,27,27,6,3,3,3,3,3,2,2,2,0,2023-11-02 15:58:00,0
10362,10362,10361,10362,4081,48,326,266,48,48,246,246,48,240,48,48,60,4081,48,326,60,30,30,6,6,6,6,6,6,2,2,2,0,2023-11-02 16:00:00,2
10321,10321,10322,10318,4065,48,326,262,48,48,245,245,48,236,48,48,64,4065,48,326,64,27,27,9,3,3,3,3,3,2,2,2,0,2023-11-02 16:02:00,0
10309,10309,10310,10309,4051,48,327,261,48,48,244,244,48,236,48,48,66,4051,48,327,66,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 16:04:00,2
