get metadata from header,parseDataReportFlag ok,infra.grpc.invoker,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,funName=concurrentNoPaging run task end,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,funName=DataCompose,parent node is not exist,no need or no have tags,computeAndCompare same,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:>,allNum=<:NUM:>,protection for <:*:> have compare <:NUM:>,no page <:*:>,no page <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no <:*:>,Response=<:MAP:>,superiorAndDeputy empty,message,approve callback start,svc.ApproveCallback failed,approve status error,<:query signature:>,msg,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,<:ownDeptIDs:>,query ge<:updateFanweiEmployee failed:>,Dao.GetSession,error occurred in <:NewAccessRequest:>,token check failed,<:deptLeaderManageDeptIDs:>,<:listManageOrgReq:>,GetSupervisorPosition success,[GetBaseInfoByEmpID] db ge<:updateFanweiEmployee failed:>,GetBaseInfoByEmpID failed,protection for <:*:> done,parent deptIDs=[<:SEQ:>],callback status error,build <:*:> reply,<:YID:>,no api page resources,check failed,protection.ComputeAndDiff failed,<:*:> started successfully,sign switch is off [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,[GetAuthorizedDept] getAllDept success,dept inChargeSuperiors is empty,checkCheckPer<:updateFanweiEmployee failed:>,s.getAuthObject objects=[dealer id customer id],checkAndBuildListPermDataReq failed,ListFieldValues failed,p.svc.GetSingleYidSingleFieldPermDat<:updateFanweiEmployee failed:>,<:tagID:>,<:listReq:>,GrpcDataReportInterceptor parse methodSet: <:MAP:>,loadKdConfig success,len(deptYids)=<:NUM:>,len(allDeptMembers)=<:NUM:>,get other dutyCommittee backup employee success,AuthSessionVali<:updateFanweiEmployee failed:>,Dao.NewSession,Login(totp verify) success,"""userID"":""<:SEQ:>""",SendWeChatMarkdownMsg failed,Sending login weChat markdown messag<:updateFanweiEmployee failed:>,ok: true [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,[GetAuthorizedEmp] getAllEmp success count=<:NUM:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,timestamp
5622,5622,5622,5622,2034,94,229,208,94,94,185,185,184,94,94,94,0,21,2034,0,0,94,0,21,26,26,229,0,0,0,0,0,2,1,2,2,2,2,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 10:56:00
5657,5657,5658,5658,2041,100,224,209,100,100,199,199,197,100,100,100,0,15,2041,0,0,100,0,15,26,26,224,0,0,0,0,0,2,2,2,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 10:58:00
5607,5607,5607,5608,2034,84,240,225,84,84,190,190,190,84,84,85,0,15,2034,0,0,84,0,15,27,27,240,0,0,0,0,0,3,0,3,3,3,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:00:00
5644,5644,5644,5642,2036,96,244,218,96,96,202,202,201,96,96,95,0,26,2036,0,0,96,0,26,28,28,244,0,0,0,0,0,4,1,4,4,4,4,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:02:00
5593,5593,5593,5594,2038,93,230,217,93,93,180,180,179,93,93,93,0,13,2038,0,0,93,0,13,27,27,230,0,0,0,0,0,3,1,3,3,3,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:04:00
5625,5625,5625,5625,2042,88,241,222,88,88,193,193,193,88,88,88,0,19,2042,0,0,88,0,19,26,26,241,0,0,0,0,0,2,0,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:06:00
5615,5615,5615,5615,2034,100,233,210,100,100,177,177,177,100,100,100,0,23,2034,0,0,100,0,23,28,28,233,0,0,0,0,0,4,0,4,4,4,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:08:00
5607,5607,5607,5606,2029,97,328,211,97,97,186,186,186,97,97,97,0,117,2029,0,0,97,0,117,27,27,328,0,0,0,0,0,3,0,3,3,3,2,0,6,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:10:00
5608,5608,5609,5608,2032,90,225,211,90,90,182,182,182,90,90,90,0,14,2032,0,0,90,0,14,26,26,225,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:12:00
5637,5637,5637,5637,2033,96,236,218,96,96,187,187,186,96,96,96,0,18,2033,0,0,96,0,18,27,27,236,0,0,0,0,0,3,1,3,3,3,2,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:14:00
5617,5617,5617,5619,2038,95,233,208,95,95,188,188,187,95,95,95,0,25,2038,0,0,95,0,25,28,28,233,0,0,0,0,0,4,1,4,4,4,4,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:16:00
5580,5580,5580,5578,2021,78,239,213,78,78,187,187,185,78,78,78,0,26,2021,0,0,78,0,26,26,26,239,0,0,0,0,0,2,2,2,2,2,2,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:18:00
5373,5373,5373,5373,1944,80,225,206,80,80,180,180,178,80,80,80,0,19,1944,0,0,80,0,19,27,27,225,0,0,0,0,0,3,2,3,3,3,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:20:00
4832,4832,4832,4832,1912,22,154,137,22,22,112,112,111,22,22,22,0,17,1912,0,0,22,0,17,26,26,154,0,0,0,0,0,2,1,2,2,2,2,0,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:22:00
5156,5156,5157,5156,2038,24,166,147,24,24,119,119,118,24,24,24,0,19,2038,0,0,24,0,19,29,29,166,0,0,0,0,0,5,1,5,5,5,5,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:24:00
5160,5160,5160,5160,2034,24,169,143,24,24,120,120,118,24,24,24,0,26,2034,0,0,24,0,26,26,26,169,0,0,0,0,0,2,0,2,2,2,2,0,7,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:26:00
5154,5154,5154,5155,2031,24,167,144,24,24,122,122,119,24,24,24,0,23,2031,0,0,24,0,23,26,26,167,0,0,0,0,0,2,3,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:28:00
5143,5143,5143,5142,2030,24,162,145,24,24,119,119,118,24,24,24,0,17,2030,0,0,24,0,17,27,27,162,0,0,0,0,0,3,1,3,3,3,3,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:30:00
5153,5153,5153,5153,2035,24,163,145,24,24,120,120,119,24,24,24,0,18,2035,0,0,24,0,18,28,28,163,0,0,0,0,0,4,1,4,4,4,4,0,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:32:00
5164,5164,5164,5166,2039,24,270,144,24,24,118,118,118,24,24,24,0,126,2039,0,0,24,0,126,26,26,270,0,0,0,0,0,2,0,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:34:00
5139,5139,5139,5138,2033,22,157,145,22,22,118,118,118,22,22,22,0,12,2033,0,0,22,0,12,27,27,157,0,0,0,0,0,3,0,3,3,3,2,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:36:00
5163,5163,5163,5163,2036,24,169,146,24,24,124,124,119,24,24,24,0,23,2036,0,0,24,0,23,28,28,169,0,0,0,0,0,4,5,4,4,4,4,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:38:00
5168,5168,5169,5167,2036,24,176,144,24,24,120,120,118,24,24,24,0,32,2036,0,0,24,0,32,27,27,176,0,0,0,0,0,3,1,3,3,3,2,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:40:00
5148,5148,5148,5148,2027,24,168,144,24,24,120,120,119,24,24,24,0,24,2027,0,0,24,0,24,26,26,168,0,0,0,0,0,2,0,2,2,2,2,0,7,2,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:42:00
5100,5100,5101,5100,2011,24,161,143,24,24,118,118,117,24,24,24,0,18,2011,0,0,24,0,18,26,26,161,0,0,0,0,0,2,1,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:44:00
5148,5148,5149,5148,2032,24,165,146,24,24,119,119,118,24,24,24,0,19,2032,0,0,24,0,19,29,29,165,0,0,0,0,0,5,1,5,5,5,5,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:46:00
5163,5163,5163,5163,2038,24,182,158,24,24,119,119,119,24,24,24,0,24,2038,0,0,24,0,24,40,40,182,0,0,0,0,0,9,0,2,2,2,2,21,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:48:00
5152,5152,5153,5152,2035,24,166,147,24,24,120,120,119,24,24,24,0,19,2035,0,0,24,0,19,29,29,166,0,0,0,0,0,4,1,3,3,3,3,3,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:50:00
5135,5135,5138,5135,2028,24,156,143,24,24,118,118,118,24,24,24,0,13,2028,0,0,24,0,13,26,26,156,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:52:00
5156,5156,5157,5156,2037,24,167,147,24,24,121,121,119,24,24,24,0,20,2037,0,0,24,0,20,29,29,167,0,0,0,0,0,5,2,5,5,5,5,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:54:00
5160,5160,5159,5160,2041,24,167,144,24,24,118,118,118,24,24,24,0,23,2041,0,0,24,0,23,26,26,167,0,0,0,0,0,2,0,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:56:00
5154,5154,5155,5154,2038,24,159,143,24,24,122,122,119,24,24,24,0,16,2038,0,0,24,0,16,26,26,159,0,0,0,0,0,2,3,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 11:58:00
5162,5162,5162,5162,2039,24,167,145,24,24,118,118,118,24,24,24,0,22,2039,0,0,24,0,22,27,27,167,0,0,0,0,0,3,0,3,3,3,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:00:00
5151,5151,5150,5151,2031,24,171,147,24,24,118,118,118,24,24,24,0,24,2031,0,0,24,0,24,29,29,171,0,0,0,0,0,4,0,4,4,4,4,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:02:00
5150,5150,5150,5150,2032,24,265,143,24,24,121,121,120,24,24,24,0,122,2032,0,0,24,0,122,26,26,265,0,0,0,0,0,2,1,2,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:04:00
5162,5162,5162,5163,2037,24,172,145,24,24,119,119,118,24,24,24,0,27,2037,0,0,24,0,27,27,27,172,0,0,0,0,0,3,1,3,3,3,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:06:00
5109,5109,5109,5108,2020,22,157,145,22,22,120,120,118,22,22,22,0,12,2020,0,0,22,0,12,28,28,157,0,0,0,0,0,4,1,4,4,4,4,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:08:00
5154,5154,5155,5154,2030,24,269,145,24,24,120,120,119,24,24,24,0,124,2030,0,0,24,0,124,27,27,269,0,0,0,0,0,3,1,3,3,3,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:10:00
5152,5152,5152,5153,2038,24,157,143,24,24,119,119,118,24,24,24,0,14,2038,0,0,24,0,14,26,26,157,0,0,0,0,0,2,1,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:12:00
5147,5147,5147,5146,2035,24,157,144,24,24,121,121,119,24,24,24,0,13,2035,0,0,24,0,13,26,26,157,0,0,0,0,0,2,1,2,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:14:00
5147,5147,5147,5147,2030,24,165,147,24,24,120,120,119,24,24,24,0,18,2030,0,0,24,0,18,29,29,165,0,0,0,0,0,5,1,5,5,5,5,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:16:00
5144,5144,5144,5144,2034,24,157,144,24,24,120,120,120,24,24,24,0,13,2034,0,0,24,0,13,26,26,157,0,0,0,0,0,2,0,2,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:18:00
5147,5147,5147,5147,2032,24,160,144,24,24,120,120,119,24,24,24,0,16,2032,0,0,24,0,16,27,27,160,0,0,0,0,0,3,1,3,3,3,3,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:20:00
5157,5157,5157,5157,2037,24,164,144,24,24,120,120,119,24,24,24,0,20,2037,0,0,24,0,20,26,26,164,0,0,0,0,0,2,1,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:22:00
5144,5144,5144,5145,2033,24,309,147,24,24,120,120,118,24,24,24,0,162,2033,0,0,24,0,111,29,29,309,0,0,0,0,0,5,1,5,4,4,4,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:24:00
5151,5151,5151,5150,2035,24,160,144,24,24,119,119,118,24,24,24,0,16,2035,0,0,24,0,16,27,27,160,0,0,0,0,0,3,1,3,3,3,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 12:26:00
