<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,RecordThirdPartyCost,dealSmsCallback complete <:callback:>,deal<:SmsCallback:>,receive <:*:>,begin Consume call,getAppSmsLimit <:*:> not exist,PushSmsOrderResult: <:result:>,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,send by <:*:> OrderID=<:SEQ:>,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,not find dictionary type=<:NUM:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,scCallBack receive <:request:>,<:dealMailCallback:>,dealMailCallback complete <:callback:>,PushMailSendResult: <:result:>,scCallBack DealCallBack <:event:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,begin <:*:>,use preferred orderID=<:SEQ:> <:channel:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,SendWeChatMsg <:*:>,WeChatMsg Send WechatMsg <:*:>,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,<:NUM:> <:*:>,load <:*:> config ok,dealSmsCallback dealSmsCallbackRetry <:order:>,ykmsymsg <:*:> start kms,juhe sendSms <:rs:>,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,sendSmsMsg failed <:*:> <:*:>,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,version,waiting task controller finished,task controller finished,dao close finished,msg,timestamp,unknown
984,962,966,902,68,38,38,38,84,11,37,70,53,38,30,15,32,18,18,18,18,2,14,14,14,14,14,5,15,11,5,8,6,1,2,3,0,0,1,1,1,2,1,18,2023-10-24 17:04:48,4
999,976,1220,854,86,36,36,37,86,15,35,72,48,34,30,38,29,19,19,19,15,3,14,14,14,14,14,17,38,9,5,0,0,0,0,1,1,0,0,0,0,0,0,38,2023-10-24 17:06:48,7
1005,981,937,829,139,48,48,47,179,24,43,149,84,48,71,55,63,33,33,33,33,5,30,30,30,30,30,27,55,10,5,8,6,4,2,1,2,0,1,1,1,2,1,58,2023-10-24 17:08:48,14
1077,1044,1253,974,119,62,62,62,129,34,60,108,77,54,30,42,45,24,24,24,24,7,21,21,21,21,21,18,42,9,5,9,6,2,2,2,1,1,1,1,1,2,1,45,2023-10-24 17:10:48,24
992,964,1190,985,109,48,48,47,158,19,46,131,72,43,56,37,58,31,31,31,31,7,27,27,27,27,27,13,37,9,5,0,0,0,0,0,0,0,0,0,0,0,0,37,2023-10-24 17:12:48,16
1033,1007,716,630,102,45,45,45,138,23,41,115,69,40,30,33,51,29,29,29,29,4,23,23,23,23,23,14,33,13,5,8,6,5,2,0,0,1,1,1,1,2,1,36,2023-10-24 17:14:48,7
1028,997,395,0,128,58,58,55,148,16,47,123,75,48,45,53,59,34,34,34,34,2,25,25,25,25,25,18,53,10,5,9,6,2,2,4,1,0,1,1,1,2,1,56,2023-10-24 17:16:48,17
1012,988,108,0,127,47,47,48,220,17,43,184,78,37,56,49,82,45,45,45,45,1,36,36,36,36,36,15,49,9,5,0,0,4,0,1,2,0,0,0,0,0,0,49,2023-10-24 17:18:48,11
1121,1094,293,0,117,44,44,43,210,23,39,175,79,37,30,38,96,61,61,61,61,5,35,35,35,35,35,9,38,10,5,9,6,6,2,0,1,1,1,1,1,2,1,42,2023-10-24 17:20:48,21
1014,983,210,0,147,63,64,64,204,33,56,170,97,56,71,50,73,39,39,39,39,2,34,34,34,34,34,28,50,8,5,8,6,8,2,1,0,0,1,1,1,2,1,53,2023-10-24 17:22:48,4
1019,989,87,0,99,47,46,47,156,20,38,130,69,39,15,30,52,26,26,26,26,2,26,26,26,26,26,8,30,6,5,0,0,3,0,6,0,0,0,0,0,0,0,30,2023-10-24 17:24:48,10
1037,1008,786,417,110,49,49,48,132,15,46,110,66,43,45,44,50,28,28,28,28,4,22,22,22,22,22,28,44,12,5,3,6,1,2,2,1,0,1,1,1,2,1,47,2023-10-24 17:26:48,7
966,951,903,818,96,30,30,31,144,9,27,120,60,35,71,36,55,31,31,31,31,3,24,24,24,24,24,10,36,7,5,7,6,1,2,1,2,0,1,1,1,2,1,39,2023-10-24 17:28:48,3
1111,1074,1344,970,115,67,67,69,162,23,65,135,84,53,30,31,56,29,29,29,29,2,27,27,27,27,27,14,31,11,5,7,6,3,2,3,1,1,1,1,1,2,1,35,2023-10-24 17:30:48,14
1005,975,969,828,165,75,75,74,154,46,62,128,101,63,56,64,64,38,38,38,38,1,26,26,26,26,26,27,64,9,5,0,0,11,0,1,0,0,0,0,0,0,0,64,2023-10-24 17:32:48,10
1041,1018,972,863,133,46,46,47,182,9,44,152,74,41,30,59,69,39,39,39,39,1,30,30,30,30,30,22,59,7,5,8,6,2,2,3,0,0,1,1,1,2,1,62,2023-10-24 17:34:48,10
1034,1012,1212,843,119,34,34,33,102,15,31,85,53,30,45,66,40,23,23,23,23,2,17,17,17,17,17,31,66,11,5,7,6,2,2,1,1,0,1,1,1,2,1,69,2023-10-24 17:36:48,11
1007,982,905,819,122,41,41,40,166,19,36,137,66,33,56,56,64,33,33,35,35,2,29,29,29,29,29,33,56,9,5,0,0,4,0,2,2,0,0,0,0,0,0,56,2023-10-24 17:38:48,8
1077,1055,1240,868,106,41,41,41,148,27,34,125,60,30,30,46,55,34,34,32,32,8,23,23,23,23,23,15,46,6,5,8,6,6,2,0,1,1,1,1,1,2,1,49,2023-10-24 17:40:48,11
1003,979,972,868,128,48,48,49,184,20,48,153,77,44,71,51,67,36,36,36,36,3,31,31,31,31,31,23,51,12,5,8,6,0,2,1,0,0,1,1,1,2,1,55,2023-10-24 17:42:48,10
1037,1012,1008,911,118,45,45,46,150,14,42,125,67,38,15,51,60,35,35,35,35,4,25,25,25,25,25,19,51,11,5,0,0,2,0,0,0,1,0,0,0,0,0,52,2023-10-24 17:44:48,10
1033,1009,1242,846,147,52,52,52,120,37,44,100,73,47,45,74,53,33,33,33,33,7,20,20,20,20,20,30,74,4,5,9,6,6,2,1,1,0,1,1,1,2,1,77,2023-10-24 17:46:48,5
1014,978,976,851,138,58,58,58,168,24,51,140,77,46,71,61,76,49,49,49,48,8,28,28,28,28,28,11,61,13,5,7,6,3,2,1,2,0,1,1,1,2,1,64,2023-10-24 17:48:48,1
1069,1034,1266,937,107,54,54,52,78,41,47,65,70,48,15,37,29,16,16,16,16,10,13,13,13,13,13,19,37,4,5,0,0,5,0,4,1,0,0,0,0,0,0,37,2023-10-24 17:50:48,18
978,945,1083,975,105,58,58,59,60,19,55,50,57,47,71,48,22,12,12,12,12,5,10,10,10,10,10,34,48,8,5,9,6,0,2,2,0,1,1,1,1,2,1,51,2023-10-24 17:52:48,3
1032,1003,736,645,108,46,46,47,132,22,44,110,70,45,30,38,49,27,27,27,27,2,22,22,22,22,22,14,38,9,5,9,6,2,2,2,0,0,1,1,1,2,1,42,2023-10-24 17:54:48,5
1035,999,383,0,117,56,56,55,132,21,50,110,77,47,30,40,46,24,24,24,24,3,22,22,22,22,22,16,40,14,5,0,0,4,0,2,1,0,0,0,0,0,0,41,2023-10-24 17:56:48,23
1030,1001,103,0,124,44,44,46,204,20,44,170,76,42,71,48,83,50,50,50,49,1,34,34,34,34,34,22,48,6,5,9,6,0,2,5,2,0,1,1,1,2,1,51,2023-10-24 17:58:48,4
1105,1084,264,0,132,34,34,35,168,17,30,141,61,29,30,71,62,34,34,34,34,3,27,27,27,27,27,33,71,7,5,9,6,2,2,2,1,0,1,1,1,2,1,74,2023-10-24 18:00:48,25
989,964,217,0,112,46,46,45,158,11,46,131,69,42,71,43,62,36,36,36,36,0,27,27,27,27,27,16,43,4,5,8,6,0,2,3,0,1,1,1,1,2,1,46,2023-10-24 18:02:48,7
973,953,68,0,91,63,63,63,58,48,50,48,73,50,15,18,21,11,11,11,11,0,10,10,10,10,10,10,18,9,5,0,0,13,0,2,0,0,0,0,0,0,0,18,2023-10-24 18:04:48,0
1010,991,781,424,73,28,28,29,93,8,28,77,43,27,45,30,30,19,19,19,15,0,16,16,16,16,16,11,30,6,5,7,6,0,2,1,1,0,1,1,1,2,1,33,2023-10-24 18:06:48,5
1012,946,971,806,204,131,131,142,87,21,121,73,143,125,71,61,36,21,21,21,21,2,14,14,14,14,14,37,61,9,5,8,6,4,2,14,2,0,1,1,1,2,1,64,2023-10-24 18:08:48,17
1111,1094,1279,961,126,37,37,35,198,12,37,165,67,34,15,59,83,53,53,53,52,0,33,33,33,32,32,29,59,7,5,0,0,0,0,1,1,0,0,0,0,0,0,59,2023-10-24 18:10:48,5
1002,979,983,813,113,45,45,46,192,19,45,160,77,44,71,36,76,43,43,43,43,0,32,32,32,32,32,12,36,6,5,8,6,1,2,2,0,1,1,1,1,2,1,39,2023-10-24 18:12:48,6
976,960,952,884,75,33,33,33,65,20,32,54,44,31,30,31,24,13,13,13,13,2,11,11,11,11,11,10,31,6,5,8,6,2,2,1,0,1,1,1,1,2,1,34,2023-10-24 18:14:48,3
983,967,1182,837,78,42,42,42,49,32,37,41,53,39,30,25,17,9,9,9,9,1,8,8,8,8,8,15,25,2,5,0,0,5,0,1,1,0,0,0,0,0,0,25,2023-10-24 18:16:48,5
945,926,886,827,71,33,33,33,60,15,28,50,37,25,71,34,26,16,16,16,16,2,10,10,10,10,10,10,34,10,5,8,6,2,2,0,2,0,1,1,1,2,1,37,2023-10-24 18:18:48,0
1043,1015,1122,868,86,49,49,48,78,28,42,65,58,41,30,28,27,14,14,14,14,0,13,13,13,13,13,6,28,10,5,8,6,4,2,1,1,0,1,1,1,2,1,32,2023-10-24 18:20:48,5
918,898,1028,869,54,40,40,42,12,18,39,10,38,36,56,16,4,2,2,2,2,4,2,2,2,2,2,4,16,9,5,0,0,0,0,0,0,0,0,0,0,0,0,16,2023-10-24 18:22:48,5
957,937,935,883,57,38,38,36,18,21,38,15,40,35,30,17,6,3,3,3,3,3,3,3,3,3,3,4,17,6,5,8,6,1,2,3,0,1,1,1,1,2,1,20,2023-10-24 18:24:48,3
968,947,1223,880,63,40,40,40,30,18,39,25,47,41,45,16,10,5,5,5,5,0,5,5,5,5,5,6,16,10,5,9,6,1,2,1,1,0,1,1,1,2,1,19,2023-10-24 18:26:48,1
931,906,911,848,73,45,45,45,28,28,40,23,51,41,71,22,9,4,4,4,4,3,5,5,5,5,5,5,22,7,5,9,6,4,2,1,2,0,1,1,1,2,1,25,2023-10-24 18:28:48,10
1021,1003,1313,974,64,37,37,36,32,23,32,27,38,30,15,26,11,6,6,6,6,4,5,5,5,5,5,12,26,7,5,0,0,3,0,0,1,0,0,0,0,0,0,26,2023-10-24 18:30:48,3
948,927,1034,977,78,35,35,36,30,18,36,25,40,35,71,38,11,6,6,6,6,1,5,5,5,5,5,22,38,8,5,9,6,0,2,1,0,0,1,1,1,2,1,42,2023-10-24 18:32:48,9
970,957,669,608,74,24,24,23,60,10,23,50,39,27,30,35,20,10,10,10,10,1,10,10,10,10,10,13,35,5,5,9,6,2,2,1,0,1,1,1,1,2,1,39,2023-10-24 18:34:48,2
1011,988,373,0,98,39,39,39,126,22,38,105,71,49,30,27,42,21,21,21,21,0,21,21,21,21,21,10,27,8,5,0,0,1,0,0,1,0,0,0,0,0,0,27,2023-10-24 18:36:48,0
935,918,49,0,60,30,30,30,48,15,29,40,34,25,71,26,17,9,9,9,9,1,8,8,8,8,8,11,26,4,5,7,6,1,2,1,2,0,1,1,1,2,1,29,2023-10-24 18:38:48,0
1031,1009,222,0,68,39,39,38,48,23,32,40,42,28,30,26,17,9,9,9,9,4,8,8,8,8,8,10,26,5,5,9,6,5,2,0,1,0,1,1,1,2,1,29,2023-10-24 18:40:48,7
924,905,162,0,55,32,32,32,36,7,29,30,31,25,56,24,12,6,6,6,6,3,6,6,6,6,6,9,24,8,5,0,0,0,0,0,0,0,0,0,0,0,0,24,2023-10-24 18:42:48,4
983,967,57,0,77,27,27,27,72,18,27,60,41,24,30,36,25,13,13,13,13,4,12,12,12,12,12,17,36,5,5,9,6,2,2,0,0,2,1,1,1,2,1,39,2023-10-24 18:44:48,10
999,983,789,435,76,28,28,28,66,11,27,55,36,25,45,40,28,17,17,17,17,1,11,11,11,11,11,8,40,7,5,9,6,0,2,2,1,0,1,1,1,2,1,43,2023-10-24 18:46:48,4
951,939,911,825,104,20,20,20,301,7,19,238,78,14,56,31,34,12,12,13,13,4,63,63,58,59,59,10,31,4,5,0,0,1,0,1,2,0,0,0,0,0,0,31,2023-10-24 18:48:48,4
1319,1300,1288,963,162,29,29,27,699,12,26,595,130,21,30,27,311,166,166,165,165,3,104,104,109,108,108,10,27,9,5,9,6,2,2,0,1,0,1,1,1,2,1,30,2023-10-24 18:50:48,16
956,936,1030,831,82,35,35,35,126,10,34,105,57,35,71,25,49,28,28,28,28,1,21,21,21,21,21,10,25,5,5,9,6,1,2,1,0,0,1,1,1,2,1,29,2023-10-24 18:52:48,8
966,952,944,883,68,39,39,39,50,23,37,42,41,30,30,27,19,11,11,11,11,0,8,8,8,8,8,8,27,4,5,8,6,3,2,0,0,1,1,1,1,2,1,30,2023-10-24 18:54:48,2
980,962,1197,863,64,36,36,35,12,16,31,10,35,27,30,29,4,2,2,2,2,0,2,2,2,2,2,10,29,7,5,0,0,5,0,0,1,0,0,0,0,0,0,29,2023-10-24 18:56:48,4
931,912,875,823,64,42,42,42,42,27,37,35,44,32,71,20,16,9,9,9,9,2,7,7,7,7,7,7,20,5,5,4,6,5,2,0,2,0,1,1,1,2,1,23,2023-10-24 18:58:48,3
1024,1008,1102,843,112,59,59,60,42,50,44,35,72,50,30,40,14,7,7,7,7,4,7,7,7,7,7,11,40,5,5,8,6,15,2,1,1,0,1,1,1,2,1,43,2023-10-24 19:00:48,1
921,902,1018,861,63,32,32,32,24,20,28,20,34,27,56,29,9,5,5,5,5,2,4,4,4,4,4,19,29,5,5,0,0,3,0,0,0,0,0,0,0,0,0,29,2023-10-24 19:02:48,0
976,955,964,909,66,38,38,38,60,13,33,50,43,29,30,23,21,11,11,11,11,2,10,10,10,10,10,9,23,5,5,8,6,4,2,1,0,1,1,1,1,2,1,26,2023-10-24 19:04:48,7
985,967,1214,869,57,26,26,25,42,21,25,35,36,28,45,21,14,11,11,11,7,3,7,7,7,7,7,6,21,4,5,8,6,1,2,1,1,0,1,1,1,2,1,24,2023-10-24 19:06:48,10
923,913,915,877,46,20,20,20,30,11,18,25,23,18,56,23,10,5,5,5,5,4,5,5,5,5,5,11,23,2,5,0,0,0,0,0,2,0,0,0,0,0,0,23,2023-10-24 19:08:48,2
1377,1361,1470,966,224,25,25,25,1120,7,21,933,208,19,30,16,378,191,191,191,191,3,187,187,187,187,187,4,16,5,5,9,6,2,2,3,1,0,1,1,1,2,1,19,2023-10-24 19:10:48,6
903,887,1031,997,44,29,29,29,14,20,26,12,32,27,71,12,5,3,3,3,3,2,2,2,2,2,2,7,12,6,5,9,6,3,2,0,0,0,1,1,1,2,1,15,2023-10-24 19:12:48,2
960,947,555,514,39,26,26,26,35,14,26,29,29,22,15,10,13,8,8,7,7,0,6,6,6,6,6,2,10,5,5,0,0,1,0,1,0,1,0,0,0,0,0,10,2023-10-24 19:14:48,1
984,971,327,0,47,20,20,20,61,8,20,51,31,21,45,17,22,11,11,12,12,1,10,10,10,10,10,10,17,6,5,5,6,0,2,0,1,1,1,1,1,2,1,21,2023-10-24 19:16:48,5
919,902,55,0,60,28,28,28,24,20,28,20,36,32,71,23,8,4,4,4,4,2,4,4,4,4,4,4,23,9,5,9,6,0,2,1,2,0,1,1,1,2,1,26,2023-10-24 19:18:48,3
1034,1019,299,0,67,34,34,34,48,17,32,40,38,28,15,29,16,8,8,8,8,1,8,8,8,8,8,18,29,5,5,0,0,2,0,0,1,0,0,0,0,0,0,29,2023-10-24 19:20:48,2
915,899,80,0,52,29,29,29,30,15,26,25,33,27,71,19,10,5,5,5,5,4,5,5,5,5,5,7,19,6,5,9,6,1,2,1,0,0,1,1,1,2,1,22,2023-10-24 19:22:48,3
970,957,35,0,41,22,22,22,24,10,20,20,22,18,30,19,8,4,4,4,4,3,4,4,4,4,4,6,19,4,5,3,6,0,2,1,0,0,1,1,1,2,1,22,2023-10-24 19:24:48,2
967,949,768,430,60,38,38,38,36,19,38,30,38,31,45,22,12,6,6,6,6,1,6,6,6,6,6,9,22,6,5,3,6,1,2,1,1,1,1,1,1,2,1,25,2023-10-24 19:26:48,2
928,906,884,832,66,36,36,36,10,15,35,8,38,35,56,28,3,1,1,1,1,3,2,2,2,2,2,14,28,11,5,0,0,1,0,0,2,0,0,0,0,0,0,28,2023-10-24 19:28:48,10
1013,1002,1228,966,49,23,23,23,26,12,23,22,29,25,30,20,10,6,6,6,6,0,4,4,4,4,4,8,20,8,5,8,6,0,2,0,1,0,1,1,1,2,1,23,2023-10-24 19:30:48,2
926,906,948,816,79,36,36,35,48,20,35,40,43,34,71,36,18,10,10,10,10,2,8,8,8,8,8,16,36,8,5,8,6,1,2,1,0,0,1,1,1,2,1,39,2023-10-24 19:32:48,9
964,947,923,868,60,33,33,33,30,21,33,25,37,32,15,23,10,5,5,5,5,1,5,5,5,5,5,6,23,5,5,0,0,0,0,1,0,0,0,0,0,0,0,23,2023-10-24 19:34:48,1
980,965,1178,847,59,27,27,28,24,12,26,20,29,23,45,30,10,6,6,6,6,1,4,4,4,4,4,13,30,8,5,9,6,2,2,1,1,1,1,1,1,2,1,33,2023-10-24 19:36:48,1
927,908,879,831,55,25,25,25,36,15,25,30,32,26,71,23,12,6,6,6,6,1,6,6,6,6,6,7,23,8,5,9,6,0,2,1,2,0,1,1,1,2,1,26,2023-10-24 19:38:48,2
1039,1025,1199,860,66,34,34,34,60,22,32,50,44,32,15,22,20,10,10,10,10,1,10,10,10,10,10,11,22,5,5,0,0,2,0,0,1,0,0,0,0,0,0,22,2023-10-24 19:40:48,2
911,892,927,865,70,42,42,42,36,19,40,30,50,42,71,20,12,6,6,6,6,2,6,6,6,6,6,6,20,6,5,9,6,2,2,0,0,0,1,1,1,2,1,23,2023-10-24 19:42:48,2
970,954,954,907,63,28,28,28,42,19,27,35,32,23,30,31,14,7,7,7,7,2,7,7,7,7,7,15,31,5,5,8,6,2,2,0,0,1,1,1,1,2,1,34,2023-10-24 19:44:48,8
1024,1007,1229,868,100,29,29,29,90,23,30,75,47,32,30,53,32,17,17,17,17,2,15,15,15,15,15,27,53,5,5,0,0,0,0,0,1,1,0,0,0,0,0,53,2023-10-24 19:46:48,5
938,922,918,862,63,26,26,26,54,13,26,45,32,23,71,31,24,15,15,15,15,0,9,9,9,9,9,9,31,5,5,9,6,0,2,1,2,0,1,1,1,2,1,34,2023-10-24 19:48:48,1
1024,1011,1214,983,66,29,29,29,24,17,26,20,34,27,30,32,10,6,6,6,6,3,4,4,4,4,4,17,32,2,5,9,6,3,2,1,1,0,1,1,1,2,1,35,2023-10-24 19:50:48,6
922,903,1136,989,59,29,29,29,24,13,28,20,29,24,71,30,8,4,4,4,4,2,4,4,4,4,4,16,30,5,5,8,6,1,2,0,0,0,1,1,1,2,1,33,2023-10-24 19:52:48,7
1004,986,621,535,91,38,38,38,102,14,36,85,67,48,15,24,37,20,20,20,20,0,17,17,17,17,17,3,24,9,5,0,0,2,0,3,0,0,0,0,0,0,0,24,2023-10-24 19:54:48,4
981,956,347,0,69,43,43,41,54,20,40,45,46,36,45,23,18,9,9,9,9,0,9,9,9,9,9,8,23,7,5,9,6,1,2,1,1,0,1,1,1,2,1,26,2023-10-24 19:56:48,6
924,904,49,0,54,32,32,33,36,18,32,30,37,30,71,17,12,6,6,6,6,2,6,6,6,6,6,5,17,8,5,8,6,1,2,0,2,1,1,1,1,2,1,20,2023-10-24 19:58:48,2
985,975,320,0,39,24,24,23,12,16,23,10,24,21,15,15,5,3,3,3,3,1,2,2,2,2,2,6,15,3,5,0,0,1,0,0,1,0,0,0,0,0,0,15,2023-10-24 20:00:48,1
924,909,45,0,46,24,24,24,24,12,24,20,29,25,71,17,8,4,4,4,4,1,4,4,4,4,4,4,17,7,5,8,6,0,2,0,0,0,1,1,1,2,1,20,2023-10-24 20:02:48,1
963,944,38,0,47,30,30,30,18,15,28,15,33,28,30,14,7,4,4,4,4,1,3,3,3,3,3,8,14,6,5,8,6,2,2,1,0,0,1,1,1,2,1,17,2023-10-24 20:04:48,0
966,944,750,422,42,25,25,27,6,10,23,5,21,18,30,21,2,5,5,5,1,0,1,1,1,1,1,7,21,9,5,0,0,2,0,1,1,0,0,0,0,0,0,21,2023-10-24 20:06:48,6
915,893,871,822,54,31,31,31,12,22,32,10,32,30,71,22,5,3,3,3,3,1,2,2,2,2,2,9,22,13,5,9,6,0,2,0,2,1,1,1,1,2,1,25,2023-10-24 20:08:48,0
1024,1004,1177,951,65,35,35,35,12,20,31,10,37,31,30,28,4,2,2,2,2,3,2,2,2,2,2,18,28,9,5,9,6,4,2,2,1,0,1,1,1,2,1,31,2023-10-24 20:10:48,0
929,917,964,825,47,25,25,26,48,10,25,40,30,22,56,17,16,8,8,8,8,0,8,8,8,8,8,11,17,4,5,0,0,0,0,2,0,0,0,0,0,0,0,17,2023-10-24 20:12:48,1
967,952,892,855,48,22,22,22,18,9,23,15,28,25,30,20,6,3,3,3,3,1,3,3,3,3,3,16,20,10,5,9,6,0,2,0,0,1,1,1,1,2,1,23,2023-10-24 20:14:48,0
966,953,1151,840,29,20,20,20,6,5,19,5,17,15,45,12,2,1,1,1,1,1,1,1,1,1,1,4,12,6,5,8,6,1,2,1,1,0,1,1,1,2,1,15,2023-10-24 20:16:48,1
897,890,869,830,47,14,14,14,18,6,14,15,18,14,71,29,8,5,5,5,5,0,3,3,3,3,3,8,29,5,5,8,6,1,2,0,2,1,1,1,1,2,1,32,2023-10-24 20:18:48,2
1012,998,1087,870,38,17,17,18,30,6,17,25,22,17,15,16,12,7,7,7,7,1,5,5,5,5,5,3,16,7,5,0,0,0,0,1,1,0,0,0,0,0,0,16,2023-10-24 20:20:48,3
916,901,1019,877,44,27,27,27,24,16,23,20,31,23,71,13,8,4,4,4,4,0,4,4,4,4,4,3,13,8,5,9,6,4,2,1,0,0,1,1,1,2,1,16,2023-10-24 20:22:48,0
950,939,937,903,45,19,19,19,12,11,18,10,23,20,30,22,4,2,2,2,2,0,2,2,2,2,2,10,22,7,5,4,6,1,2,0,0,0,1,1,1,2,1,25,2023-10-24 20:24:48,0
964,953,1203,880,47,22,22,22,42,7,22,35,27,20,30,20,14,7,7,7,7,1,7,7,7,7,7,11,20,5,5,0,0,0,0,0,1,0,0,0,0,0,0,20,2023-10-24 20:26:48,0
926,910,887,850,49,25,25,25,24,11,25,20,26,21,71,23,8,4,4,4,4,1,4,4,4,4,4,13,23,5,5,3,6,1,2,0,2,1,1,1,1,2,1,26,2023-10-24 20:28:48,3
1026,1014,1209,993,57,24,24,24,54,6,22,45,33,22,30,24,18,9,9,9,9,0,9,9,9,9,9,14,24,6,5,8,6,2,2,2,1,0,1,1,1,2,1,27,2023-10-24 20:30:48,5
935,914,1156,995,53,26,26,29,36,8,23,30,32,24,56,21,14,8,8,8,8,2,6,6,6,6,6,7,21,7,5,0,0,2,0,3,0,0,0,0,0,0,0,21,2023-10-24 20:32:48,3
947,938,580,546,34,16,16,16,12,7,16,10,15,13,30,19,4,2,2,2,2,2,2,2,2,2,2,1,19,0,5,9,6,0,2,0,0,0,1,1,1,2,1,22,2023-10-24 20:34:48,0
947,940,312,0,39,14,14,14,0,5,13,0,13,12,45,26,0,0,0,0,0,0,0,0,0,0,0,14,26,6,5,8,6,1,2,0,1,0,1,1,1,2,1,29,2023-10-24 20:36:48,4
927,909,51,0,60,28,28,28,32,14,27,26,40,32,56,20,12,7,7,7,7,2,6,6,6,6,6,9,20,9,5,0,0,2,0,0,2,1,0,0,0,0,0,20,2023-10-24 20:38:48,2
