parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown
38,38,38,38,0,0,62,0,0,27,0,35,0,3,3,0,0,0,0,62,35,27,27,3,3,1,3,3,2,2,2,2,2,2023-11-28 10:54:00,1
33,33,33,33,0,0,58,0,0,26,0,32,0,1,1,0,0,0,0,58,32,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 10:56:00,0
28,28,28,28,0,0,54,0,0,28,0,26,0,2,2,0,0,0,0,54,26,28,28,4,4,2,4,4,4,2,2,2,0,2023-11-28 10:58:00,0
22,22,22,22,0,0,47,0,0,26,0,21,0,1,1,0,0,0,0,47,21,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 11:00:00,0
33,34,33,33,0,0,56,0,0,27,0,29,0,4,4,1,0,0,0,56,29,27,27,3,3,3,3,3,3,2,2,2,0,2023-11-28 11:02:00,2
33,33,33,33,0,0,59,0,0,28,0,31,0,2,2,0,0,0,0,59,31,28,28,4,4,1,4,4,4,2,2,2,1,2023-11-28 11:04:00,0
43,43,43,43,0,0,66,0,0,26,0,40,0,3,3,1,0,0,0,66,40,26,26,2,2,1,2,2,2,2,2,2,1,2023-11-28 11:06:00,0
34,34,34,34,0,0,59,0,0,27,0,32,0,2,2,0,0,0,0,59,32,27,27,3,3,2,3,3,2,2,2,2,0,2023-11-28 11:08:00,1
34,34,34,34,0,0,60,0,0,28,0,32,0,2,2,0,0,0,0,60,32,28,28,4,4,0,4,4,4,2,2,2,2,2023-11-28 11:10:00,0
33,33,33,33,0,0,59,0,0,27,0,32,0,1,1,0,0,0,0,59,32,27,27,3,3,0,3,3,2,2,2,2,1,2023-11-28 11:12:00,1
33,32,33,33,0,0,55,0,0,26,0,29,0,3,3,0,0,0,0,55,29,26,26,2,2,3,2,2,2,2,2,2,0,2023-11-28 11:14:00,0
60,60,60,60,0,0,135,0,0,27,0,108,0,3,3,0,0,0,0,135,57,27,27,3,3,3,2,2,2,2,2,2,0,2023-11-28 11:16:00,56
44,44,44,44,0,0,71,0,0,29,0,42,0,2,2,0,0,0,0,71,42,29,29,5,5,2,5,5,5,2,2,2,0,2023-11-28 11:18:00,0
3121,3121,3121,3121,1385,19,186,19,19,156,1385,30,19,67,67,65,19,19,19,186,30,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-28 11:20:00,0
7349,7349,7349,7349,3011,43,291,43,43,248,3011,43,43,111,111,107,43,43,43,291,43,27,27,3,3,2,3,3,3,2,2,2,2,2023-11-28 11:22:00,0
8885,8885,8885,8885,3370,43,281,43,43,243,3370,38,43,217,217,214,43,43,43,281,38,27,27,4,4,3,4,4,4,2,2,2,0,2023-11-28 11:24:00,0
9857,9856,9856,9856,3876,47,300,47,47,257,3876,43,47,232,232,230,47,47,47,300,43,27,27,3,3,1,3,3,3,2,2,2,1,2023-11-28 11:26:00,0
9473,9472,9472,9472,3725,46,285,46,46,244,3725,41,46,223,223,222,46,46,46,285,41,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 11:28:00,0
9626,9628,9627,9627,3786,46,289,46,46,249,3786,40,46,225,225,225,46,46,46,289,40,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 11:30:00,5
10031,10033,10032,10032,3945,47,316,47,47,262,3945,54,47,236,236,234,47,47,47,316,54,31,31,6,5,2,5,5,4,2,2,2,0,2023-11-28 11:32:00,12
9258,9255,9255,9255,3635,45,298,43,43,245,3635,53,43,219,219,217,43,43,45,298,53,26,26,2,2,1,2,2,2,2,2,2,1,2023-11-28 11:34:00,6
9517,9519,9519,9519,3744,44,284,46,46,247,3744,37,46,224,224,222,46,46,44,284,37,27,27,3,3,1,3,3,2,2,2,2,1,2023-11-28 11:36:00,2
10055,10056,10056,10056,3960,48,309,48,48,261,3960,48,48,234,234,233,48,48,48,309,48,29,29,4,4,1,4,4,4,2,2,2,0,2023-11-28 11:38:00,0
10116,10115,10115,10115,3986,48,300,48,48,258,3986,42,48,234,234,234,48,48,48,300,42,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 11:40:00,0
10297,10298,10298,10298,4058,48,305,48,48,262,4058,43,48,239,239,238,48,48,48,305,43,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-28 11:42:00,0
10330,10329,10329,10329,4081,48,305,48,48,261,4081,44,48,238,238,237,48,48,48,305,44,26,26,2,2,0,2,2,2,2,2,2,1,2023-11-28 11:44:00,6
10321,10320,10320,10320,4081,48,304,48,48,265,4081,39,48,239,239,238,48,48,48,304,39,29,29,5,5,1,5,5,5,2,2,2,0,2023-11-28 11:46:00,3
8794,8794,8794,8794,3467,42,257,42,42,228,3467,29,42,209,209,205,42,42,42,257,29,25,25,2,2,3,2,2,2,2,2,2,1,2023-11-28 11:48:00,1
9974,9974,9974,9974,3921,48,302,48,48,260,3921,42,48,234,234,233,48,48,48,302,42,27,27,3,3,1,3,3,2,2,2,2,0,2023-11-28 11:50:00,1
9428,9431,9430,9430,3710,46,279,46,46,250,3710,29,46,223,223,222,46,46,46,279,29,28,28,4,4,1,4,4,4,2,2,2,0,2023-11-28 11:52:00,4
9617,9617,9617,9617,3781,42,293,42,42,246,3781,47,42,225,225,224,42,42,42,293,47,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 11:54:00,0
9904,9902,9902,9902,3897,48,298,48,48,258,3897,40,48,232,232,231,48,48,48,298,40,27,27,3,3,1,3,3,2,2,2,2,0,2023-11-28 11:56:00,4
9630,9632,9632,9632,3798,46,285,46,46,247,3798,38,46,229,229,223,46,46,46,285,38,26,26,2,2,3,2,2,2,2,2,2,3,2023-11-28 11:58:00,4
9701,9700,9700,9700,3822,46,285,46,46,255,3822,30,46,229,229,226,46,46,46,285,30,31,31,6,5,3,5,5,5,2,2,2,0,2023-11-28 12:00:00,4
9874,9878,9874,9874,3887,48,290,48,48,255,3887,35,48,232,232,231,48,48,48,290,35,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 12:02:00,0
9317,9316,9316,9316,3675,44,273,44,44,242,3675,31,44,219,219,218,44,44,44,273,31,27,27,3,3,0,3,3,2,2,2,2,1,2023-11-28 12:04:00,3
10282,10283,10283,10283,4056,46,318,46,46,265,4056,53,46,238,238,236,46,46,46,318,53,30,30,5,4,1,4,4,4,2,2,2,1,2023-11-28 12:06:00,3
9581,9581,9581,9581,3774,46,290,46,46,248,3774,42,46,220,220,220,46,46,46,290,42,27,27,3,3,0,3,3,2,2,2,2,0,2023-11-28 12:08:00,1
10019,10020,10020,10020,3943,48,294,48,48,258,3943,36,48,235,235,233,48,48,48,294,36,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-28 12:10:00,0
9844,9841,9841,9841,3890,46,286,46,46,253,3890,33,46,229,229,226,46,46,46,286,33,27,27,3,3,1,3,3,3,2,2,2,2,2023-11-28 12:12:00,0
10254,10256,10256,10256,4046,48,314,48,48,263,4046,51,48,239,239,236,48,48,48,314,51,29,29,5,5,2,5,5,5,2,2,2,1,2023-11-28 12:14:00,0
10333,10334,10334,10334,4081,48,351,48,48,263,4081,88,48,238,238,237,48,48,48,351,37,27,27,3,3,0,2,2,2,2,2,2,1,2023-11-28 12:16:00,52
10167,10167,10167,10167,4013,48,309,48,48,258,4013,51,48,237,237,233,48,48,48,309,51,27,27,3,3,3,3,3,3,2,2,2,1,2023-11-28 12:18:00,0
10316,10316,10316,10316,4069,48,300,48,48,262,4069,38,48,238,238,238,48,48,48,300,38,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 12:20:00,3
10320,10319,10319,10319,4063,48,322,48,48,263,4063,59,48,241,241,236,48,48,48,322,59,27,27,3,3,4,3,3,3,2,2,2,1,2023-11-28 12:22:00,4
10340,10341,10341,10341,4080,46,311,46,46,258,4080,53,46,239,239,238,46,46,46,311,53,24,24,0,0,1,0,0,0,2,2,2,0,2023-11-28 12:24:00,4
10350,10350,10350,10350,4090,48,309,48,48,260,4090,49,48,239,239,238,48,48,48,309,49,24,24,0,0,1,0,0,0,2,2,2,0,2023-11-28 12:26:00,1
10087,10087,10087,10087,3997,48,285,48,48,254,3997,31,48,235,235,234,48,48,48,285,31,24,24,0,0,1,0,0,0,2,2,2,0,2023-11-28 12:28:00,0
10338,10335,10335,10335,4083,48,305,48,48,260,4083,45,48,238,238,237,48,48,48,305,45,24,24,0,0,1,0,0,0,2,2,2,0,2023-11-28 12:30:00,6
10324,10325,10325,10325,4075,46,311,46,46,262,4075,49,46,238,238,238,46,46,46,311,49,26,26,1,0,0,0,0,0,2,2,2,0,2023-11-28 12:32:00,3
10328,10329,10329,10329,4087,48,302,48,48,259,4087,43,48,242,242,238,48,48,48,302,43,24,24,0,0,3,0,0,0,2,2,2,1,2023-11-28 12:34:00,2
10320,10320,10320,10320,4072,48,306,48,48,260,4072,46,48,240,240,239,48,48,48,306,46,24,24,0,0,1,0,0,0,2,2,2,0,2023-11-28 12:36:00,0
9731,9732,9732,9732,3839,48,285,48,48,250,3839,35,48,228,228,225,48,48,48,285,35,26,26,2,2,2,2,2,2,2,2,2,1,2023-11-28 12:38:00,4
10329,10329,10329,10329,4080,48,295,48,48,260,4080,35,48,242,242,239,48,48,48,295,35,26,26,2,2,3,2,2,2,2,2,2,0,2023-11-28 12:40:00,0
10283,10283,10283,10283,4060,48,288,48,48,263,4060,25,48,240,240,236,48,48,48,288,25,27,27,3,3,3,3,3,2,2,2,2,1,2023-11-28 12:42:00,9
10347,10346,10346,10346,4086,48,308,48,48,265,4086,43,48,239,239,238,48,48,48,308,43,29,29,5,5,1,5,5,4,2,2,2,0,2023-11-28 12:44:00,1
10327,10325,10325,10325,4078,48,305,48,48,262,4078,43,48,237,237,236,48,48,48,305,43,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 12:46:00,0
10238,10240,10240,10240,4036,48,304,48,48,260,4036,44,48,238,238,235,48,48,48,304,44,27,27,3,3,2,3,3,3,2,2,2,1,2023-11-28 12:48:00,0
10334,10335,10335,10335,4085,48,297,48,48,265,4085,32,48,242,242,239,48,48,48,297,32,29,29,5,5,3,5,5,5,2,2,2,0,2023-11-28 12:50:00,0
10300,10299,10299,10299,4064,48,294,48,48,262,4064,32,48,236,236,236,48,48,48,294,32,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 12:52:00,0
10324,10323,10323,10323,4080,48,293,48,48,263,4080,30,48,240,240,238,48,48,48,293,30,27,27,3,3,0,3,3,3,2,2,2,2,2023-11-28 12:54:00,0
10317,10318,10318,10318,4076,46,300,46,46,265,4076,35,46,241,241,240,46,46,47,300,35,29,29,5,5,1,5,5,5,2,2,2,0,2023-11-28 12:56:00,0
10344,10345,10345,10345,4084,48,308,48,48,260,4084,48,48,237,237,236,48,48,47,308,48,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 12:58:00,0
10309,10308,10308,10308,4064,48,305,48,48,263,4064,42,48,238,238,238,48,48,48,305,42,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-28 13:00:00,0
10190,10191,10191,10191,4027,46,285,46,46,260,4027,25,46,234,234,234,46,46,46,285,25,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 13:02:00,0
10299,10298,10298,10298,4072,48,288,48,48,264,4072,24,48,238,238,238,48,48,48,288,24,29,29,5,5,0,5,5,4,2,2,2,0,2023-11-28 13:04:00,1
10339,10340,10340,10340,4087,48,297,48,48,261,4087,36,48,237,237,236,48,48,48,297,36,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 13:06:00,0
10348,10347,10347,10347,4094,48,300,48,48,263,4094,37,48,240,240,238,48,48,48,300,37,27,27,3,3,1,3,3,2,2,2,2,1,2023-11-28 13:08:00,1
10332,10333,10333,10333,4082,48,301,48,48,265,4082,36,48,239,239,236,48,48,48,301,36,29,29,5,5,0,5,5,5,2,2,2,3,2023-11-28 13:10:00,0
10326,10325,10325,10325,4075,48,300,48,48,262,4075,38,48,239,239,238,48,48,48,300,38,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 13:12:00,0
10325,10325,10325,10325,4084,48,290,48,48,263,4084,27,48,238,238,237,48,48,48,290,27,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-28 13:14:00,0
10349,10349,10349,10349,4080,48,316,48,48,263,4080,53,48,237,237,237,48,48,48,316,53,29,29,5,5,0,5,5,5,2,2,2,0,2023-11-28 13:16:00,0
10326,10325,10325,10325,4072,48,310,48,48,262,4072,48,48,238,238,237,48,48,48,310,48,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 13:18:00,0
10317,10316,10316,10316,4070,48,309,48,48,265,4070,44,48,239,239,237,48,48,48,309,44,29,29,4,3,2,3,3,3,2,2,2,0,2023-11-28 13:20:00,3
10279,10281,10281,10281,4065,54,290,49,49,260,4066,30,49,237,237,236,49,48,48,290,30,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 13:22:00,1
10303,10303,10303,10303,4075,48,293,48,48,265,4075,28,48,237,237,237,48,48,48,293,28,29,29,5,5,0,5,5,5,2,2,2,0,2023-11-28 13:24:00,0
10232,10232,10232,10232,4043,48,298,48,48,260,4043,38,48,238,238,236,48,48,48,298,38,26,26,2,2,1,2,2,2,2,2,2,1,2023-11-28 13:26:00,0
10306,10307,10307,10307,4064,46,296,46,46,263,4064,33,46,239,239,236,46,46,46,296,33,27,27,3,3,3,3,3,2,2,2,2,0,2023-11-28 13:28:00,1
10302,10302,10302,10302,4064,48,300,48,48,265,4064,35,48,243,243,238,48,48,48,300,35,31,31,6,5,5,5,5,4,2,2,2,0,2023-11-28 13:30:00,4
10323,10323,10323,10323,4074,48,314,48,48,262,4074,52,48,239,239,236,48,48,48,314,52,26,26,2,2,3,2,2,2,2,2,2,0,2023-11-28 13:32:00,0
10314,10313,10313,10313,4078,48,298,48,48,263,4078,35,48,240,240,238,48,48,48,298,35,27,27,3,3,2,3,3,3,2,2,2,0,2023-11-28 13:34:00,0
10305,10306,10306,10306,4078,47,293,47,47,263,4078,30,47,238,238,236,47,47,47,293,30,29,29,5,5,2,5,5,5,2,2,2,0,2023-11-28 13:36:00,0
10326,10326,10326,10326,4086,47,290,47,47,262,4086,28,47,239,239,238,47,47,47,290,28,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 13:38:00,0
10317,10316,10316,10316,4075,48,291,48,48,263,4075,28,48,237,237,236,48,48,48,291,28,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-28 13:40:00,0
10308,10308,10308,10308,4068,48,301,48,48,262,4068,39,48,238,238,238,48,48,48,301,39,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 13:42:00,0
10330,10331,10331,10331,4080,48,304,48,48,265,4080,39,48,238,238,236,48,48,48,304,39,29,29,5,5,1,5,5,5,2,2,2,1,2023-11-28 13:44:00,0
10346,10346,10346,10346,4085,48,309,48,48,261,4085,48,48,240,240,238,48,48,48,309,48,27,27,3,3,1,3,3,3,2,2,2,1,2023-11-28 13:46:00,0
10336,10336,10336,10336,4087,48,295,48,48,262,4087,33,48,238,238,236,48,48,48,295,33,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-28 13:48:00,0
10240,10238,10238,10238,4044,48,296,48,48,263,4044,33,48,239,239,237,48,48,48,296,33,29,29,5,5,2,5,5,4,2,2,2,0,2023-11-28 13:50:00,1
10321,10321,10321,10321,4081,48,288,48,48,262,4081,26,48,238,238,237,48,48,48,288,26,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 13:52:00,0
10330,10332,10332,10332,4083,48,299,48,48,263,4083,36,48,239,239,237,48,48,48,299,36,27,27,3,3,1,3,3,2,2,2,2,1,2023-11-28 13:54:00,1
10325,10325,10325,10325,4076,48,299,48,48,265,4076,34,48,241,241,238,48,48,48,299,34,29,29,5,5,3,5,5,5,2,2,2,0,2023-11-28 13:56:00,0
10346,10346,10346,10346,4090,48,305,48,48,260,4090,45,48,240,240,237,48,48,48,305,45,26,26,2,2,3,2,2,2,2,2,2,0,2023-11-28 13:58:00,0
10332,10331,10331,10331,4082,48,293,48,48,263,4082,30,48,239,239,237,48,48,48,293,30,27,27,3,3,2,3,3,3,2,2,2,0,2023-11-28 14:00:00,0
10268,10267,10267,10267,4057,48,287,48,48,262,4057,25,47,237,237,237,47,47,48,287,25,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 14:02:00,0
10317,10319,10319,10319,4077,46,301,46,46,265,4077,36,47,237,237,237,47,47,46,301,36,29,29,5,5,0,5,5,5,2,2,2,0,2023-11-28 14:04:00,0
10313,10310,10310,10310,4074,48,292,48,48,262,4074,30,48,238,238,238,48,48,48,292,30,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-28 14:06:00,3
8075,8078,8078,8078,3173,46,256,46,46,223,3173,33,46,203,203,199,46,46,46,256,33,26,26,2,2,3,2,2,2,2,2,2,1,2023-11-28 14:08:00,0
2977,2977,2977,2977,1109,28,156,28,28,118,1109,38,28,95,95,93,28,28,28,156,38,29,29,5,5,2,5,5,5,2,2,2,0,2023-11-28 14:10:00,0
4802,4802,4802,4802,1873,28,190,28,28,140,1873,50,28,113,113,112,28,28,28,190,50,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-28 14:12:00,0
10224,10224,10224,10224,4036,48,290,48,48,260,4036,30,48,237,237,236,48,48,48,290,30,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 14:14:00,0
10344,10343,10343,10343,4087,48,360,48,48,266,4087,94,48,237,237,236,48,48,48,360,43,30,30,6,6,0,5,5,5,2,2,2,1,2023-11-28 14:16:00,52
9931,9932,9932,9932,3918,48,293,48,48,258,3918,35,48,235,235,234,48,48,48,293,35,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-28 14:18:00,4
10313,10312,10312,10312,4073,48,303,48,48,260,4073,43,48,238,238,236,48,48,48,303,43,26,26,2,2,1,2,2,2,2,2,2,1,2023-11-28 14:20:00,0
10293,10294,10294,10294,4062,48,300,48,48,263,4062,37,48,240,240,238,48,48,48,300,37,27,27,3,3,1,3,3,2,2,2,2,1,2023-11-28 14:22:00,5
10336,10335,10335,10335,4088,48,309,48,48,264,4088,45,48,237,237,236,48,48,48,309,45,28,28,4,4,1,4,4,4,2,2,2,0,2023-11-28 14:24:00,15
10117,10118,10118,10118,3996,48,287,48,48,259,3996,28,48,235,235,235,48,48,48,287,28,27,27,3,3,0,3,3,2,2,2,2,0,2023-11-28 14:26:00,1
10267,10264,10264,10264,4053,48,302,48,48,261,4053,41,48,239,239,238,48,48,48,302,41,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 14:28:00,0
7822,7825,7825,7825,3075,41,264,41,41,214,3075,50,41,190,190,187,41,41,41,264,50,29,29,5,5,2,5,5,5,2,2,2,1,2023-11-28 14:30:00,10
10306,10305,10305,10305,4073,48,308,48,48,261,4073,47,48,239,239,236,48,48,48,308,47,27,27,3,3,2,3,3,3,2,2,2,1,2023-11-28 14:32:00,0
10309,10310,10310,10310,4067,48,310,48,48,262,4067,48,48,240,240,238,48,48,48,310,48,26,26,2,2,1,2,2,2,2,2,2,1,2023-11-28 14:34:00,0
10337,10337,10337,10337,4083,45,321,45,45,265,4083,56,45,238,238,236,45,45,45,321,56,29,29,5,5,1,5,5,5,2,2,2,1,2023-11-28 14:36:00,0
10241,10241,10241,10241,4039,48,306,48,48,259,4039,47,48,239,239,236,48,48,48,306,47,26,26,3,3,1,3,3,3,2,2,2,2,2023-11-28 14:38:00,0
10091,10090,10090,10090,3971,48,312,48,48,260,3971,52,48,237,237,234,48,48,48,312,52,26,26,2,2,2,2,2,2,2,2,2,1,2023-11-28 14:40:00,0
10206,10206,10206,10206,4033,48,305,48,48,260,4033,45,48,236,236,235,48,48,48,305,45,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-28 14:42:00,6
10296,10297,10297,10297,4062,48,313,48,48,264,4062,49,48,241,241,238,48,48,48,313,49,28,28,4,4,1,4,4,4,2,2,2,2,2023-11-28 14:44:00,0
10317,10317,10317,10317,4076,48,303,48,48,261,4076,42,48,240,240,237,48,48,48,303,42,27,27,3,3,2,3,3,3,2,2,2,1,2023-11-28 14:46:00,0
10191,10191,10191,10191,4028,48,287,48,48,259,4028,28,48,241,241,238,48,48,48,287,28,26,26,2,2,3,2,2,2,2,2,2,0,2023-11-28 14:48:00,0
10270,10270,10270,10270,4054,48,309,48,48,265,4054,44,48,241,241,236,48,48,48,309,44,29,29,5,5,4,5,5,5,2,2,2,1,2023-11-28 14:50:00,6
9463,9463,9463,9463,3736,45,287,45,45,249,3736,38,45,224,224,223,45,45,45,287,38,26,26,2,2,0,2,2,2,2,2,2,1,2023-11-28 14:52:00,0
9808,9803,9801,9801,3855,48,289,48,48,254,3855,35,48,233,233,230,48,48,48,289,35,26,26,2,2,2,2,2,2,2,2,2,1,2023-11-28 14:54:00,0
10280,10286,10286,10286,4063,45,293,45,45,261,4063,32,45,238,238,236,45,45,45,293,32,27,27,3,3,2,3,3,2,2,2,2,0,2023-11-28 14:56:00,1
9842,9841,9841,9841,3881,46,293,46,46,254,3881,39,46,230,230,228,46,46,46,293,39,28,28,4,4,1,4,4,4,2,2,2,1,2023-11-28 14:58:00,0
