,country,platform,city,client_version,media,network,target_metric
44,DK,Android,Copenhagen,cv_08,Audio,3G,True
45,US,Android,Seattle,cv_07,Audio,wi-fi,True
46,UK,Windows,Liverpool,cv_05,Audio,ethernet,True
47,IN,Windows,Banglor,cv_08,Audio,ethernet,True
48,UK,Windows,Liverpool,cv_10,Video,wi-fi,False
49,IN,Windows,Banglor,cv_10,ScreenShare,ethernet,True
50,HK,Windows,Hong Kong,cv_07,Video,ethernet,False
51,AU,Android,Melbourne,cv_05,Audio,LTE,True
52,UK,Windows,Birmingham,cv_07,Video,wi-fi,True
53,IN,Windows,Mumbai,cv_09,ScreenShare,ethernet,True
54,BE,Android,Brussels,cv_09,Video,wi-fi,True
55,DK,iOS,Copenhagen,cv_03,Audio,wi-fi,True
56,NG,Mac,Kano,cv_08,Audio,wi-fi,True
57,HK,Windows,Hong Kong,cv_07,Video,wi-fi,True
58,AU,Windows,Sydney,cv_10,ScreenShare,ethernet,True
59,UK,Windows,Liverpool,cv_04,Audio,wi-fi,True
60,IN,Android,Banglor,cv_10,Audio,wi-fi,True
61,IN,Android,New Delhi,cv_08,Video,wi-fi,True
62,HK,Windows,Hong Kong,cv_05,Video,wi-fi,True
63,IN,Windows,Hyderabad,cv_07,Video,ethernet,True
64,FR,Windows,Marseille,cv_06,Video,wi-fi,True
65,US,Android,Los Angeles,cv_07,Video,wi-fi,True
66,AU,Windows,Canberra,cv_05,Video,ethernet,True
67,HK,Windows,Hong Kong,cv_08,Audio,ethernet,False
68,AE,Windows,Dubai,cv_09,Audio,wi-fi,True
69,FI,Windows,Helsinki,cv_07,Audio,wi-fi,True
70,FI,Windows,Tampere,cv_03,Video,ethernet,True
71,KR,Windows,Seoul,cv_09,Video,wi-fi,True
72,US,Android,Seattle,cv_05,Audio,wi-fi,True
73,RU,Windows,Saint Petersburg,cv_08,Audio,wi-fi,True
74,US,Windows,New York,cv_09,Audio,wi-fi,True
75,IN,Windows,Mumbai,cv_08,Audio,ethernet,True
76,FI,Mac,Helsinki,cv_09,Audio,wi-fi,True
77,FR,Windows,Paris,cv_02,Audio,wi-fi,True
78,NG,iOS,Lagos,cv_04,Audio,wi-fi,True
79,FR,Android,Nice,cv_08,Audio,wi-fi,True
80,HK,Android,Kowloon,cv_09,Audio,wi-fi,True
81,US,Android,Los Angeles,cv_05,Audio,wi-fi,True
82,IN,Windows,Mumbai,cv_08,Video,wi-fi,False
83,UK,Windows,London,cv_08,Video,wi-fi,True
84,RU,Mac,Kazan,cv_09,Audio,ethernet,True
85,US,Mac,Seattle,cv_03,Audio,wi-fi,True
86,FI,Windows,Tampere,cv_08,Video,wi-fi,True
87,AE,Android,Dubai,cv_10,Audio,wi-fi,True
88,FR,Windows,Paris,cv_07,Video,wi-fi,True
89,AU,Windows,Perth,cv_08,Video,wi-fi,True
90,HK,Android,Hong Kong,cv_04,Video,3G,True
91,DK,iOS,Copenhagen,cv_07,Audio,wi-fi,True
92,HK,Windows,Hong Kong,cv_08,Audio,ethernet,True
93,RU,Windows,Novosibirsk,cv_08,Audio,wi-fi,True
94,US,Android,San Francisco,cv_07,Audio,wi-fi,True
95,IN,iOS,Banglor,cv_05,Video,LTE,True
96,BE,Android,Antwerp,cv_05,Audio,wi-fi,True
97,NG,Windows,Lagos,cv_08,Audio,wi-fi,True
98,US,Android,San Francisco,cv_04,Video,LTE,False
99,NG,Windows,Kano,cv_05,Audio,wi-fi,True
100,UK,Android,London,cv_08,Video,wi-fi,True
101,FR,iOS,Paris,cv_05,Audio,wi-fi,True
102,FI,Windows,Helsinki,cv_05,Audio,wi-fi,True
103,FI,Windows,Helsinki,cv_08,Audio,ethernet,True
104,IN,Windows,Banglor,cv_04,Audio,wi-fi,True
105,BE,Mac,Brussels,cv_08,Audio,ethernet,True
106,UK,Windows,Manchester,cv_05,Audio,wi-fi,True
107,UK,Android,Liverpool,cv_07,Audio,LTE,True
108,UK,Windows,London,cv_08,Audio,wi-fi,True
109,US,Android,Seattle,cv_10,Video,wi-fi,True
110,KR,Mac,Incheon,cv_07,Audio,wi-fi,True
111,DK,Android,Copenhagen,cv_06,Audio,wi-fi,True
112,DK,Android,Arhus,cv_08,Video,wi-fi,True
113,US,Windows,San Francisco,cv_08,Audio,wi-fi,True
114,AU,Windows,Perth,cv_07,Audio,ethernet,True
115,NG,Windows,Lagos,cv_07,Video,wi-fi,True
116,FI,Windows,Helsinki,cv_04,ScreenShare,wi-fi,True
117,UK,Mac,Birmingham,cv_08,Video,wi-fi,True
118,RU,Android,Yekaterinburg,cv_08,ScreenShare,LTE,True
119,UK,Mac,Manchester,cv_06,Audio,ethernet,True
120,KR,Windows,Seoul,cv_08,Audio,ethernet,True
121,UK,Windows,Manchester,cv_09,Audio,ethernet,False
122,RU,Windows,Moscow,cv_09,Audio,wi-fi,True
123,HK,Windows,Hong Kong,cv_08,Video,wi-fi,True
124,US,Android,New York,cv_04,Audio,LTE,True
125,FI,Android,Tampere,cv_09,Audio,wi-fi,True
126,UK,Windows,London,cv_07,Video,wi-fi,True
127,US,Android,Seattle,cv_10,Audio,wi-fi,True
128,FR,Windows,Montpellier,cv_07,Audio,ethernet,True
129,US,Android,Los Angeles,cv_07,Audio,wi-fi,True
130,DK,Windows,Copenhagen,cv_08,Video,wi-fi,True
131,HK,Windows,Kowloon,cv_07,Audio,wi-fi,True
132,DK,Windows,Arhus,cv_07,ScreenShare,wi-fi,True
133,RU,Windows,Moscow,cv_01,Audio,ethernet,True
134,FR,Windows,Paris,cv_04,Video,ethernet,True
135,DK,Windows,Copenhagen,cv_09,Video,ethernet,True
136,UK,Android,Liverpool,cv_02,Audio,wi-fi,True
137,FI,Windows,Helsinki,cv_09,Audio,wi-fi,True
138,FR,Mac,Nice,cv_09,Audio,ethernet,True
139,AE,Android,Sharjah,cv_09,Audio,LTE,True
140,FR,Windows,Nice,cv_10,Audio,wi-fi,True
141,FR,Windows,Montpellier,cv_08,Audio,ethernet,True
142,US,Mac,San Francisco,cv_09,Audio,wi-fi,True
143,FR,Android,Paris,cv_09,Audio,wi-fi,True
144,RU,Windows,Novosibirsk,cv_05,Audio,wi-fi,True
145,UK,Mac,London,cv_09,Video,wi-fi,True
146,DK,iOS,Copenhagen,cv_04,Audio,wi-fi,True
147,UK,Android,London,cv_04,Audio,LTE,False
148,US,Windows,Seattle,cv_09,Audio,ethernet,True
149,FR,Mac,Nice,cv_03,Video,ethernet,True
150,AE,Windows,Dubai,cv_09,Video,ethernet,True
151,AU,Windows,Canberra,cv_05,Video,wi-fi,True
152,HK,Windows,Hong Kong,cv_09,Video,wi-fi,True
153,FR,Windows,Paris,cv_07,Audio,wi-fi,True
154,AE,Mac,Dubai,cv_03,Audio,ethernet,True
155,FR,iOS,Marseille,cv_05,Audio,3G,True
156,IN,Windows,Hyderabad,cv_07,Audio,ethernet,True
157,RU,Windows,Moscow,cv_07,Video,ethernet,True
158,FI,iOS,Helsinki,cv_08,Video,wi-fi,True
159,HK,Windows,Hong Kong,cv_08,Audio,wi-fi,True
160,HK,Android,Hong Kong,cv_09,ScreenShare,wi-fi,True
161,US,Android,Chicago,cv_08,Audio,wi-fi,True
162,UK,Windows,London,cv_07,Audio,wi-fi,True
163,FI,Android,Helsinki,cv_08,Audio,wi-fi,True
164,AU,Mac,Melbourne,cv_05,Audio,wi-fi,True
165,FI,Android,Helsinki,cv_05,Video,wi-fi,True
166,BE,Windows,Ghent,cv_04,Video,wi-fi,True
167,FR,Android,Nice,cv_06,Audio,3G,True
168,US,Android,Miami,cv_07,ScreenShare,LTE,True
169,FI,Android,Tampere,cv_08,Audio,LTE,True
170,UK,Windows,London,cv_08,Video,ethernet,True
171,IN,iOS,Hyderabad,cv_05,Audio,wi-fi,True
172,US,Mac,Seattle,cv_08,Video,ethernet,True
173,IN,Windows,Hyderabad,cv_05,Audio,ethernet,True
174,DK,Windows,Arhus,cv_05,Audio,wi-fi,True
175,UK,Windows,Liverpool,cv_07,Audio,ethernet,True
176,AU,Windows,Canberra,cv_07,Audio,ethernet,True
177,FI,Android,Helsinki,cv_07,ScreenShare,wi-fi,True
178,FR,Windows,Montpellier,cv_04,Audio,ethernet,True
179,US,iOS,New York,cv_04,Video,LTE,True
180,RU,Windows,Moscow,cv_05,Audio,wi-fi,True
181,FR,Android,Montpellier,cv_04,Audio,wi-fi,True
182,RU,Android,Moscow,cv_03,Audio,wi-fi,True
183,BE,Windows,Ghent,cv_10,Audio,ethernet,True
184,FI,Windows,Tampere,cv_09,Video,ethernet,True
185,AU,Windows,Perth,cv_04,Video,wi-fi,True
186,RU,Mac,Yekaterinburg,cv_10,Video,wi-fi,True
187,HK,iOS,Hong Kong,cv_04,Audio,LTE,True
188,DK,Windows,Copenhagen,cv_06,Audio,wi-fi,True
189,DK,Android,Arhus,cv_07,Audio,LTE,True
190,UK,Windows,London,cv_08,Audio,wi-fi,True
191,NG,Windows,Lagos,cv_05,Audio,wi-fi,True
192,AU,Windows,Perth,cv_08,Video,wi-fi,True
193,US,Android,San Francisco,cv_08,Audio,3G,True
194,FI,Windows,Turku,cv_08,Video,ethernet,True
195,BE,Windows,Ghent,cv_09,Audio,ethernet,True
196,IN,Windows,Banglor,cv_08,Audio,wi-fi,True
197,DK,Android,Copenhagen,cv_08,Video,wi-fi,True
198,DK,Windows,Copenhagen,cv_10,Audio,ethernet,True
199,IN,Windows,Banglor,cv_03,Audio,wi-fi,True
200,UK,Windows,Liverpool,cv_09,Video,wi-fi,True
201,HK,Windows,Hong Kong,cv_05,Audio,ethernet,True
202,BE,Windows,Antwerp,cv_08,Audio,ethernet,False
203,US,Android,Seattle,cv_06,Audio,3G,True
204,KR,Windows,Seoul,cv_03,Audio,wi-fi,True
205,FR,Windows,Paris,cv_08,Audio,wi-fi,True
206,FI,iOS,Helsinki,cv_05,Audio,3G,True
207,HK,Windows,Hong Kong,cv_10,Audio,ethernet,True
208,AE,Windows,Dubai,cv_07,ScreenShare,wi-fi,True
209,US,Android,San Francisco,cv_10,Audio,wi-fi,False
210,AE,Android,Dubai,cv_07,Audio,3G,True
211,UK,Windows,Liverpool,cv_08,Audio,ethernet,True
212,AU,iOS,Perth,cv_08,Audio,wi-fi,True
213,US,Android,Miami,cv_09,Audio,wi-fi,True
214,UK,Android,London,cv_05,Video,wi-fi,True
215,AE,Android,Abu Dhabi,cv_05,Video,wi-fi,True
216,UK,Windows,London,cv_09,ScreenShare,wi-fi,True
217,DK,Mac,Copenhagen,cv_07,Audio,wi-fi,True
218,US,Android,San Francisco,cv_08,Audio,wi-fi,False
219,US,Windows,Seattle,cv_09,Audio,wi-fi,True
220,AU,Windows,Sydney,cv_07,Audio,ethernet,True
221,US,iOS,San Francisco,cv_07,Video,wi-fi,True
222,AE,Windows,Sharjah,cv_08,Audio,wi-fi,True
223,AE,Windows,Dubai,cv_05,Audio,ethernet,True
224,UK,Windows,London,cv_07,ScreenShare,ethernet,True
225,FR,Windows,Nice,cv_04,Audio,wi-fi,True
226,UK,Android,Liverpool,cv_04,Video,3G,True
227,US,Android,San Francisco,cv_09,Video,3G,True
228,IN,Android,Hyderabad,cv_08,Audio,3G,True
229,AU,Windows,Canberra,cv_09,Audio,ethernet,True
230,FI,Android,Helsinki,cv_10,Audio,wi-fi,True
231,FR,Android,Montpellier,cv_05,Audio,wi-fi,True
232,UK,Windows,Liverpool,cv_03,Audio,ethernet,True
233,AE,Windows,Dubai,cv_08,Audio,wi-fi,True
234,FI,Windows,Helsinki,cv_10,Audio,wi-fi,True
235,FI,Windows,Helsinki,cv_05,Video,wi-fi,True
236,FR,Windows,Paris,cv_07,Video,wi-fi,True
237,UK,Mac,Liverpool,cv_09,Audio,wi-fi,True
238,FR,Windows,Paris,cv_08,Video,wi-fi,True
239,UK,Windows,Liverpool,cv_07,Audio,wi-fi,True
240,HK,Windows,Hong Kong,cv_08,Video,wi-fi,True
241,AU,Windows,Perth,cv_04,Audio,ethernet,True
242,US,Windows,New York,cv_08,Audio,ethernet,True
243,FI,Windows,Tampere,cv_09,Video,wi-fi,True
244,UK,Mac,London,cv_09,Audio,wi-fi,True
245,FR,Windows,Montpellier,cv_08,Audio,ethernet,True
246,UK,iOS,Liverpool,cv_08,ScreenShare,3G,True
247,AE,Windows,Sharjah,cv_09,Video,ethernet,True
248,FR,Windows,Nice,cv_09,Audio,wi-fi,True
249,FI,Android,Helsinki,cv_08,Audio,wi-fi,True
250,FI,Android,Turku,cv_07,Audio,wi-fi,True
251,IN,Windows,Banglor,cv_05,Audio,wi-fi,True
252,FI,Windows,Helsinki,cv_07,Audio,ethernet,True
253,US,Mac,Chicago,cv_07,Audio,wi-fi,True
254,US,Android,Los Angeles,cv_08,Video,wi-fi,True
255,FR,Windows,Montpellier,cv_08,Video,ethernet,True
256,FI,iOS,Helsinki,cv_08,Audio,wi-fi,False
257,US,iOS,Chicago,cv_08,Video,wi-fi,True
258,HK,Windows,Hong Kong,cv_08,Audio,wi-fi,True
259,DK,Android,Copenhagen,cv_08,Audio,wi-fi,True
260,IN,Windows,Banglor,cv_06,Video,ethernet,True
261,RU,Android,Novosibirsk,cv_07,Audio,wi-fi,True
262,AU,iOS,Sydney,cv_08,Audio,wi-fi,True
263,AU,Windows,Perth,cv_07,Video,wi-fi,True
264,AE,Windows,Dubai,cv_08,Video,wi-fi,True
265,DK,Windows,Copenhagen,cv_02,ScreenShare,wi-fi,True
266,US,Android,Los Angeles,cv_08,Audio,wi-fi,True
267,BE,Android,Antwerp,cv_04,Audio,3G,True
268,UK,Windows,London,cv_07,Video,wi-fi,True
269,HK,Windows,Kowloon,cv_07,Video,wi-fi,False
270,US,Android,Miami,cv_07,Video,LTE,True
271,FI,Windows,Helsinki,cv_07,Audio,ethernet,True
272,FR,Windows,Marseille,cv_06,Audio,ethernet,True
273,BE,Mac,Brussels,cv_04,Video,ethernet,True
274,FI,iOS,Helsinki,cv_05,Audio,LTE,True
275,FI,Windows,Tampere,cv_06,Video,ethernet,True
276,FR,iOS,Nice,cv_07,Video,wi-fi,True
277,IN,iOS,Banglor,cv_03,Audio,LTE,True
278,FI,Windows,Helsinki,cv_08,Audio,wi-fi,True
279,UK,Android,Manchester,cv_08,Audio,wi-fi,True
280,UK,Android,Birmingham,cv_10,Video,wi-fi,True
281,IN,Windows,New Delhi,cv_08,Video,wi-fi,True
282,KR,Windows,Seoul,cv_08,Audio,wi-fi,True
283,FI,Windows,Helsinki,cv_07,Audio,ethernet,True
284,AE,Android,Sharjah,cv_09,Audio,wi-fi,True
285,UK,Windows,London,cv_07,Video,wi-fi,True
286,DK,Windows,Copenhagen,cv_09,Video,wi-fi,True
287,US,Android,Los Angeles,cv_09,Video,LTE,True
288,DK,Windows,Copenhagen,cv_07,Audio,ethernet,True
289,IN,Mac,Hyderabad,cv_05,Audio,ethernet,True
290,HK,Mac,Kowloon,cv_08,Audio,ethernet,True
291,DK,Android,Copenhagen,cv_08,Video,wi-fi,True
292,UK,Windows,London,cv_01,Video,wi-fi,True
293,DK,iOS,Copenhagen,cv_08,Audio,wi-fi,False
294,FI,Windows,Helsinki,cv_08,Video,ethernet,True
295,RU,Windows,Novosibirsk,cv_04,Video,wi-fi,True
296,IN,Windows,Mumbai,cv_07,Audio,ethernet,True
297,HK,Android,Kowloon,cv_06,Audio,LTE,True
298,BE,Windows,Brussels,cv_10,Audio,ethernet,True
299,RU,Windows,Yekaterinburg,cv_05,Audio,wi-fi,True
300,FI,Windows,Helsinki,cv_05,Audio,wi-fi,True
301,AE,iOS,Abu Dhabi,cv_09,Audio,LTE,False
302,FI,Windows,Helsinki,cv_08,Video,wi-fi,True
303,FR,Windows,Marseille,cv_09,Video,wi-fi,True
304,UK,Android,Manchester,cv_09,Video,LTE,True
305,US,Android,Seattle,cv_08,Audio,LTE,False
306,US,Android,Chicago,cv_07,Video,wi-fi,True
307,FR,Windows,Nice,cv_09,Audio,wi-fi,True
308,FI,Windows,Helsinki,cv_08,Video,wi-fi,True
309,UK,Windows,London,cv_07,Audio,wi-fi,False
310,DK,Windows,Copenhagen,cv_07,Video,ethernet,True
311,KR,Windows,Busan,cv_09,Video,wi-fi,True
312,UK,Windows,Manchester,cv_07,Video,ethernet,False
313,HK,Windows,Kowloon,cv_08,Audio,wi-fi,True
314,FI,Windows,Helsinki,cv_07,Audio,wi-fi,True
315,UK,Windows,Birmingham,cv_04,Video,ethernet,True
316,FI,Windows,Helsinki,cv_04,Video,wi-fi,True
317,AU,Windows,Sydney,cv_09,Video,ethernet,True
318,FI,Android,Helsinki,cv_04,Video,LTE,True
319,IN,Android,Banglor,cv_04,Video,wi-fi,True
320,UK,Windows,London,cv_07,Audio,wi-fi,True
321,FR,Windows,Paris,cv_08,Video,wi-fi,True
322,HK,Windows,Hong Kong,cv_09,Video,wi-fi,True
323,US,Android,New York,cv_08,Audio,3G,True
324,IN,iOS,Mumbai,cv_05,Video,wi-fi,True
325,UK,Windows,Liverpool,cv_05,Video,wi-fi,True
326,DK,Windows,Arhus,cv_04,Audio,wi-fi,True
327,UK,iOS,London,cv_04,Audio,LTE,True
328,AU,iOS,Melbourne,cv_08,Video,LTE,True
329,FR,Mac,Marseille,cv_07,Audio,ethernet,True
330,FR,Android,Montpellier,cv_02,Audio,wi-fi,True
331,BE,Windows,Antwerp,cv_08,Video,ethernet,True
332,US,Mac,Seattle,cv_08,Video,wi-fi,True
333,DK,Windows,Copenhagen,cv_07,Video,wi-fi,True
334,RU,Windows,Moscow,cv_08,Video,wi-fi,True
335,NG,Windows,Lagos,cv_08,ScreenShare,ethernet,True
336,BE,Windows,Brussels,cv_09,Video,wi-fi,True
337,IN,iOS,Banglor,cv_10,Video,wi-fi,True
338,BE,Windows,Ghent,cv_08,Audio,wi-fi,True
339,AR,Android,Bueno Aires,cv_08,Video,wi-fi,False
340,US,Android,Los Angeles,cv_08,Video,wi-fi,False
341,US,Android,Chicago,cv_05,Audio,wi-fi,True
342,HK,iOS,Hong Kong,cv_10,Audio,wi-fi,True
343,US,Android,New York,cv_09,Audio,LTE,True
344,RU,Android,Kazan,cv_08,Audio,LTE,True
345,FR,Android,Paris,cv_07,Audio,wi-fi,False
346,IN,Android,Hyderabad,cv_01,Video,LTE,False
347,IN,Windows,Hyderabad,cv_08,Audio,wi-fi,True
348,US,Android,Los Angeles,cv_05,Audio,LTE,False
349,IN,Android,New Delhi,cv_07,Video,wi-fi,True
350,FI,Windows,Helsinki,cv_08,Video,ethernet,True
351,US,Android,Seattle,cv_07,Audio,wi-fi,False
352,NG,Windows,Lagos,cv_07,Audio,wi-fi,True
353,BE,Windows,Ghent,cv_07,Audio,wi-fi,True
354,HK,Windows,Hong Kong,cv_04,Video,wi-fi,True
355,UK,Windows,London,cv_09,Audio,ethernet,True
356,AE,Windows,Abu Dhabi,cv_04,Video,wi-fi,False
357,UK,Windows,London,cv_09,Audio,wi-fi,True
358,UK,Android,Birmingham,cv_08,Audio,wi-fi,True
359,UK,Android,London,cv_05,Video,LTE,True
360,HK,Windows,Kowloon,cv_04,Audio,ethernet,True
361,US,Android,New York,cv_07,Audio,LTE,True
362,FR,Windows,Marseille,cv_07,Audio,ethernet,True
363,UK,iOS,London,cv_05,Video,wi-fi,True
364,NG,Mac,Kano,cv_09,Audio,ethernet,True
365,IN,Windows,Hyderabad,cv_04,Audio,wi-fi,True
366,FR,Windows,Nice,cv_05,Audio,ethernet,True
367,FR,Windows,Paris,cv_07,Audio,ethernet,True
368,FR,Windows,Paris,cv_07,Audio,wi-fi,True
369,FR,Windows,Paris,cv_08,ScreenShare,wi-fi,True
370,IN,Windows,Banglor,cv_05,ScreenShare,ethernet,True
371,KR,Windows,Seoul,cv_07,Video,wi-fi,True
372,FR,Windows,Nice,cv_03,Video,wi-fi,True
373,IN,Windows,Mumbai,cv_04,Audio,ethernet,True
374,FI,Android,Helsinki,cv_07,Audio,wi-fi,True
375,RU,iOS,Moscow,cv_10,Video,LTE,True
376,UK,Windows,London,cv_10,Video,wi-fi,True
377,IN,Windows,Mumbai,cv_08,Audio,ethernet,True
378,DK,Windows,Copenhagen,cv_08,Audio,wi-fi,True
379,IN,Windows,Hyderabad,cv_06,ScreenShare,wi-fi,True
380,AE,Windows,Dubai,cv_04,Audio,ethernet,True
381,RU,Windows,Moscow,cv_08,Audio,ethernet,True
382,DK,Windows,Copenhagen,cv_07,Video,ethernet,True
383,IN,Windows,Banglor,cv_10,Video,ethernet,True
384,IN,Windows,Hyderabad,cv_08,Audio,wi-fi,True
385,NG,Windows,Lagos,cv_04,Audio,ethernet,True
386,UK,Windows,London,cv_08,Video,wi-fi,True
387,RU,Android,Kazan,cv_08,Audio,LTE,True
388,DK,Windows,Copenhagen,cv_09,Video,wi-fi,True
389,HK,Windows,Hong Kong,cv_10,ScreenShare,ethernet,True
390,KR,Windows,Incheon,cv_08,Video,ethernet,True
391,UK,Android,London,cv_07,Audio,wi-fi,True
392,HK,Windows,Hong Kong,cv_07,Video,wi-fi,False
393,IN,Windows,New Delhi,cv_09,Audio,ethernet,True
394,UK,Windows,London,cv_04,Audio,wi-fi,True
395,AE,Android,Dubai,cv_08,ScreenShare,LTE,True
396,FR,Android,Paris,cv_06,Audio,wi-fi,True
397,AU,Windows,Sydney,cv_02,ScreenShare,wi-fi,True
398,AU,Windows,Canberra,cv_04,Video,ethernet,True
399,BE,Windows,Brussels,cv_03,Audio,ethernet,True
400,AE,Windows,Dubai,cv_05,Audio,wi-fi,True
401,UK,Windows,Birmingham,cv_04,Audio,ethernet,True
402,AU,Windows,Canberra,cv_08,Audio,wi-fi,True
403,HK,iOS,Hong Kong,cv_08,Video,LTE,True
404,US,Mac,Los Angeles,cv_10,Audio,wi-fi,False
405,RU,iOS,Saint Petersburg,cv_03,Audio,wi-fi,True
406,HK,Mac,Hong Kong,cv_09,Audio,wi-fi,True
407,IN,Android,Hyderabad,cv_07,Video,wi-fi,True
408,DK,Android,Copenhagen,cv_06,Video,wi-fi,True
409,FR,Windows,Paris,cv_09,Audio,ethernet,True
410,UK,Windows,London,cv_05,Video,wi-fi,True
411,IN,Windows,Banglor,cv_09,Video,wi-fi,True
412,US,Windows,Seattle,cv_08,Audio,wi-fi,True
413,RU,iOS,Moscow,cv_07,Video,wi-fi,True
414,US,Android,New York,cv_08,Audio,wi-fi,True
415,FI,Windows,Tampere,cv_07,Audio,ethernet,True
416,IN,Windows,New Delhi,cv_09,Audio,ethernet,True
417,UK,Windows,London,cv_07,Audio,ethernet,True
418,IN,Windows,Hyderabad,cv_10,Audio,wi-fi,True
419,RU,iOS,Moscow,cv_06,Audio,wi-fi,True
420,US,Android,New York,cv_10,Video,wi-fi,True
421,IN,Windows,Mumbai,cv_06,Audio,wi-fi,True
422,HK,iOS,Hong Kong,cv_10,Audio,wi-fi,True
423,US,Android,Seattle,cv_09,Audio,3G,True
424,US,Android,Seattle,cv_10,Video,wi-fi,False
425,IN,Android,Banglor,cv_04,Audio,LTE,True
426,AE,Windows,Abu Dhabi,cv_09,Audio,wi-fi,True
427,DK,Windows,Copenhagen,cv_03,Video,wi-fi,True
428,US,Mac,Los Angeles,cv_10,Audio,wi-fi,False
429,FR,Windows,Paris,cv_08,Audio,wi-fi,True
430,AE,Windows,Dubai,cv_07,Video,ethernet,True
431,IN,Windows,Hyderabad,cv_05,Video,ethernet,True
432,UK,Windows,London,cv_05,Audio,ethernet,True
433,UK,Windows,Liverpool,cv_07,Audio,wi-fi,True
434,DK,Windows,Copenhagen,cv_10,Audio,ethernet,True
435,UK,Windows,Manchester,cv_05,Video,ethernet,True
436,UK,Android,Manchester,cv_05,Audio,LTE,True
437,AE,Windows,Abu Dhabi,cv_07,Video,wi-fi,True
438,IN,Windows,Mumbai,cv_07,Video,wi-fi,True
439,US,Android,Chicago,cv_09,Audio,wi-fi,True
440,BE,Windows,Brussels,cv_07,Video,wi-fi,True
441,DK,Android,Arhus,cv_08,Video,wi-fi,True
442,US,Windows,San Francisco,cv_07,Video,ethernet,False
443,IN,Windows,Hyderabad,cv_08,Audio,wi-fi,True
444,IN,Windows,Hyderabad,cv_08,ScreenShare,ethernet,True
445,US,Windows,Seattle,cv_08,Audio,ethernet,True
446,FI,Windows,Tampere,cv_04,Video,ethernet,True
447,NG,Android,Kano,cv_08,Audio,wi-fi,True
448,RU,iOS,Saint Petersburg,cv_10,Audio,wi-fi,True
449,US,iOS,Seattle,cv_05,Video,LTE,True
450,RU,iOS,Kazan,cv_08,Audio,wi-fi,True
451,US,Android,Seattle,cv_09,Video,LTE,True
452,UK,Android,Liverpool,cv_07,Video,LTE,True
453,IN,Windows,Mumbai,cv_05,Audio,ethernet,True
454,HK,Windows,Hong Kong,cv_09,Video,ethernet,True
455,FI,Windows,Helsinki,cv_09,Audio,ethernet,True
456,HK,Windows,Hong Kong,cv_05,Audio,wi-fi,True
457,FR,Windows,Paris,cv_08,Audio,wi-fi,False
458,RU,Android,Moscow,cv_08,Video,wi-fi,True
459,FI,Mac,Helsinki,cv_05,Audio,ethernet,True
460,AU,Windows,Sydney,cv_08,Video,ethernet,True
461,FR,Windows,Montpellier,cv_07,Audio,ethernet,True
