,country,platform,city,client_version,media,network,target_metric
231,US,Mac,Los Angeles,cv_05,Audio,wi-fi,True
232,AE,Android,Dubai,cv_05,Audio,3G,True
233,US,Mac,Los Angeles,cv_08,Audio,wi-fi,True
234,UK,Windows,Birmingham,cv_05,Video,ethernet,True
235,US,Android,San Francisco,cv_07,Video,wi-fi,False
236,US,Windows,Seattle,cv_02,Audio,ethernet,True
237,DK,Windows,Copenhagen,cv_07,ScreenShare,wi-fi,True
238,FR,Windows,Paris,cv_04,Video,wi-fi,True
239,RU,Windows,Yekaterinburg,cv_05,Audio,ethernet,True
240,UK,Windows,London,cv_05,Audio,ethernet,False
241,FR,iOS,Paris,cv_08,Audio,LTE,True
242,IN,Windows,Banglor,cv_05,Video,ethernet,True
243,US,Windows,Chicago,cv_04,Audio,wi-fi,True
244,US,Mac,Seattle,cv_08,Audio,ethernet,True
245,IN,iOS,Banglor,cv_08,Video,wi-fi,True
246,US,Android,Seattle,cv_04,Audio,wi-fi,True
247,US,Windows,New York,cv_05,ScreenShare,wi-fi,True
248,RU,Windows,Moscow,cv_09,Audio,wi-fi,True
249,IN,Android,New Delhi,cv_04,Video,wi-fi,True
250,RU,Windows,Saint Petersburg,cv_08,Audio,wi-fi,True
251,IN,Mac,Hyderabad,cv_09,Audio,wi-fi,True
252,US,Android,San Francisco,cv_09,Audio,wi-fi,True
253,US,Android,Chicago,cv_07,Video,wi-fi,True
254,US,Android,Seattle,cv_07,Audio,LTE,True
255,RU,iOS,Moscow,cv_04,Audio,wi-fi,True
256,FR,Windows,Marseille,cv_09,Audio,wi-fi,True
257,US,Mac,New York,cv_08,Audio,wi-fi,True
258,RU,Android,Kazan,cv_07,Audio,wi-fi,True
259,US,Windows,Seattle,cv_07,Audio,wi-fi,True
260,UK,Windows,Liverpool,cv_08,Audio,ethernet,True
261,DK,Windows,Copenhagen,cv_08,Video,wi-fi,True
262,HK,Windows,Hong Kong,cv_07,Audio,ethernet,True
263,FI,Android,Helsinki,cv_08,Video,wi-fi,True
264,US,Android,Seattle,cv_07,Video,wi-fi,False
265,DK,Android,Copenhagen,cv_08,Audio,LTE,True
266,DK,Android,Copenhagen,cv_05,Video,LTE,True
267,UK,Android,London,cv_07,Video,wi-fi,True
268,HK,Windows,Hong Kong,cv_02,Audio,ethernet,True
269,DK,iOS,Copenhagen,cv_08,Audio,wi-fi,True
270,FR,Android,Paris,cv_09,ScreenShare,3G,True
271,NG,Windows,Lagos,cv_05,Video,ethernet,True
272,UK,Windows,Manchester,cv_07,Audio,wi-fi,True
273,US,Windows,Chicago,cv_05,Video,wi-fi,True
274,KR,Windows,Seoul,cv_08,Video,wi-fi,True
275,FR,Windows,Paris,cv_08,Audio,wi-fi,True
276,DK,Android,Copenhagen,cv_04,Video,wi-fi,True
277,FI,Windows,Helsinki,cv_04,Video,ethernet,True
278,RU,Android,Novosibirsk,cv_08,Audio,wi-fi,True
279,IN,Windows,Hyderabad,cv_08,Audio,wi-fi,True
280,FI,Android,Helsinki,cv_10,Video,LTE,True
281,US,Mac,Seattle,cv_03,Audio,ethernet,True
282,US,Android,Seattle,cv_05,Video,wi-fi,True
283,FI,Windows,Helsinki,cv_05,Audio,ethernet,True
284,US,Android,New York,cv_08,ScreenShare,3G,True
285,HK,Android,Kowloon,cv_07,Audio,wi-fi,True
286,US,iOS,Seattle,cv_07,Audio,LTE,True
287,KR,Windows,Seoul,cv_03,Audio,wi-fi,True
288,FI,Windows,Helsinki,cv_07,Audio,ethernet,True
289,FR,iOS,Paris,cv_09,Video,wi-fi,True
290,AU,iOS,Melbourne,cv_09,Audio,3G,True
291,US,Android,Miami,cv_08,Audio,LTE,True
292,FR,Windows,Paris,cv_10,Audio,wi-fi,True
293,US,Android,New York,cv_03,Audio,wi-fi,True
294,FI,Windows,Helsinki,cv_08,Video,wi-fi,True
295,HK,Mac,Hong Kong,cv_08,Audio,wi-fi,True
296,US,Mac,San Francisco,cv_08,Audio,wi-fi,True
297,NG,iOS,Lagos,cv_08,Audio,wi-fi,True
298,UK,Windows,Liverpool,cv_08,Audio,wi-fi,True
299,RU,Android,Moscow,cv_05,Audio,wi-fi,True
300,AE,Mac,Dubai,cv_05,Video,wi-fi,True
301,FR,Mac,Paris,cv_03,Video,wi-fi,True
302,FR,Windows,Nice,cv_09,Audio,ethernet,True
303,AU,Android,Perth,cv_02,Audio,wi-fi,True
304,AR,Mac,Rosario,cv_07,Video,ethernet,True
305,FR,Mac,Paris,cv_07,Audio,wi-fi,True
306,BE,Windows,Ghent,cv_09,Video,ethernet,True
307,FI,Windows,Helsinki,cv_07,Video,wi-fi,True
308,FR,Windows,Nice,cv_08,Audio,wi-fi,True
309,KR,Windows,Seoul,cv_10,Video,ethernet,True
310,FR,Windows,Montpellier,cv_08,Video,ethernet,True
311,DK,Windows,Arhus,cv_08,Audio,wi-fi,True
312,IN,Windows,Mumbai,cv_09,Audio,wi-fi,True
313,US,Windows,Chicago,cv_08,Audio,wi-fi,True
314,US,Android,New York,cv_04,Audio,LTE,True
315,DK,Android,Arhus,cv_08,Audio,LTE,True
316,DK,Windows,Copenhagen,cv_07,Audio,wi-fi,True
317,FI,Windows,Tampere,cv_10,Audio,wi-fi,True
318,HK,iOS,Hong Kong,cv_08,Video,wi-fi,True
319,RU,Android,Kazan,cv_05,Audio,LTE,True
320,HK,iOS,Hong Kong,cv_09,Audio,LTE,True
321,UK,Mac,Liverpool,cv_08,Audio,ethernet,True
322,US,Android,New York,cv_07,ScreenShare,wi-fi,True
323,FR,Windows,Nice,cv_07,ScreenShare,wi-fi,True
324,AE,Mac,Abu Dhabi,cv_05,Video,ethernet,True
325,US,Android,Los Angeles,cv_08,Audio,wi-fi,True
326,RU,Windows,Kazan,cv_07,Video,wi-fi,True
327,FI,Windows,Helsinki,cv_05,Video,ethernet,True
328,UK,Android,Manchester,cv_08,ScreenShare,wi-fi,True
329,US,Android,Chicago,cv_09,Audio,3G,True
330,DK,Windows,Copenhagen,cv_07,Audio,ethernet,True
331,FR,Android,Nice,cv_04,Audio,3G,True
332,FR,Windows,Paris,cv_06,Video,wi-fi,True
333,FR,Windows,Montpellier,cv_07,Audio,wi-fi,True
334,US,Android,Chicago,cv_08,Audio,wi-fi,False
335,UK,Mac,Manchester,cv_09,Audio,wi-fi,True
336,US,iOS,San Francisco,cv_07,Video,wi-fi,True
337,RU,Windows,Moscow,cv_07,Video,ethernet,True
338,US,Android,Los Angeles,cv_08,Audio,LTE,True
339,RU,Windows,Moscow,cv_08,Audio,wi-fi,True
340,UK,Windows,Birmingham,cv_08,Video,wi-fi,True
341,NG,Windows,Lagos,cv_08,Video,wi-fi,True
342,UK,Mac,Birmingham,cv_05,Audio,wi-fi,True
343,US,Android,Los Angeles,cv_09,ScreenShare,wi-fi,True
344,HK,Android,Hong Kong,cv_06,Audio,wi-fi,True
345,RU,Mac,Yekaterinburg,cv_08,Video,ethernet,True
346,RU,Windows,Yekaterinburg,cv_08,Audio,wi-fi,True
347,US,Android,Los Angeles,cv_07,Audio,wi-fi,True
348,AU,Windows,Melbourne,cv_08,Audio,wi-fi,True
349,UK,iOS,London,cv_07,Audio,wi-fi,True
350,FR,Windows,Paris,cv_06,Audio,wi-fi,True
351,AR,Android,Rosario,cv_08,Audio,3G,True
352,DK,Windows,Copenhagen,cv_09,Audio,wi-fi,True
353,AU,Android,Canberra,cv_09,Audio,wi-fi,True
354,FI,Windows,Helsinki,cv_07,Audio,wi-fi,True
355,RU,Android,Kazan,cv_10,Audio,LTE,True
356,US,Android,San Francisco,cv_02,Audio,wi-fi,True
357,US,Android,San Francisco,cv_06,ScreenShare,wi-fi,False
358,IN,Windows,Hyderabad,cv_08,Audio,ethernet,True
359,AU,Windows,Melbourne,cv_08,Video,ethernet,True
360,FR,Android,Montpellier,cv_10,Audio,3G,True
361,US,Mac,Los Angeles,cv_01,Audio,wi-fi,True
362,DK,Android,Copenhagen,cv_07,Video,wi-fi,True
363,US,Android,Los Angeles,cv_10,Audio,wi-fi,True
364,HK,Windows,Hong Kong,cv_02,Audio,wi-fi,True
365,AU,Windows,Melbourne,cv_08,Audio,ethernet,True
366,HK,Windows,Kowloon,cv_04,Video,wi-fi,True
367,US,iOS,San Francisco,cv_04,Video,LTE,True
368,IN,Windows,Banglor,cv_09,Audio,ethernet,True
369,FR,Windows,Paris,cv_09,Audio,wi-fi,True
370,US,Android,Chicago,cv_08,Audio,wi-fi,True
371,HK,Windows,Hong Kong,cv_08,Audio,ethernet,True
372,HK,Windows,Hong Kong,cv_08,Audio,wi-fi,True
373,HK,Windows,Hong Kong,cv_08,Video,wi-fi,True
374,FR,Windows,Montpellier,cv_04,Video,wi-fi,False
375,UK,Windows,Liverpool,cv_03,Audio,wi-fi,True
376,AU,Windows,Sydney,cv_05,Audio,wi-fi,True
377,RU,iOS,Moscow,cv_03,Audio,LTE,True
378,BE,Windows,Brussels,cv_08,Video,wi-fi,True
379,IN,iOS,Mumbai,cv_08,Audio,LTE,True
380,BE,Windows,Ghent,cv_08,Video,wi-fi,False
381,KR,Android,Seoul,cv_08,Audio,LTE,True
382,IN,Windows,Mumbai,cv_08,Audio,wi-fi,True
383,FI,Windows,Helsinki,cv_08,Audio,ethernet,True
384,IN,Mac,Banglor,cv_08,Video,wi-fi,True
385,IN,Windows,Mumbai,cv_07,Video,wi-fi,True
386,RU,Android,Kazan,cv_05,Video,LTE,True
387,AE,Windows,Abu Dhabi,cv_08,Audio,ethernet,True
388,BE,Windows,Ghent,cv_07,Audio,wi-fi,True
389,DK,Windows,Copenhagen,cv_08,Audio,wi-fi,True
390,US,Mac,Los Angeles,cv_10,Audio,ethernet,True
391,US,Android,Seattle,cv_07,Video,wi-fi,True
392,US,Mac,Seattle,cv_05,Audio,wi-fi,True
393,FI,Windows,Helsinki,cv_04,Video,ethernet,True
394,FI,Android,Helsinki,cv_04,Audio,3G,True
395,FI,Windows,Helsinki,cv_07,Audio,wi-fi,True
396,HK,Windows,Hong Kong,cv_07,ScreenShare,wi-fi,False
397,FR,Windows,Marseille,cv_09,Audio,wi-fi,True
398,KR,Mac,Busan,cv_09,Audio,ethernet,True
399,US,Android,Seattle,cv_05,Video,wi-fi,True
400,US,Android,Los Angeles,cv_06,Audio,3G,True
401,US,Android,Seattle,cv_01,Audio,wi-fi,True
402,IN,Android,Hyderabad,cv_05,ScreenShare,wi-fi,True
403,US,Android,San Francisco,cv_07,Video,wi-fi,True
404,AE,Mac,Dubai,cv_09,Audio,ethernet,True
405,US,Android,Los Angeles,cv_07,Audio,wi-fi,True
406,DK,iOS,Copenhagen,cv_07,Audio,LTE,True
407,HK,Mac,Hong Kong,cv_10,Video,wi-fi,True
408,UK,Android,London,cv_05,Audio,3G,True
409,US,Android,New York,cv_09,Audio,3G,True
410,IN,Windows,Hyderabad,cv_09,Audio,wi-fi,True
411,US,Android,Los Angeles,cv_07,Audio,wi-fi,True
412,FI,Android,Tampere,cv_07,Audio,wi-fi,True
413,FI,Mac,Helsinki,cv_09,Video,ethernet,True
414,US,Android,New York,cv_10,Audio,wi-fi,True
415,UK,Mac,Birmingham,cv_08,Video,wi-fi,True
416,UK,Windows,Birmingham,cv_07,Audio,wi-fi,True
417,UK,Windows,London,cv_08,Audio,ethernet,True
418,BE,Mac,Ghent,cv_09,Video,wi-fi,True
419,FR,Mac,Montpellier,cv_07,Audio,ethernet,True
420,UK,Mac,Manchester,cv_09,Audio,wi-fi,True
421,US,Android,San Francisco,cv_09,Video,wi-fi,True
422,FI,Windows,Helsinki,cv_08,Audio,ethernet,True
423,UK,Android,London,cv_09,Audio,wi-fi,True
424,US,Android,Seattle,cv_07,Audio,wi-fi,True
425,IN,Android,Hyderabad,cv_08,Audio,wi-fi,True
426,BE,Mac,Ghent,cv_08,Video,ethernet,True
427,BE,Windows,Brussels,cv_09,Video,ethernet,True
428,DK,Windows,Copenhagen,cv_06,Video,ethernet,True
429,US,Mac,Seattle,cv_08,Video,wi-fi,True
430,IN,Windows,Banglor,cv_04,Audio,ethernet,True
431,HK,Mac,Hong Kong,cv_05,Audio,ethernet,True
432,RU,Mac,Moscow,cv_07,ScreenShare,wi-fi,True
433,FI,Windows,Helsinki,cv_03,Video,wi-fi,True
434,HK,Mac,Kowloon,cv_07,Audio,wi-fi,True
435,HK,Windows,Kowloon,cv_07,Audio,wi-fi,True
436,US,Android,New York,cv_04,Video,wi-fi,True
437,FI,Windows,Turku,cv_07,Audio,wi-fi,True
438,DK,Windows,Copenhagen,cv_09,Audio,ethernet,True
439,US,Windows,Seattle,cv_07,Video,wi-fi,True
440,UK,Windows,Liverpool,cv_08,Video,ethernet,True
441,FR,Android,Paris,cv_05,Video,wi-fi,True
442,BE,Android,Brussels,cv_07,Video,LTE,True
443,FR,Windows,Montpellier,cv_09,Audio,wi-fi,False
444,NG,iOS,Lagos,cv_08,Audio,LTE,True
445,US,Windows,Seattle,cv_08,Audio,ethernet,True
446,US,iOS,Seattle,cv_08,Audio,wi-fi,False
447,FR,Windows,Nice,cv_07,Audio,wi-fi,True
448,FI,Android,Turku,cv_07,Audio,wi-fi,True
449,RU,Mac,Kazan,cv_08,Audio,ethernet,True
450,AR,Windows,Bueno Aires,cv_04,Audio,wi-fi,True
451,AE,Windows,Abu Dhabi,cv_08,Video,ethernet,True
452,US,Android,New York,cv_09,Audio,LTE,True
453,IN,Windows,New Delhi,cv_10,Video,wi-fi,True
454,US,Android,Miami,cv_08,Video,wi-fi,True
455,US,Android,Seattle,cv_08,Audio,3G,True
456,UK,Windows,London,cv_08,Audio,wi-fi,True
457,US,iOS,Miami,cv_04,Audio,LTE,True
458,FI,Windows,Tampere,cv_06,Audio,ethernet,True
459,IN,Windows,Banglor,cv_05,Audio,ethernet,True
460,RU,Windows,Novosibirsk,cv_09,Audio,ethernet,False
