<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,RecordThirdPartyCost,dealSmsCallback complete <:callback:>,deal<:SmsCallback:>,receive <:*:>,getAppSmsLimit <:*:> not exist,begin Consume call,PushSmsOrderResult: <:result:>,send by <:*:> OrderID=<:SEQ:>,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,not find dictionary type=<:NUM:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,scCallBack receive <:request:>,<:dealMailCallback:>,dealMailCallback complete <:callback:>,PushMailSendResult: <:result:>,scCallBack DealCallBack <:event:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,begin <:*:>,use preferred orderID=<:SEQ:> <:channel:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,SendWeChatMsg <:*:>,WeChatMsg Send WechatMsg <:*:>,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,<:NUM:> <:*:>,load <:*:> config ok,dealSmsCallback dealSmsCallbackRetry <:order:>,ykmsymsg <:*:> start kms,juhe sendSms <:rs:>,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,sendSmsMsg failed <:*:> <:*:>,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,version,waiting task controller finished,task controller finished,dao close finished,msg,timestamp,unknown
927,916,1226,882,67,22,22,21,5,78,23,33,65,20,30,34,30,17,17,17,17,0,13,13,13,13,13,10,34,6,5,0,0,0,0,1,1,1,0,0,0,0,0,34,2023-10-18 11:25:39,3
1044,1029,942,864,90,27,27,28,14,96,27,47,80,30,56,43,40,24,24,24,24,2,16,16,16,16,16,11,43,5,5,8,6,0,2,1,1,0,1,1,1,2,1,46,2023-10-18 11:27:39,9
957,936,1056,994,67,32,32,32,16,78,28,42,65,25,45,25,41,28,28,28,28,3,13,13,13,13,13,2,25,8,5,7,6,4,2,0,1,0,1,1,1,2,1,28,2023-10-18 11:29:39,6
1024,1001,1350,977,91,42,42,42,24,106,39,61,88,40,15,30,42,25,25,25,25,0,18,18,18,18,18,5,30,10,5,0,0,3,0,2,1,0,0,0,0,0,0,30,2023-10-18 11:31:39,8
1002,986,536,442,114,50,50,50,36,150,40,77,124,41,71,37,70,43,43,43,43,0,26,26,26,26,26,9,37,5,5,9,6,10,2,1,0,0,1,1,1,2,1,40,2023-10-18 11:33:39,5
985,963,340,0,89,32,32,34,20,164,30,59,138,30,45,30,69,43,43,43,43,2,26,26,26,26,26,4,30,7,5,8,6,3,2,2,1,1,1,1,1,2,1,33,2023-10-18 11:35:39,10
1058,1037,130,0,106,34,34,37,18,138,32,64,115,39,41,42,55,32,32,32,32,2,23,23,23,23,23,5,42,5,5,0,0,2,0,0,1,0,0,0,0,0,0,42,2023-10-18 11:37:39,13
968,947,110,0,116,59,59,59,42,114,57,71,95,50,45,45,49,30,30,30,30,3,19,19,19,19,19,5,45,5,5,8,6,2,2,1,1,0,1,1,1,2,1,48,2023-10-18 11:39:39,3
1014,1000,373,0,97,34,34,34,27,108,29,53,90,30,30,44,47,30,30,30,29,0,18,18,18,18,18,7,44,7,5,8,6,5,2,0,1,0,1,1,1,2,1,47,2023-10-18 11:41:39,8
992,970,87,0,86,36,36,36,12,120,37,53,100,33,56,33,48,29,29,29,28,1,20,20,20,20,20,9,33,13,5,0,0,0,0,1,0,1,0,0,0,0,0,33,2023-10-18 11:43:39,5
942,929,762,439,74,28,28,28,13,96,28,44,80,28,45,30,39,23,23,23,23,1,16,16,16,16,16,4,30,5,5,9,6,0,2,0,1,0,1,1,1,2,1,33,2023-10-18 11:45:39,1
1059,1044,942,819,100,28,28,28,18,120,28,49,100,28,56,51,46,27,27,27,26,0,20,20,20,20,20,18,51,7,5,9,6,1,2,0,1,1,1,1,1,2,1,54,2023-10-18 11:47:39,4
997,982,1072,965,119,28,28,29,11,180,27,54,150,23,45,65,78,48,48,48,48,2,30,30,30,30,30,12,65,8,5,9,6,1,2,0,1,0,1,1,1,2,1,68,2023-10-18 11:49:39,5
1072,1047,1264,842,144,40,40,40,22,234,38,80,195,39,15,64,97,59,59,59,58,2,39,39,39,39,39,12,64,13,5,0,0,2,0,0,1,0,0,0,0,0,0,64,2023-10-18 11:51:39,12
1023,1010,971,876,101,20,20,26,11,168,19,48,140,19,71,53,72,44,44,44,44,0,28,28,28,28,28,10,53,1,5,9,6,1,2,2,0,0,1,1,1,2,1,56,2023-10-18 11:53:39,10
976,960,1221,844,119,41,41,41,32,168,33,72,140,36,45,47,66,38,38,38,38,2,28,28,28,28,28,4,47,6,5,7,6,8,2,0,1,0,1,1,1,2,1,50,2023-10-18 11:55:39,4
1117,1099,1046,824,129,29,29,30,10,296,28,77,246,25,41,52,113,63,63,63,63,3,50,50,50,50,50,6,52,9,5,0,0,2,0,2,1,1,0,0,0,0,0,52,2023-10-18 11:57:39,5
1019,1005,1000,874,133,27,27,28,12,268,26,72,224,27,45,61,107,63,63,63,63,1,44,44,44,44,44,7,61,5,5,8,6,1,2,0,1,0,1,1,1,2,1,64,2023-10-18 11:59:39,2
1052,1025,1244,856,110,37,37,37,15,210,26,58,175,22,30,52,81,46,46,46,46,11,35,35,35,35,35,11,52,4,5,8,6,1,2,1,1,0,1,1,1,2,1,55,2023-10-18 12:01:39,18
977,969,982,912,68,14,14,14,6,108,14,31,90,13,56,37,43,25,25,25,25,0,18,18,18,18,18,1,37,2,5,0,0,0,0,1,0,0,0,0,0,0,0,37,2023-10-18 12:03:39,1
973,956,1188,871,94,23,23,23,13,154,23,50,128,24,45,44,62,40,40,40,36,1,26,26,26,26,26,4,44,4,5,8,6,0,2,3,1,0,1,1,1,2,1,47,2023-10-18 12:05:39,7
1062,1047,1009,875,87,23,23,24,10,140,21,48,117,23,56,39,55,32,32,32,32,1,23,23,23,23,23,12,39,7,5,7,6,2,2,2,1,0,1,1,1,2,1,42,2023-10-18 12:07:39,1
946,927,1039,969,70,30,30,30,9,108,31,47,90,29,30,23,41,23,23,23,23,4,18,18,18,18,18,4,23,10,5,0,0,0,0,0,1,1,0,0,0,0,0,23,2023-10-18 12:09:39,1
988,972,1322,972,65,28,28,28,17,35,25,31,29,22,30,34,18,12,12,12,12,2,6,6,6,6,6,8,34,6,5,8,6,3,2,1,1,0,1,1,1,2,1,37,2023-10-18 12:11:39,0
958,946,559,516,47,23,23,23,11,31,24,28,26,23,71,19,15,10,10,10,10,0,5,5,5,5,5,6,19,6,5,8,6,0,2,0,0,1,1,1,1,2,1,22,2023-10-18 12:13:39,0
916,907,254,0,32,11,11,11,5,24,11,17,20,13,45,15,11,7,7,7,7,0,4,4,4,4,4,2,15,5,5,9,6,0,2,1,1,0,1,1,1,2,1,18,2023-10-18 12:15:39,0
1014,1005,105,0,53,17,17,17,9,48,17,25,40,17,41,28,18,10,10,10,10,1,8,8,8,8,8,10,28,3,5,0,0,0,0,0,1,0,0,0,0,0,0,28,2023-10-18 12:17:39,0
905,897,35,0,39,14,14,14,8,36,13,19,30,11,45,20,14,8,8,8,8,3,6,6,6,6,6,5,20,2,5,8,6,2,2,0,1,1,1,1,1,2,1,23,2023-10-18 12:19:39,0
1020,1011,339,0,64,14,14,14,10,162,14,41,135,14,30,23,54,27,27,27,27,2,27,27,27,27,27,11,23,4,5,8,6,0,2,0,1,0,1,1,1,2,1,26,2023-10-18 12:21:39,1
969,960,45,0,45,14,14,14,4,78,14,26,65,13,56,19,29,16,16,16,16,0,13,13,13,13,13,0,19,4,5,0,0,0,0,0,0,0,0,0,0,0,0,19,2023-10-18 12:23:39,0
931,924,694,425,44,9,9,10,3,102,9,26,85,9,45,18,37,20,20,20,20,1,17,17,17,17,17,2,18,1,5,8,6,0,2,1,1,0,1,1,1,2,1,21,2023-10-18 12:25:39,1
1045,1027,980,842,84,37,37,38,1,114,37,58,95,39,56,26,40,21,21,21,21,0,19,19,19,19,19,6,26,11,5,9,6,0,2,2,1,0,1,1,1,2,1,29,2023-10-18 12:27:39,1
898,884,1016,977,40,25,25,26,8,12,25,21,10,19,30,19,4,2,2,2,2,1,2,2,2,2,2,2,19,7,5,0,0,0,0,1,1,0,0,0,0,0,0,19,2023-10-18 12:29:39,2
969,960,1155,837,36,16,16,16,12,26,14,20,22,13,30,16,9,5,5,5,5,1,4,4,4,4,4,5,16,1,5,9,6,3,2,0,1,1,1,1,1,2,1,19,2023-10-18 12:31:39,0
935,930,898,875,27,12,12,12,6,4,10,11,3,8,71,16,2,1,1,1,1,0,1,1,1,1,1,2,16,2,5,8,6,2,2,0,0,0,1,1,1,2,1,19,2023-10-18 12:33:39,1
916,912,1164,878,48,10,10,10,6,18,10,15,15,12,30,33,11,8,8,8,8,0,3,3,3,3,3,8,33,3,5,0,0,0,0,0,1,0,0,0,0,0,0,33,2023-10-18 12:35:39,0
1020,1008,924,835,62,20,20,20,12,60,18,31,50,18,56,31,20,10,10,10,10,0,10,10,10,10,10,10,31,5,5,8,6,2,2,0,1,0,1,1,1,2,1,34,2023-10-18 12:37:39,1
920,905,931,879,58,21,21,21,8,42,21,29,35,22,45,29,14,7,7,7,7,4,7,7,7,7,7,6,29,7,5,8,6,0,2,0,1,0,1,1,1,2,1,32,2023-10-18 12:39:39,4
969,960,1178,862,32,16,16,16,9,18,15,18,15,13,15,14,8,5,5,5,5,0,3,3,3,3,3,2,14,4,5,0,0,2,0,1,1,1,0,0,0,0,0,14,2023-10-18 12:41:39,0
955,939,964,917,53,28,28,28,14,36,28,37,30,30,71,16,12,6,6,6,6,3,6,6,6,6,6,6,16,8,5,4,6,1,2,0,0,1,1,1,1,2,1,19,2023-10-18 12:43:39,0
909,896,1162,904,35,22,22,22,6,12,22,23,10,21,45,12,4,2,2,2,2,0,2,2,2,2,2,2,12,6,5,9,6,0,2,0,1,0,1,1,1,2,1,15,2023-10-18 12:45:39,1
1005,994,968,875,35,14,14,14,11,24,13,17,20,12,56,18,8,4,4,4,4,1,4,4,4,4,4,5,18,4,5,9,6,1,2,1,1,0,1,1,1,2,1,21,2023-10-18 12:47:39,3
898,883,1029,985,45,24,24,24,9,18,24,29,15,26,30,16,6,3,3,3,3,2,3,3,3,3,3,1,16,7,5,0,0,0,0,0,1,0,0,0,0,0,0,16,2023-10-18 12:49:39,1
974,956,1329,997,58,40,40,41,31,18,31,44,15,31,30,14,6,4,4,4,3,2,3,3,3,3,3,4,14,5,5,4,6,10,2,0,1,1,1,1,1,2,1,17,2023-10-18 12:51:39,1
961,949,409,366,45,25,25,24,6,42,25,30,35,23,71,15,19,12,12,12,12,3,7,7,7,7,7,3,15,6,5,3,6,0,2,0,0,0,1,1,1,2,1,18,2023-10-18 12:53:39,1
915,897,274,0,44,31,31,32,19,6,30,34,5,32,30,10,2,1,1,1,1,2,1,1,1,1,1,1,10,10,5,0,0,1,0,1,1,0,0,0,0,0,0,10,2023-10-18 12:55:39,1
1007,1000,85,0,34,13,13,12,8,30,13,17,25,12,56,17,12,7,7,7,7,0,5,5,5,5,5,5,17,1,5,4,6,0,2,0,1,0,1,1,1,2,1,20,2023-10-18 12:57:39,0
896,889,37,0,46,15,15,15,11,6,14,21,5,19,45,25,2,1,1,1,1,0,1,1,1,1,1,8,25,2,5,8,6,1,2,0,1,0,1,1,1,2,1,28,2023-10-18 12:59:39,0
1007,976,342,0,57,43,43,42,13,54,28,38,45,27,15,19,22,14,14,14,13,18,9,9,9,9,9,4,19,6,5,0,0,2,0,0,1,1,0,0,0,0,0,19,2023-10-18 13:01:39,3
946,934,52,0,53,28,28,29,14,18,26,28,15,23,71,25,6,3,3,3,3,0,3,3,3,3,3,5,25,6,5,9,6,2,2,1,0,0,1,1,1,2,1,28,2023-10-18 13:03:39,0
910,895,690,438,37,19,19,19,5,18,19,24,15,21,45,13,8,9,9,9,5,0,3,3,3,3,3,2,13,7,5,8,6,0,2,0,1,0,1,1,1,2,1,16,2023-10-18 13:05:39,4
1031,1018,946,819,64,27,27,27,11,78,27,36,65,23,41,28,38,25,25,25,25,0,13,13,13,13,13,6,28,7,5,0,0,0,0,0,1,0,0,0,0,0,0,28,2023-10-18 13:07:39,0
917,911,1020,993,33,12,12,12,8,18,11,15,15,11,45,18,8,5,5,5,5,1,3,3,3,3,3,6,18,2,5,7,6,1,2,0,1,0,1,1,1,2,1,21,2023-10-18 13:09:39,0
962,944,1189,830,74,43,43,43,21,18,40,47,15,40,30,27,6,3,3,3,3,2,3,3,3,3,3,7,27,10,5,2,6,4,2,0,1,1,1,1,1,2,1,30,2023-10-18 13:11:39,1
962,951,898,864,44,16,16,16,8,54,15,26,45,15,71,18,19,10,10,10,10,1,9,9,9,9,9,9,18,6,5,9,6,2,2,1,0,1,1,1,1,2,1,21,2023-10-18 13:13:39,0
926,916,1118,873,46,20,20,20,5,72,20,33,60,21,30,13,24,12,12,12,12,2,12,12,12,12,12,2,13,6,5,0,0,0,0,1,1,0,0,0,0,0,0,13,2023-10-18 13:15:39,0
1008,997,946,827,38,19,19,19,6,42,19,23,35,16,56,15,14,7,7,7,7,0,7,7,7,7,7,4,15,8,5,8,6,0,2,0,1,0,1,1,1,2,1,18,2023-10-18 13:17:39,1
939,924,970,906,66,31,31,31,10,84,30,48,70,33,45,18,28,14,14,14,14,1,14,14,14,14,14,3,18,6,5,8,6,1,2,3,1,0,1,1,1,2,1,21,2023-10-18 13:19:39,0
968,960,1191,858,49,19,19,19,13,78,19,34,65,20,15,15,26,13,13,13,13,1,13,13,13,13,13,2,15,1,5,0,0,1,0,0,1,1,0,0,0,0,0,15,2023-10-18 13:21:39,0
960,943,959,921,43,24,24,26,8,42,22,30,35,21,71,13,15,8,8,8,8,1,7,7,7,7,7,3,13,6,5,8,6,2,2,1,0,0,1,1,1,2,1,16,2023-10-18 13:23:39,2
924,903,1142,893,59,40,40,40,18,30,37,42,25,34,45,17,10,5,5,5,5,2,5,5,5,5,5,4,17,9,5,9,6,3,2,0,1,0,1,1,1,2,1,20,2023-10-18 13:25:39,0
1017,1009,1008,874,58,18,18,19,13,54,16,30,45,19,41,28,18,9,9,9,9,0,9,9,9,9,9,11,28,4,5,0,0,2,0,2,1,0,0,0,0,0,0,28,2023-10-18 13:27:39,1
939,925,1054,999,59,23,23,22,10,66,23,31,55,20,45,28,22,11,11,11,11,2,11,11,11,11,11,4,28,3,5,9,6,0,2,3,1,0,1,1,1,2,1,31,2023-10-18 13:29:39,6
999,986,1328,981,64,29,29,30,10,150,27,49,125,21,30,15,50,25,25,25,25,2,25,25,25,25,25,4,15,5,5,8,6,3,2,0,1,1,1,1,1,2,1,18,2023-10-18 13:31:39,2
976,954,441,378,68,33,33,32,10,77,32,48,64,34,56,20,27,14,14,15,14,0,13,13,13,13,13,5,20,9,5,0,0,1,0,0,0,0,0,0,0,0,0,20,2023-10-18 13:33:39,3
921,910,251,0,55,26,26,26,5,31,25,30,26,24,45,25,14,12,12,11,9,1,5,5,5,5,5,5,25,6,5,8,6,1,2,1,1,0,1,1,1,2,1,28,2023-10-18 13:35:39,2
1066,1042,180,0,102,44,44,45,11,150,42,70,125,43,56,32,57,33,33,33,32,2,25,25,25,25,25,4,32,10,5,7,6,2,2,1,1,0,1,1,1,2,1,35,2023-10-18 13:37:39,2
951,938,67,0,71,19,19,19,9,102,18,34,85,16,45,37,46,29,29,29,29,0,17,17,17,17,17,3,37,8,5,8,6,1,2,0,1,0,1,1,1,2,1,40,2023-10-18 13:39:39,0
1002,981,347,0,66,26,26,27,10,90,26,40,75,25,15,26,35,29,29,29,23,2,15,15,15,12,12,5,26,5,5,0,0,0,0,1,1,0,0,0,0,0,0,26,2023-10-18 13:41:39,10
1003,991,79,0,85,19,19,19,3,168,20,47,140,19,71,38,67,41,41,41,39,0,28,28,28,28,28,8,38,6,5,7,6,0,2,0,0,1,1,1,1,2,1,41,2023-10-18 13:43:39,2
959,940,686,429,84,33,33,32,14,106,33,52,88,30,45,32,35,17,17,17,17,0,18,18,18,18,18,14,32,9,5,9,6,1,2,1,1,1,1,1,1,2,1,35,2023-10-18 13:45:39,11
1046,1034,985,814,85,28,28,28,11,109,28,49,91,31,41,36,40,23,23,22,22,0,18,18,18,18,18,12,36,8,5,0,0,0,0,0,1,0,0,0,0,0,0,36,2023-10-18 13:47:39,1
942,922,1027,971,61,27,27,28,12,67,25,36,56,23,45,25,28,16,16,17,17,1,11,11,11,11,11,6,25,6,5,9,6,2,2,1,1,0,1,1,1,2,1,28,2023-10-18 13:49:39,4
1007,987,1170,819,76,39,39,39,24,102,34,54,85,32,30,22,44,27,27,27,27,4,17,17,17,17,17,7,22,7,5,8,6,5,2,1,1,0,1,1,1,2,1,25,2023-10-18 13:51:39,5
1161,970,1558,872,699,625,625,625,21,96,616,678,80,652,56,21,36,22,22,22,20,32,16,16,16,16,16,4,21,12,5,0,0,10,0,0,0,1,0,0,0,0,0,21,2023-10-18 13:53:39,5
957,929,1124,847,76,46,46,47,14,102,44,55,85,36,45,21,38,22,22,22,21,3,17,17,17,17,17,0,21,10,5,9,6,2,2,3,1,0,1,1,1,2,1,24,2023-10-18 13:55:39,2
1063,1043,969,819,91,25,25,26,10,88,26,37,73,22,56,53,34,22,22,22,20,1,15,15,15,14,14,30,53,6,5,9,6,0,2,0,1,1,1,1,1,2,1,56,2023-10-18 13:57:39,5
940,914,942,867,87,39,39,39,18,68,39,54,57,43,30,33,23,13,13,13,12,2,11,11,11,11,11,12,33,16,5,0,0,0,0,2,1,0,0,0,0,0,0,33,2023-10-18 13:59:39,4
1061,999,1244,878,87,67,67,67,22,132,31,51,110,25,30,35,54,35,35,35,32,39,22,22,22,22,22,8,35,9,5,8,6,2,2,0,1,1,1,1,1,2,1,38,2023-10-18 14:01:39,15
1008,973,1015,900,138,83,83,83,53,52,76,91,43,74,71,47,18,10,10,10,9,3,9,9,9,9,9,20,47,14,5,2,6,8,2,2,0,1,1,1,1,2,1,50,2023-10-18 14:03:39,8
941,916,1125,884,65,33,33,34,25,62,32,43,52,31,30,22,19,18,18,18,10,1,10,10,10,9,9,8,22,6,5,0,0,2,0,2,1,1,0,0,0,0,0,22,2023-10-18 14:05:39,13
1032,1009,1040,870,79,35,35,35,13,90,33,54,75,37,56,25,30,17,17,17,16,1,15,15,15,14,14,9,25,12,5,8,6,2,2,3,1,0,1,1,1,2,1,28,2023-10-18 14:07:39,7
965,943,1069,992,83,40,40,41,16,84,39,51,70,36,45,32,33,19,19,19,19,1,14,14,14,14,14,11,32,11,5,8,6,1,2,1,1,0,1,1,1,2,1,35,2023-10-18 14:09:39,4
1010,993,1355,991,81,33,33,34,11,108,33,47,90,29,30,34,39,21,21,21,21,1,18,18,18,18,18,11,34,6,5,9,6,0,2,1,1,0,1,1,1,2,1,37,2023-10-18 14:11:39,3
992,969,569,501,89,39,39,39,15,46,38,47,38,38,56,42,15,7,7,7,7,0,8,8,8,8,8,20,42,17,5,0,0,1,0,0,0,0,0,0,0,0,0,42,2023-10-18 14:13:39,2
956,938,272,0,77,34,34,34,15,98,35,46,82,29,45,31,39,23,23,23,23,1,16,16,16,16,16,12,31,6,5,8,6,1,2,1,1,2,1,1,1,2,1,34,2023-10-18 14:15:39,1
1083,1058,206,0,141,62,62,62,17,178,57,95,148,57,56,46,71,41,41,41,41,2,30,30,30,30,30,21,46,3,5,8,6,5,2,0,1,0,1,1,1,2,1,49,2023-10-18 14:17:39,15
985,951,130,0,144,76,76,75,14,110,76,99,92,80,30,45,43,25,25,25,25,2,18,18,18,18,18,17,45,13,5,0,0,0,0,2,1,0,0,0,0,0,0,45,2023-10-18 14:19:39,9
1012,993,464,0,197,76,76,77,22,94,76,148,78,132,30,49,35,20,20,20,20,1,16,16,16,16,16,19,49,8,5,7,6,0,2,1,1,0,1,1,1,2,1,52,2023-10-18 14:21:39,2
1058,994,131,0,150,139,139,138,16,110,137,105,92,86,71,45,46,27,27,27,27,2,18,18,18,18,18,18,45,9,5,9,6,1,2,2,0,0,1,1,1,2,1,48,2023-10-18 14:23:39,5
1031,993,791,433,154,68,68,71,25,228,69,105,190,67,45,49,90,52,52,52,52,0,38,38,38,38,38,11,49,13,5,9,6,0,2,5,1,1,1,1,1,2,1,52,2023-10-18 14:25:39,10
1100,1076,1014,820,139,45,45,44,16,208,41,80,172,42,41,59,85,50,50,50,50,1,36,36,36,36,36,16,59,8,5,0,0,2,0,2,1,0,0,0,0,0,0,59,2023-10-18 14:27:39,6
1017,981,1146,964,207,120,120,120,93,194,108,154,163,111,45,53,81,49,49,49,49,3,31,31,31,31,31,14,53,14,5,9,6,12,2,1,1,0,1,1,1,2,1,56,2023-10-18 14:29:39,3
1042,1016,1502,803,441,188,188,188,27,152,183,378,126,347,30,63,55,31,31,31,31,7,26,26,26,26,26,26,63,6,5,7,6,5,2,2,1,0,1,1,1,2,1,66,2023-10-18 14:31:39,4
1122,985,1057,881,201,293,293,295,11,76,290,152,62,135,56,50,23,12,12,12,12,18,14,14,14,14,14,24,50,10,5,0,0,3,0,2,0,0,0,0,0,0,0,50,2023-10-18 14:33:39,3
998,979,1231,856,108,36,36,36,16,186,35,66,157,36,45,41,72,38,38,38,38,2,29,29,29,29,29,18,41,10,5,2,6,1,2,0,1,0,1,1,1,2,1,44,2023-10-18 14:35:39,0
1077,1045,989,845,160,71,71,71,15,154,71,100,128,73,56,60,61,35,35,35,35,3,26,26,26,26,26,17,60,3,5,9,6,1,2,2,1,1,1,1,1,2,1,63,2023-10-18 14:37:39,1
966,931,960,862,119,64,64,68,14,38,61,69,32,60,45,50,17,11,11,11,11,5,6,6,6,6,6,19,50,6,5,8,6,3,2,0,1,0,1,1,1,2,1,53,2023-10-18 14:39:39,4
1065,998,1429,863,296,197,197,198,11,144,193,262,120,234,15,34,53,29,29,29,29,13,24,24,24,24,24,14,34,9,5,0,0,4,0,3,1,0,0,0,0,0,0,34,2023-10-18 14:41:39,4
1047,977,1059,907,171,128,128,128,13,54,126,136,45,125,71,36,18,9,9,9,9,9,9,9,9,9,9,17,36,17,5,9,6,2,2,0,0,0,1,1,1,2,1,39,2023-10-18 14:43:39,0
1063,946,1503,873,405,350,350,350,21,96,347,345,80,325,45,59,36,20,20,20,20,17,16,16,16,16,16,20,59,5,5,9,6,4,2,0,1,1,1,1,1,2,1,62,2023-10-18 14:45:39,1
1044,1021,1038,881,132,65,65,65,11,102,65,92,85,74,41,40,39,22,22,22,22,2,17,17,17,17,17,14,40,1,5,0,0,1,0,1,1,1,0,0,0,0,0,40,2023-10-18 14:47:39,9
999,977,1102,992,114,36,36,38,13,212,35,77,176,40,45,37,81,45,45,45,45,3,36,36,36,36,36,4,37,9,5,9,6,1,2,3,1,0,1,1,1,2,1,40,2023-10-18 14:49:39,5
1064,1008,1381,983,138,87,87,87,39,136,79,84,114,54,30,54,55,39,39,39,34,2,22,22,22,21,21,18,54,23,5,8,6,8,2,0,1,0,1,1,1,2,1,57,2023-10-18 14:51:39,15
1061,1031,621,491,153,63,63,64,30,178,60,97,148,64,71,57,68,43,43,43,40,2,30,30,30,28,28,22,57,11,5,8,6,3,2,1,0,0,1,1,1,2,1,60,2023-10-18 14:53:39,11
949,929,362,0,97,40,40,39,29,102,35,65,85,43,30,31,36,21,21,19,19,4,17,17,17,17,17,5,31,4,5,0,0,5,0,1,1,0,0,0,0,0,0,31,2023-10-18 14:55:39,13
1039,1028,96,0,98,35,35,35,20,92,33,64,77,47,56,34,32,15,15,17,17,0,15,15,15,15,15,13,34,0,5,9,6,2,2,0,1,0,1,1,1,2,1,37,2023-10-18 14:57:39,3
987,939,105,0,125,61,61,63,20,88,59,67,73,47,45,58,32,17,17,17,17,3,15,15,15,15,15,17,58,25,5,8,6,3,2,3,1,1,1,1,1,2,1,61,2023-10-18 14:59:39,8
