request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>","CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>，cardNo:<:NUM:> <:resp:>,timestamp,unknown
1289,1289,490,648,342,188,188,188,112,112,112,112,96,32,26,12,12,14,2,3,2023-11-13 10:42:48,8
1300,1300,583,701,433,140,142,142,122,122,122,124,23,19,9,12,12,5,0,0,2023-11-13 10:43:16,8
1269,1269,646,727,498,115,117,117,111,111,111,113,5,13,1,12,12,0,1,0,2023-11-13 10:44:48,0
1266,1266,660,735,520,109,109,109,105,105,105,105,5,13,1,12,12,0,1,0,2023-11-13 10:45:16,0
1292,1292,714,825,557,139,139,139,127,127,127,127,15,14,4,12,12,0,1,2,2023-11-13 10:46:48,2
1294,1294,657,768,511,133,133,133,121,121,121,121,15,14,4,12,12,0,1,2,2023-11-13 10:47:16,2
1293,1293,601,672,473,106,105,105,94,94,94,93,15,11,3,12,12,0,3,0,2023-11-13 10:48:48,0
1294,1294,634,702,493,111,111,111,99,99,99,99,15,15,3,12,12,0,3,0,2023-11-13 10:49:16,0
1295,1295,577,664,448,107,108,108,107,107,107,108,0,19,0,12,12,0,0,0,2023-11-13 10:50:48,0
1297,1297,578,677,454,113,113,113,109,109,109,109,5,17,1,12,12,1,0,0,2023-11-13 10:51:16,0
1281,1281,782,876,644,120,120,120,112,112,112,112,10,16,2,12,12,1,1,0,2023-11-13 10:52:48,0
1269,1269,766,851,622,117,116,116,113,113,113,112,5,16,1,12,12,0,1,0,2023-11-13 10:53:16,0
1295,1295,257,291,182,54,54,54,54,54,54,54,0,8,0,12,12,0,0,0,2023-11-13 10:54:48,0
1292,1292,147,160,104,27,28,28,27,27,27,28,0,3,0,12,12,0,0,0,2023-11-13 10:55:16,0
1294,1294,113,113,77,18,18,18,18,18,18,18,0,2,0,12,12,0,0,0,2023-11-13 10:56:48,0
1295,1295,117,116,74,21,21,21,21,21,21,21,0,2,0,12,12,0,0,0,2023-11-13 10:57:16,0
1293,1293,146,240,81,112,112,112,44,44,44,44,85,18,20,12,12,11,4,2,2023-11-13 10:58:48,0
1298,1298,165,341,78,192,191,191,61,61,61,60,163,35,43,12,12,24,7,2,2023-11-13 10:59:16,8
1289,1289,174,495,49,342,342,341,86,86,86,86,319,66,82,12,12,51,13,0,2023-11-13 11:00:48,14
1296,1296,161,476,41,341,341,340,84,84,84,84,321,65,75,12,12,52,12,0,2023-11-13 11:01:16,6
1271,1271,367,710,205,365,365,365,129,129,129,129,295,68,70,12,12,47,8,4,2023-11-13 11:02:48,8
1273,1273,486,764,321,301,302,302,129,129,129,130,215,54,54,12,12,33,6,4,2023-11-13 11:03:16,8
1299,1299,613,675,490,92,92,92,92,92,92,92,0,11,0,12,12,0,0,0,2023-11-13 11:04:48,0
1293,1293,602,677,479,99,99,99,99,99,99,99,0,9,0,12,12,0,0,0,2023-11-13 11:05:16,0
1299,1299,596,668,472,96,96,96,96,96,96,96,0,7,4,12,12,0,0,0,2023-11-13 11:06:48,8
1296,1296,616,687,497,93,93,93,93,93,93,93,0,9,4,12,12,0,0,0,2023-11-13 11:07:16,8
1288,1288,631,715,512,104,103,103,100,100,100,99,5,12,1,12,12,0,1,0,2023-11-13 11:08:48,0
1296,1296,623,699,491,106,106,106,102,102,102,102,5,14,1,12,12,0,1,0,2023-11-13 11:09:16,0
1271,1271,711,786,570,107,108,108,107,107,107,108,0,16,0,12,12,0,0,0,2023-11-13 11:10:48,0
1272,1272,686,771,546,112,112,112,112,112,112,112,0,15,0,12,12,0,0,0,2023-11-13 11:11:16,0
1293,1293,623,710,461,127,126,126,115,115,115,114,15,16,11,12,12,0,3,0,2023-11-13 11:12:48,16
1293,1293,620,701,459,124,122,122,112,112,112,110,15,15,11,12,12,0,3,0,2023-11-13 11:13:16,16
1301,1301,578,656,442,106,107,107,106,106,106,107,0,13,0,12,12,0,0,0,2023-11-13 11:14:48,0
1294,1294,644,725,508,107,109,109,107,107,107,109,0,13,0,12,12,0,0,0,2023-11-13 11:15:16,0
1299,1299,386,430,300,65,65,65,65,65,65,65,0,10,0,12,12,0,0,0,2023-11-13 11:16:48,0
1295,1295,213,231,149,41,41,41,41,41,41,41,0,8,0,12,12,0,0,0,2023-11-13 11:17:16,0
1289,1289,108,111,38,37,37,37,32,32,32,32,6,4,6,12,12,0,1,0,2023-11-13 11:18:48,11
1264,1264,113,115,44,36,36,36,31,31,31,31,6,5,6,12,12,0,1,0,2023-11-13 11:19:16,11
1265,1265,91,113,40,47,45,45,26,26,26,24,26,7,6,12,12,4,1,0,2023-11-13 11:20:48,0
1296,1296,119,223,39,135,134,134,42,42,42,41,116,25,30,12,12,19,3,2,2023-11-13 11:21:16,0
1289,1289,180,483,45,341,342,342,82,82,82,83,324,66,79,12,12,51,12,2,2023-11-13 11:22:48,0
1294,1294,168,464,45,330,330,330,79,79,79,79,313,63,72,12,12,50,12,0,2023-11-13 11:23:16,0
1306,1306,188,509,48,357,356,356,95,95,95,94,327,70,74,12,12,52,10,4,2023-11-13 11:24:48,0
1293,1293,274,553,138,305,306,306,101,101,101,102,256,57,59,12,12,39,8,4,2023-11-13 11:25:16,0
1291,1291,583,665,434,119,121,121,109,109,109,111,13,15,3,12,12,1,0,1,2023-11-13 11:26:48,0
1295,1295,616,690,449,122,122,122,118,118,118,118,5,19,1,12,12,0,0,1,2023-11-13 11:27:16,0
1262,1262,747,876,524,172,172,172,164,164,164,164,10,26,18,12,12,0,2,0,2023-11-13 11:28:48,32
1269,1269,745,866,542,158,158,158,150,150,150,150,10,20,18,12,12,0,2,0,2023-11-13 11:29:16,32
1295,1295,586,656,456,100,100,100,100,100,100,100,0,9,0,12,12,0,0,0,2023-11-13 11:30:48,0
1296,1296,586,667,451,110,110,110,106,106,106,106,5,9,1,12,12,0,1,0,2023-11-13 11:31:16,0
1296,1296,663,745,533,108,108,108,104,104,104,104,5,6,1,12,12,0,1,0,2023-11-13 11:32:48,0
1296,1297,646,730,519,109,109,109,100,100,100,100,10,8,3,12,12,2,0,0,2023-11-13 11:33:16,3
1305,1306,592,679,451,120,120,120,103,103,103,103,20,15,6,12,12,4,0,0,2023-11-13 11:34:48,5
1294,1294,556,624,404,113,112,112,105,105,105,104,10,15,3,12,12,2,0,0,2023-11-13 11:35:16,2
1268,1268,621,694,485,105,105,105,104,104,104,104,1,12,0,12,12,1,0,0,2023-11-13 11:36:48,0
1270,1270,662,745,523,109,110,110,108,108,108,109,1,11,4,12,12,1,0,0,2023-11-13 11:37:16,8
1285,1285,586,682,438,128,128,128,112,112,112,112,20,13,8,12,12,0,4,0,2023-11-13 11:38:48,8
1294,1294,602,696,458,127,127,127,111,111,111,111,20,16,4,12,12,0,4,0,2023-11-13 11:39:16,0
1296,1296,493,531,372,79,79,79,79,79,79,79,0,10,0,12,12,0,0,0,2023-11-13 11:40:48,0
1297,1297,354,372,255,58,58,58,58,58,58,58,0,5,0,12,12,0,0,0,2023-11-13 11:41:16,0
1296,1296,86,68,25,19,19,19,19,19,19,19,0,3,4,12,12,0,0,0,2023-11-13 11:42:48,8
1296,1296,79,62,23,17,17,17,17,17,17,17,0,3,4,12,12,0,0,0,2023-11-13 11:43:16,8
1307,1307,63,61,28,18,18,18,14,14,14,14,5,1,1,12,12,1,0,0,2023-11-13 11:44:48,0
1263,1263,59,72,30,27,25,25,16,16,16,14,12,3,1,12,12,3,0,0,2023-11-13 11:45:16,0
1265,1265,140,380,39,266,265,265,65,65,65,64,251,51,61,12,12,42,6,2,2023-11-13 11:46:48,0
1300,1300,175,483,43,341,342,342,83,83,83,84,324,67,81,12,12,51,11,2,2023-11-13 11:47:16,0
1288,1288,155,479,34,346,346,346,89,89,89,89,321,72,74,12,12,48,16,0,2023-11-13 11:48:48,1
1296,1296,141,466,31,342,342,342,85,85,85,85,321,70,72,12,12,48,12,4,2023-11-13 11:49:16,1
1294,1294,414,594,294,195,196,196,101,101,101,102,118,35,27,12,12,18,2,4,2023-11-13 11:50:48,0
1295,1295,520,637,379,142,143,143,112,112,112,113,38,22,9,12,12,7,1,0,2023-11-13 11:51:16,0
1296,1296,524,580,371,103,103,103,103,103,103,103,0,11,0,12,12,0,0,0,2023-11-13 11:52:48,0
1296,1296,583,639,446,96,96,96,96,96,96,96,0,12,0,12,12,0,0,0,2023-11-13 11:53:16,0
1304,1304,688,755,565,95,95,95,94,94,94,94,1,10,0,12,12,1,0,0,2023-11-13 11:54:48,0
1293,1293,627,698,510,94,94,94,93,93,93,93,1,9,0,12,12,1,0,0,2023-11-13 11:55:16,0
1263,1263,655,718,522,96,96,96,96,96,96,96,0,9,4,12,12,0,0,0,2023-11-13 11:56:48,8
1266,1266,619,677,485,94,94,94,94,94,94,94,0,7,4,12,12,0,0,0,2023-11-13 11:57:16,8
1288,1288,536,594,396,99,99,99,99,99,99,99,0,7,0,12,12,0,0,0,2023-11-13 11:58:48,0
1295,1295,624,685,469,108,108,108,108,108,108,108,0,10,0,12,12,0,0,0,2023-11-13 11:59:16,0
1296,1296,601,671,455,108,108,108,108,108,108,108,0,14,0,12,12,0,0,0,2023-11-13 12:00:48,0
1296,1296,571,639,433,103,103,103,103,103,103,103,0,15,0,12,12,0,0,0,2023-11-13 12:01:16,0
1295,1295,577,653,448,103,103,103,102,102,102,102,1,20,0,12,12,1,0,0,2023-11-13 12:02:48,0
1296,1296,588,663,458,104,103,103,102,102,102,101,2,21,0,12,12,2,0,0,2023-11-13 12:03:16,0
1300,1300,686,774,570,107,107,107,97,97,97,97,12,18,2,12,12,4,0,0,2023-11-13 12:04:48,0
1293,1293,568,638,465,90,91,91,81,81,81,82,11,12,2,12,12,3,0,0,2023-11-13 12:05:16,0
1273,1273,103,100,48,25,25,25,25,25,25,25,0,4,0,12,12,0,0,0,2023-11-13 12:06:48,0
1262,1262,61,64,19,22,22,22,22,22,22,22,0,4,0,12,12,0,0,0,2023-11-13 12:07:16,0
1283,1283,61,68,21,26,26,26,21,21,21,21,6,3,1,12,12,2,0,0,2023-11-13 12:08:48,0
1293,1293,68,77,28,27,27,27,22,22,22,22,6,4,1,12,12,2,0,0,2023-11-13 12:09:16,0
1295,1295,103,252,31,164,163,163,51,51,51,50,141,32,35,12,12,23,4,2,2023-11-13 12:10:48,0
1303,1303,114,341,22,245,244,244,65,65,65,64,225,48,55,12,12,38,5,2,2023-11-13 12:11:16,0
1296,1296,115,431,12,333,333,333,76,76,76,76,321,67,74,12,12,51,12,0,2023-11-13 12:12:48,0
1288,1288,123,434,13,336,335,335,78,78,78,77,322,69,72,12,12,49,16,0,2023-11-13 12:13:16,0
1266,1266,312,554,193,268,269,269,85,85,85,86,229,49,53,12,12,36,7,4,2023-11-13 12:14:48,0
1270,1270,460,645,350,201,203,203,86,86,86,88,144,34,35,12,12,23,2,4,2023-11-13 12:15:16,0
1297,1297,677,745,572,86,86,86,86,86,86,86,0,8,0,12,12,0,0,0,2023-11-13 12:16:48,0
1296,1296,706,778,594,92,91,91,92,92,92,91,0,6,0,12,12,0,0,0,2023-11-13 12:17:16,0
1290,1290,744,835,610,113,112,112,113,113,113,112,0,15,0,12,12,0,0,0,2023-11-13 12:18:48,0
1295,1295,653,739,529,105,105,105,105,105,105,105,0,16,0,12,12,0,0,0,2023-11-13 12:19:16,0
1296,1296,576,645,447,99,100,100,98,98,98,99,1,9,0,12,12,1,0,0,2023-11-13 12:20:48,0
1297,1297,609,678,466,106,107,107,105,105,105,106,1,9,0,12,12,1,0,0,2023-11-13 12:21:16,0
1293,1293,702,795,557,119,119,119,119,119,119,119,0,22,0,12,12,0,0,0,2023-11-13 12:22:48,0
1263,1263,691,771,547,112,112,112,112,112,112,112,0,21,0,12,12,0,0,0,2023-11-13 12:23:16,0
1281,1281,700,743,549,97,97,97,97,97,97,97,0,12,0,12,12,0,0,0,2023-11-13 12:24:48,0
1302,1302,658,707,508,99,99,99,99,99,99,99,0,10,0,12,12,0,0,0,2023-11-13 12:25:16,0
1300,1300,518,584,397,93,93,93,93,93,93,93,0,3,0,12,12,0,0,0,2023-11-13 12:26:48,0
1296,1296,610,677,487,95,95,95,95,95,95,95,0,5,0,12,12,0,0,0,2023-11-13 12:27:16,0
1287,1287,506,535,385,75,75,75,75,75,75,75,0,11,0,12,12,0,0,0,2023-11-13 12:28:48,0
1288,1288,321,330,228,51,51,51,51,51,51,51,0,10,0,12,12,0,0,0,2023-11-13 12:29:16,0
1292,1292,50,54,16,19,19,19,19,19,19,19,0,4,0,12,12,0,0,0,2023-11-13 12:30:48,0
1297,1297,56,58,14,22,22,22,22,22,22,22,0,3,0,12,12,0,0,0,2023-11-13 12:31:16,0
1275,1275,77,91,23,40,40,40,28,28,28,28,15,5,3,12,12,0,3,0,2023-11-13 12:32:48,0
1279,1279,83,107,30,47,46,46,31,31,31,30,20,7,4,12,12,1,3,0,2023-11-13 12:33:16,0
1294,1294,113,348,17,262,260,260,60,60,60,58,251,52,60,12,12,43,6,2,2023-11-13 12:34:48,0
1295,1295,120,437,13,335,335,335,74,74,74,74,326,65,80,12,12,53,10,2,2023-11-13 12:35:16,0
1300,1300,137,469,21,348,350,350,86,86,86,88,329,68,78,12,12,49,15,1,2023-11-13 12:36:48,0
1296,1296,128,451,19,341,341,341,82,82,82,82,324,68,73,12,12,48,13,4,2023-11-13 12:37:16,0
1290,1290,489,654,370,183,183,183,99,99,99,99,105,35,23,12,12,16,2,3,2023-11-13 12:38:48,0
1294,1294,600,688,456,127,128,128,103,103,103,104,30,22,7,12,12,6,0,0,2023-11-13 12:39:16,0
1296,1296,619,708,467,128,128,128,112,112,112,112,20,13,5,12,12,0,4,0,2023-11-13 12:40:48,0
1260,1260,619,727,484,129,129,129,113,113,113,113,20,16,5,12,12,0,4,0,2023-11-13 12:41:16,0
1267,1267,625,715,505,105,105,105,105,105,105,105,0,13,0,12,12,0,0,0,2023-11-13 12:42:48,0
1304,1304,600,688,478,105,105,105,105,105,105,105,0,10,0,12,12,0,0,0,2023-11-13 12:43:16,0
1302,1302,598,672,486,93,93,93,93,93,93,93,0,11,0,12,12,0,0,0,2023-11-13 12:44:48,0
1294,1294,667,740,552,94,94,94,94,94,94,94,0,10,0,12,12,0,0,0,2023-11-13 12:45:16,0
1295,1295,596,667,485,91,91,91,91,91,91,91,0,11,0,12,12,0,0,0,2023-11-13 12:46:48,0
1296,1296,539,613,433,90,90,90,90,90,90,90,0,11,0,12,12,0,0,0,2023-11-13 12:47:16,0
1290,1290,620,756,485,151,151,151,119,119,119,119,40,16,8,12,12,0,8,0,2023-11-13 12:48:48,0
1296,1296,654,789,510,155,155,155,123,123,123,123,40,18,8,12,12,0,8,0,2023-11-13 12:49:16,0
1268,1268,639,711,523,94,94,94,94,94,94,94,0,14,0,12,12,0,0,0,2023-11-13 12:50:48,0
1259,1259,543,611,447,82,82,82,82,82,82,82,0,12,0,12,12,0,0,0,2023-11-13 12:51:16,0
1292,1292,96,107,59,24,24,24,24,24,24,24,0,1,0,12,12,0,0,0,2023-11-13 12:52:48,0
1296,1296,51,46,20,13,13,13,13,13,13,13,0,1,0,12,12,0,0,0,2023-11-13 12:53:16,0
1302,1302,51,56,14,25,25,25,17,17,17,17,10,3,2,12,12,2,0,0,2023-11-13 12:54:48,0
1300,1300,51,58,16,25,25,25,17,17,17,17,10,3,2,12,12,2,0,0,2023-11-13 12:55:16,0
1293,1293,88,213,21,147,146,146,39,39,39,38,134,30,33,12,12,21,4,2,2023-11-13 12:56:48,0
1296,1296,98,304,20,224,223,223,53,53,53,52,213,45,50,12,12,36,5,2,2023-11-13 12:57:16,0
1270,1270,117,431,9,333,333,333,78,78,78,78,319,64,74,12,12,52,12,0,2023-11-13 12:58:48,0
1274,1274,124,443,10,340,340,340,82,82,82,82,323,64,75,12,12,49,15,0,2023-11-13 12:59:16,0
1295,1295,226,503,116,292,293,293,87,87,87,88,257,56,59,12,12,35,12,4,2023-11-13 13:00:48,0
1295,1295,360,575,247,230,231,231,91,91,91,92,174,41,41,12,12,23,8,4,2023-11-13 13:01:16,0
1296,1296,613,694,486,104,104,104,104,104,104,104,0,12,0,12,12,0,0,0,2023-11-13 13:02:48,0
1296,1296,627,701,489,106,106,106,106,106,106,106,0,13,0,12,12,0,0,0,2023-11-13 13:03:16,0
1297,1297,650,722,524,101,101,101,97,97,97,97,5,16,1,12,12,0,1,0,2023-11-13 13:04:48,0
1296,1296,642,720,523,101,100,100,97,97,97,96,5,19,1,12,12,0,1,0,2023-11-13 13:05:16,0
1302,1302,624,715,499,108,108,108,108,108,108,108,0,20,0,12,12,0,0,0,2023-11-13 13:06:48,0
1258,1258,612,716,486,115,115,115,115,115,115,115,0,23,0,12,12,0,0,0,2023-11-13 13:07:16,0
1262,1262,610,712,484,114,113,113,114,114,114,113,0,14,0,12,12,0,0,0,2023-11-13 13:08:48,0
1307,1307,560,643,439,101,102,102,101,101,101,102,0,10,0,12,12,0,0,0,2023-11-13 13:09:16,0
1299,1299,584,655,458,98,99,99,98,98,98,99,0,11,0,12,12,0,0,0,2023-11-13 13:10:48,0
1295,1295,634,700,508,96,96,96,96,96,96,96,0,9,0,12,12,0,0,0,2023-11-13 13:11:16,0
1295,1295,556,629,443,93,93,93,93,93,93,93,0,13,0,12,12,0,0,0,2023-11-13 13:12:48,0
1286,1286,517,597,404,97,97,97,96,96,96,96,1,15,0,12,12,1,0,0,2023-11-13 13:13:16,0
1297,1297,577,649,456,97,97,97,96,96,96,96,1,11,0,12,12,1,0,0,2023-11-13 13:14:48,0
1305,1305,614,692,490,101,101,101,101,101,101,101,0,9,0,12,12,0,0,0,2023-11-13 13:15:16,0
1263,1263,265,295,189,53,53,53,53,53,53,53,0,3,0,12,12,0,0,0,2023-11-13 13:16:48,0
1258,1258,124,125,70,27,27,27,27,27,27,27,0,1,0,12,12,0,0,0,2023-11-13 13:17:16,0
1290,1290,55,44,21,11,11,11,11,11,11,11,0,0,0,12,12,0,0,0,2023-11-13 13:18:48,0
1295,1295,62,55,27,14,14,14,14,14,14,14,0,0,0,12,12,0,0,0,2023-11-13 13:19:16,0
1295,1295,82,112,33,54,53,53,25,25,25,24,36,9,8,12,12,5,2,0,2023-11-13 13:20:48,0
1297,1297,95,211,22,142,141,141,41,41,41,40,126,28,32,12,12,20,4,2,2023-11-13 13:21:16,0
1291,1291,137,463,15,346,346,346,83,83,83,83,329,67,85,12,12,52,12,2,2023-11-13 13:22:48,8
1295,1295,139,465,19,346,346,346,86,86,86,86,325,67,79,12,12,51,13,0,2023-11-13 13:23:16,8
1304,1304,141,460,39,336,337,337,76,76,76,77,325,67,73,12,12,51,10,4,2023-11-13 13:24:48,1
1264,1264,224,481,126,269,270,270,78,78,78,79,239,53,55,12,12,37,7,4,2023-11-13 13:25:16,1
1260,1260,586,658,454,96,96,96,96,96,96,96,0,13,12,12,12,0,0,0,2023-11-13 13:26:48,24
1299,1299,603,665,469,90,90,90,90,90,90,90,0,10,16,12,12,0,0,0,2023-11-13 13:27:16,32
1296,1296,686,760,559,99,98,98,98,98,98,97,1,11,4,12,12,0,0,0,2023-11-13 13:28:48,8
1296,1296,706,795,581,109,108,108,105,105,105,104,5,14,1,12,12,0,1,0,2023-11-13 13:29:16,0
1296,1296,613,686,460,114,115,115,111,111,111,112,4,19,1,12,12,0,1,0,2023-11-13 13:30:48,0
1297,1297,592,654,441,106,107,107,106,106,106,107,0,16,0,12,12,0,0,0,2023-11-13 13:31:16,0
1297,1297,562,640,454,93,93,93,93,93,93,93,0,14,0,12,12,0,0,0,2023-11-13 13:32:48,0
1296,1296,612,694,495,100,99,99,100,100,100,99,0,17,0,12,12,0,0,0,2023-11-13 13:33:16,0
1269,1269,593,678,460,109,109,109,109,109,109,109,0,16,0,12,12,0,0,0,2023-11-13 13:34:48,0
1264,1264,543,632,414,109,109,109,109,109,109,109,0,15,0,12,12,0,0,0,2023-11-13 13:35:16,0
1291,1291,562,686,418,148,148,148,120,120,120,120,34,23,6,12,12,0,7,0,2023-11-13 13:36:48,0
