parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,timestamp,unknown
22,22,22,22,0,0,46,0,0,26,20,0,0,1,1,0,0,0,0,46,26,26,20,2,2,0,2,2,2,2,2,2,2023-11-22 12:18:00,3
10,10,10,10,0,0,39,0,0,29,10,0,0,0,0,0,0,0,0,39,29,29,10,5,5,0,5,5,5,2,2,2,2023-11-22 12:20:00,0
14,14,14,14,0,0,41,0,0,27,14,0,0,0,0,0,0,0,0,41,27,27,14,3,3,0,3,3,3,2,2,2,2023-11-22 12:22:00,0
17,17,17,17,0,0,42,0,0,26,16,0,0,1,1,0,0,0,0,42,26,26,16,2,2,1,2,2,2,2,2,2,2023-11-22 12:24:00,0
17,17,17,17,0,0,43,0,0,27,16,0,0,1,1,0,0,0,0,43,27,27,16,3,3,1,3,3,3,2,2,2,2023-11-22 12:26:00,0
26,26,26,26,0,0,66,0,0,40,26,0,0,0,0,0,0,0,0,66,40,40,26,8,8,0,8,8,8,3,3,3,2023-11-22 12:28:00,0
25,25,25,25,0,0,48,0,0,26,22,0,0,2,2,0,0,0,0,48,26,26,22,2,2,2,2,2,2,2,2,2,2023-11-22 12:30:00,2
16,16,16,16,0,0,43,0,0,27,16,0,0,0,0,0,0,0,0,43,27,27,16,3,3,0,3,3,2,2,2,2,2023-11-22 12:32:00,1
29,29,29,29,0,0,55,0,0,28,27,0,0,2,2,0,0,0,0,55,28,28,27,4,4,2,4,4,4,2,2,2,2023-11-22 12:34:00,0
14,14,14,14,0,0,41,0,0,27,14,0,0,0,0,0,0,0,0,41,27,27,14,3,3,0,3,3,2,2,2,2,2023-11-22 12:36:00,1
16,16,16,16,0,0,41,0,0,26,15,0,0,0,0,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 12:38:00,2
15,15,15,15,0,0,41,0,0,27,14,0,0,1,1,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 12:40:00,0
20,20,20,20,0,0,49,0,0,29,20,0,0,0,0,0,0,0,0,49,29,29,20,5,5,0,5,5,5,2,2,2,2023-11-22 12:42:00,0
19,19,19,19,0,0,42,0,0,26,16,0,0,3,3,0,0,0,0,42,26,26,16,2,2,2,2,2,2,2,2,2,2023-11-22 12:44:00,1
16,16,16,16,0,0,41,0,0,27,14,0,0,2,2,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 12:46:00,1
25,25,25,25,0,0,51,0,0,26,25,0,0,0,0,0,0,0,0,51,26,26,25,2,2,0,2,2,2,2,2,2,2023-11-22 12:48:00,0
16,16,16,16,0,0,45,0,0,29,16,0,0,0,0,0,0,0,0,45,29,29,16,5,5,0,5,5,5,2,2,2,2023-11-22 12:50:00,0
15,15,15,15,0,0,41,0,0,27,14,0,0,1,1,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 12:52:00,0
12,12,12,12,0,0,38,0,0,26,12,0,0,0,0,0,0,0,0,38,26,26,12,2,2,0,2,2,2,2,2,2,2023-11-22 12:54:00,0
17,17,17,17,0,0,46,0,0,29,17,0,0,0,0,0,0,0,0,46,29,29,17,5,5,0,5,5,4,2,2,2,2023-11-22 12:56:00,1
15,16,15,15,0,0,41,0,0,26,15,0,0,0,0,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 12:58:00,0
18,18,18,18,0,0,43,0,0,27,16,0,0,2,2,0,0,0,0,43,27,27,16,3,3,2,3,3,2,2,2,2,2023-11-22 13:00:00,1
18,18,18,18,0,0,41,0,0,26,15,0,0,1,1,0,0,0,0,41,26,26,15,2,2,1,2,2,2,2,2,2,2023-11-22 13:02:00,3
9,10,9,9,0,0,37,0,0,29,8,0,0,1,1,0,0,0,0,37,29,29,8,5,5,0,5,5,5,2,2,2,2023-11-22 13:04:00,1
12,12,12,12,0,0,39,0,0,27,12,0,0,0,0,0,0,0,0,39,27,27,12,3,3,0,3,3,3,2,2,2,2023-11-22 13:06:00,0
13,13,13,13,0,0,39,0,0,26,13,0,0,0,0,0,0,0,0,39,26,26,13,2,2,0,2,2,2,2,2,2,2023-11-22 13:08:00,0
14,14,14,14,0,0,42,0,0,29,13,0,0,1,1,0,0,0,0,42,29,29,13,5,5,1,5,5,5,2,2,2,2023-11-22 13:10:00,0
23,23,23,23,0,0,102,0,0,28,74,0,0,0,0,0,0,0,0,102,28,28,23,4,4,0,3,3,3,2,2,2,2023-11-22 13:12:00,52
23,23,23,23,0,0,49,0,0,26,23,0,0,0,0,0,0,0,0,49,26,26,23,2,2,0,2,2,2,2,2,2,2023-11-22 13:14:00,0
22,22,22,22,0,0,49,0,0,27,22,0,0,0,0,0,0,0,0,49,27,27,22,3,3,0,3,3,3,2,2,2,2023-11-22 13:16:00,0
25,25,25,25,0,0,51,0,0,28,23,0,0,2,2,0,0,0,0,51,28,28,23,4,4,1,4,4,4,2,2,2,2023-11-22 13:18:00,1
25,25,25,25,0,0,151,0,0,27,124,0,0,1,1,0,0,0,0,151,27,27,124,3,3,1,3,3,2,2,2,2,2023-11-22 13:20:00,1
15,15,15,15,0,0,40,0,0,26,14,0,0,1,1,0,0,0,0,40,26,26,14,2,2,0,2,2,2,2,2,2,2023-11-22 13:22:00,1
19,19,19,19,0,0,44,0,0,27,17,0,0,2,2,0,0,0,0,44,27,27,17,3,3,1,3,3,2,2,2,2,2023-11-22 13:24:00,2
22,22,22,22,0,0,51,0,0,29,22,0,0,0,0,0,0,0,0,51,29,29,22,5,5,0,5,5,5,2,2,2,2023-11-22 13:26:00,0
21,21,21,21,0,0,46,0,0,26,20,0,0,1,1,1,0,0,0,46,26,26,20,2,2,0,2,2,2,2,2,2,2023-11-22 13:28:00,0
23,23,23,23,0,0,50,0,0,27,23,0,0,0,0,0,0,0,0,50,27,27,23,3,3,0,3,3,3,2,2,2,2023-11-22 13:30:00,0
13,13,13,13,0,0,42,0,0,29,13,0,0,0,0,0,0,0,0,42,29,29,13,5,5,0,5,5,5,2,2,2,2023-11-22 13:32:00,0
22,22,22,22,0,0,45,0,0,26,19,0,0,2,2,1,0,0,0,45,26,26,19,2,2,1,2,2,2,2,2,2,2023-11-22 13:34:00,2
16,16,16,16,0,0,42,0,0,27,15,0,0,1,1,0,0,0,0,42,27,27,15,3,3,1,3,3,3,2,2,2,2023-11-22 13:36:00,0
23,23,23,23,0,0,48,0,0,26,22,0,0,1,1,0,0,0,0,48,26,26,22,2,2,0,2,2,2,2,2,2,2023-11-22 13:38:00,1
16,16,16,16,0,0,45,0,0,29,16,0,0,0,0,0,0,0,0,45,29,29,16,5,5,0,5,5,5,2,2,2,2023-11-22 13:40:00,0
15,15,15,15,0,0,41,0,0,26,15,0,0,0,0,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 13:42:00,0
21,21,21,21,0,0,48,0,0,27,21,0,0,0,0,0,0,0,0,48,27,27,21,3,3,0,3,3,2,2,2,2,2023-11-22 13:44:00,1
24,24,24,24,0,0,51,0,0,27,24,0,0,0,0,0,0,0,0,51,27,27,24,3,3,0,3,3,2,2,2,2,2023-11-22 13:46:00,1
20,20,20,20,0,0,47,0,0,28,19,0,0,1,1,0,0,0,0,47,28,28,19,4,4,1,4,4,4,2,2,2,2023-11-22 13:48:00,0
12,12,12,12,0,0,39,0,0,27,12,0,0,0,0,0,0,0,0,39,27,27,12,3,3,0,3,3,3,2,2,2,2023-11-22 13:50:00,0
22,22,22,22,0,0,46,0,0,26,20,0,0,2,2,1,0,0,0,46,26,26,20,2,2,1,2,2,2,2,2,2,2023-11-22 13:52:00,0
14,14,14,14,0,0,43,0,0,29,14,0,0,0,0,0,0,0,0,43,29,29,14,5,5,0,5,5,5,2,2,2,2023-11-22 13:54:00,0
13,13,13,13,0,0,40,0,0,27,13,0,0,0,0,0,0,0,0,40,27,27,13,3,3,0,3,3,3,2,2,2,2023-11-22 13:56:00,0
22,22,22,22,0,0,45,0,0,26,19,0,0,3,3,0,0,0,0,45,26,26,19,2,2,2,2,2,2,2,2,2,2023-11-22 13:58:00,1
17,17,17,17,0,0,44,0,0,27,17,0,0,0,0,0,0,0,0,44,27,27,17,3,3,0,3,3,3,2,2,2,2023-11-22 14:00:00,0
22,20,22,22,0,0,47,0,0,29,18,0,0,2,2,1,0,0,0,47,29,29,18,5,5,1,5,5,5,2,2,2,2023-11-22 14:02:00,0
16,16,16,16,0,0,41,0,0,26,15,0,0,1,1,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 14:04:00,1
15,16,15,15,0,0,41,0,0,27,14,0,0,1,1,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 14:06:00,0
27,27,27,27,0,0,50,0,0,26,24,0,0,3,3,0,0,0,0,50,26,26,24,2,2,2,2,2,2,2,2,2,2023-11-22 14:08:00,1
16,16,16,16,0,0,45,0,0,29,16,0,0,0,0,0,0,0,0,45,29,29,16,5,5,0,5,5,4,2,2,2,2023-11-22 14:10:00,1
14,14,14,14,0,0,40,0,0,26,14,0,0,0,0,0,0,0,0,40,26,26,14,2,2,0,2,2,2,2,2,2,2023-11-22 14:12:00,0
19,19,19,19,0,0,44,0,0,27,17,0,0,2,2,0,0,0,0,44,27,27,17,3,3,1,3,3,2,2,2,2,2023-11-22 14:14:00,2
19,19,19,19,0,0,47,0,0,29,18,0,0,0,0,0,0,0,0,47,29,29,18,5,5,0,5,5,5,2,2,2,2023-11-22 14:16:00,2
19,19,19,19,0,0,44,0,0,26,18,0,0,1,1,0,0,0,0,44,26,26,18,2,2,1,2,2,2,2,2,2,2023-11-22 14:18:00,0
14,14,14,14,0,0,40,0,0,28,12,0,0,1,1,0,0,0,0,40,27,27,12,3,3,1,3,3,3,2,2,2,2023-11-22 14:20:00,2
22,22,22,22,0,0,46,0,0,26,20,0,0,2,2,0,0,0,0,46,26,26,20,2,2,2,2,2,2,2,2,2,2023-11-22 14:22:00,0
18,18,18,18,0,0,47,0,0,29,18,0,0,0,0,0,0,0,0,47,29,29,18,5,5,0,5,5,5,2,2,2,2023-11-22 14:24:00,0
17,17,17,17,0,0,41,0,0,27,14,0,0,2,2,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 14:26:00,6
11,11,11,11,0,0,37,0,0,26,11,0,0,0,0,0,0,0,0,37,26,26,11,2,2,0,2,2,2,2,2,2,2023-11-22 14:28:00,0
20,20,20,20,0,0,46,0,0,27,19,0,0,1,1,0,0,0,0,46,27,27,19,3,3,0,3,3,3,2,2,2,2023-11-22 14:30:00,1
21,21,21,21,0,0,45,0,0,26,19,0,0,2,2,1,0,0,0,45,26,26,19,2,2,1,2,2,2,2,2,2,2023-11-22 14:32:00,0
23,23,23,23,0,0,52,0,0,29,23,0,0,0,0,0,0,0,0,52,29,29,23,5,5,0,5,5,4,2,2,2,2023-11-22 14:34:00,1
2413,2413,2413,2413,949,10,108,10,10,80,28,10,949,55,55,54,10,10,10,108,26,26,28,2,2,1,2,2,2,2,2,2,2023-11-22 14:36:00,0
9804,9804,9804,9804,3879,46,266,46,46,251,15,46,3879,228,228,227,46,46,46,266,26,26,15,3,3,0,3,3,2,2,2,2,2023-11-22 14:38:00,2
10278,10278,10278,10278,4072,46,277,46,46,262,15,46,4072,236,236,236,46,46,46,277,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 14:40:00,0
10235,10233,10233,10233,4044,48,277,48,48,264,13,48,4044,240,240,239,48,48,48,277,30,30,13,5,5,0,5,5,5,2,2,2,2023-11-22 14:42:00,1
10277,10279,10279,10279,4069,48,277,48,48,262,15,48,4069,237,237,236,48,48,48,277,27,27,15,3,3,0,3,3,3,2,2,2,2023-11-22 14:44:00,1
10290,10289,10289,10289,4076,48,278,48,48,262,16,48,4076,238,238,237,48,48,48,278,26,26,16,2,2,0,2,2,2,2,2,2,2023-11-22 14:46:00,1
10289,10289,10289,10289,4074,48,281,48,48,262,19,48,4074,240,240,237,48,48,48,281,27,27,19,3,3,0,3,3,3,2,2,2,2023-11-22 14:48:00,3
10272,10272,10272,10272,4055,48,288,48,48,264,24,48,4055,237,237,237,48,48,48,288,29,29,24,5,5,0,5,5,5,2,2,2,2023-11-22 14:50:00,0
10286,10285,10285,10285,4073,48,280,48,48,261,19,48,4073,237,237,237,48,48,48,280,26,26,19,2,2,0,2,2,2,2,2,2,2023-11-22 14:52:00,2
10283,10282,10282,10282,4073,48,281,47,47,263,18,47,4073,239,239,238,47,48,47,281,27,27,18,3,3,1,3,3,3,2,2,2,2023-11-22 14:54:00,0
10279,10280,10280,10280,4070,46,285,47,47,261,24,47,4070,239,239,236,47,46,47,285,26,26,24,2,2,3,2,2,2,2,2,2,2023-11-22 14:56:00,0
10264,10266,10266,10266,4064,48,281,48,48,264,17,48,4064,237,237,237,48,48,48,281,29,29,17,5,5,0,5,5,5,2,2,2,2023-11-22 14:58:00,0
10288,10287,10287,10287,4074,48,278,48,48,263,15,48,4074,238,238,237,48,48,48,278,27,27,15,3,3,0,3,3,3,2,2,2,2023-11-22 15:00:00,1
10263,10258,10261,10261,4048,48,276,48,48,261,15,48,4048,241,241,238,48,48,48,276,26,26,15,2,2,3,2,2,2,2,2,2,2023-11-22 15:02:00,0
10213,10216,10215,10215,4044,48,270,48,48,260,10,48,4044,234,234,234,48,48,48,270,26,26,10,3,3,0,3,3,3,2,2,2,2023-11-22 15:04:00,2
10302,10300,10300,10300,4084,48,274,48,48,265,9,48,4084,239,239,238,48,48,48,274,29,29,9,5,5,1,5,5,5,2,2,2,2023-11-22 15:06:00,0
10294,10295,10295,10295,4075,47,283,47,47,260,23,47,4075,237,237,236,47,47,47,283,26,26,23,2,2,1,2,2,2,2,2,2,2023-11-22 15:08:00,0
10315,10316,10316,10316,4088,48,283,48,48,263,20,48,4088,241,241,238,48,48,48,283,27,27,20,3,3,3,3,3,3,2,2,2,2023-11-22 15:10:00,0
10304,10305,10305,10305,4087,47,327,47,47,266,61,47,4087,238,238,236,47,47,47,327,30,30,10,6,6,1,5,5,5,2,2,2,2023-11-22 15:12:00,53
10312,10310,10310,10310,4079,48,282,48,48,262,20,48,4079,238,238,238,48,48,48,282,26,26,20,2,2,0,2,2,2,2,2,2,2023-11-22 15:14:00,0
10311,10313,10313,10313,4088,48,276,48,48,262,14,48,4088,236,236,236,48,48,48,276,26,26,14,2,2,0,2,2,2,2,2,2,2023-11-22 15:16:00,0
10312,10311,10311,10311,4087,48,276,48,48,261,15,48,4087,240,240,238,48,48,48,276,27,27,15,3,3,0,3,3,2,2,2,2,2023-11-22 15:18:00,3
10301,10302,10302,10302,4081,48,281,48,48,265,16,48,4081,236,236,236,48,48,48,281,29,29,16,5,5,0,5,5,4,2,2,2,2023-11-22 15:20:00,1
10280,10278,10278,10278,4063,48,281,48,48,262,19,48,4063,240,240,238,48,48,48,281,26,26,19,2,2,0,2,2,2,2,2,2,2023-11-22 15:22:00,2
10304,10306,10306,10306,4084,48,272,48,48,261,11,48,4084,237,237,236,48,48,48,272,27,27,11,3,3,0,3,3,3,2,2,2,2023-11-22 15:24:00,1
10296,10295,10295,10295,4068,48,278,47,47,262,16,47,4068,239,239,238,47,48,47,278,26,26,16,2,2,0,2,2,2,2,2,2,2023-11-22 15:26:00,3
10225,10226,10226,10226,4055,46,272,47,47,263,9,47,4055,238,238,236,47,46,47,272,29,29,9,5,5,2,5,5,5,2,2,2,2023-11-22 15:28:00,0
10307,10306,10306,10306,4080,48,279,48,48,263,16,48,4080,238,238,236,48,48,48,279,27,27,16,3,3,2,3,3,3,2,2,2,2023-11-22 15:30:00,2
10297,10297,10297,10297,4076,48,282,48,48,262,20,48,4076,238,238,238,48,48,48,282,26,26,20,2,2,0,2,2,2,2,2,2,2023-11-22 15:32:00,0
10283,10284,10284,10284,4066,48,279,48,48,261,18,48,4066,237,237,236,48,48,48,279,27,27,18,3,3,0,3,3,3,2,2,2,2023-11-22 15:34:00,1
10302,10301,10301,10301,4077,48,277,48,48,265,12,48,4077,239,239,238,48,48,48,277,29,29,12,5,5,1,5,5,5,2,2,2,2023-11-22 15:36:00,0
10326,10327,10327,10327,4089,48,290,48,48,262,28,48,4089,237,237,236,48,48,48,290,26,26,28,2,2,1,2,2,2,2,2,2,2023-11-22 15:38:00,0
10299,10297,10297,10297,4074,48,278,48,48,263,15,48,4074,240,240,238,48,48,48,278,27,27,15,3,3,1,3,3,2,2,2,2,2023-11-22 15:40:00,2
10261,10262,10262,10262,4050,47,277,47,47,262,15,47,4050,236,236,236,47,47,47,277,28,28,15,4,4,0,4,4,4,2,2,2,2023-11-22 15:42:00,2
10295,10296,10296,10296,4073,47,282,47,47,263,19,47,4073,238,238,238,47,47,47,282,27,27,19,3,3,0,3,3,2,2,2,2,2023-11-22 15:44:00,1
10289,10289,10289,10289,4067,48,281,48,48,262,19,48,4067,236,236,236,48,48,48,281,26,26,19,2,2,0,2,2,2,2,2,2,2023-11-22 15:46:00,0
10297,10297,10297,10297,4077,48,280,48,48,262,18,48,4077,239,239,237,48,48,48,280,27,27,18,3,3,1,3,3,3,2,2,2,2023-11-22 15:48:00,1
10289,10287,10287,10287,4067,48,277,48,48,264,13,48,4067,238,238,237,48,48,48,277,29,29,13,5,5,1,5,5,5,2,2,2,2023-11-22 15:50:00,0
10213,10213,10213,10213,4040,48,281,48,48,260,21,48,4040,237,237,236,48,48,48,281,26,26,21,2,2,1,2,2,2,2,2,2,2023-11-22 15:52:00,2
10307,10309,10309,10309,4082,48,279,48,48,262,17,48,4082,238,238,236,48,48,48,279,27,27,17,3,3,2,3,3,3,2,2,2,2023-11-22 15:54:00,8
10316,10315,10315,10315,4085,46,273,46,46,262,11,46,4085,240,240,239,46,46,46,273,26,26,11,2,2,1,2,2,2,2,2,2,2023-11-22 15:56:00,0
10308,10309,10309,10309,4071,48,291,48,48,265,26,48,4071,238,238,236,48,48,48,291,29,29,26,5,5,2,5,5,5,2,2,2,2023-11-22 15:58:00,0
10299,10299,10299,10299,4074,48,281,48,48,262,19,48,4074,238,238,238,48,48,48,281,27,27,19,3,3,0,3,3,3,2,2,2,2023-11-22 16:00:00,0
10277,10274,10277,10277,4052,48,283,48,48,262,21,48,4052,240,240,237,48,48,48,283,26,26,21,2,2,2,2,2,2,2,2,2,2023-11-22 16:02:00,1
10283,10283,10283,10283,4064,48,281,48,48,264,17,48,4064,239,239,239,48,48,48,281,29,29,17,5,5,0,5,5,4,2,2,2,2023-11-22 16:04:00,1
10257,10257,10257,10257,4046,48,281,48,48,262,19,48,4046,237,237,236,48,48,48,281,26,26,19,2,2,1,2,2,2,2,2,2,2023-11-22 16:06:00,0
10178,10176,10176,10176,4014,48,272,48,48,261,11,48,4014,236,236,236,48,48,48,272,27,27,11,3,3,0,3,3,2,2,2,2,2023-11-22 16:08:00,1
10244,10244,10244,10244,4047,48,278,47,47,260,18,47,4047,239,239,238,47,48,47,278,26,26,18,2,2,1,2,2,2,2,2,2,2023-11-22 16:10:00,0
10267,10269,10269,10269,4061,47,283,48,48,265,18,48,4061,238,238,236,48,47,48,283,29,29,18,5,5,2,5,5,5,2,2,2,2023-11-22 16:12:00,10
10269,10268,10268,10268,4065,47,276,47,47,262,14,47,4065,238,238,238,47,47,47,276,27,27,14,3,3,0,3,3,3,2,2,2,2023-11-22 16:14:00,2
