parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,timestamp,unknown,timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8.1","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} [1m]) * 100",target_metric
2125,2124,2124,2124,0,92,252,92,92,217,35,92,0,117,117,111,92,92,92,252,29,29,35,5,5,5,5,5,5,2,2,2,2023-11-22 11:20:00,401,1700643000,252.1484375,4166216.533333333,3918875.7333333325,4166216.533333333,8.33905402444038,11.697766603332033,1
2125,2129,2129,2129,0,93,241,93,93,206,35,93,0,116,116,112,93,93,93,241,26,26,35,2,2,3,2,2,2,2,2,2,2023-11-22 11:22:00,405,1700643120,253.57421875,2354405.8666666667,2128666.666666666,2354405.8666666667,13.62601057333652,23.573683383328902,1
2133,2139,2139,2139,7,87,245,87,87,207,38,87,7,117,117,116,87,87,87,245,26,26,38,2,2,0,2,2,2,2,2,2,2023-11-22 11:24:00,419,1700643240,256.06640625,4521616.8,4182206.666666666,4521616.8,16.385316282216486,25.565840426667513,1
2182,2178,2178,2178,0,93,256,93,93,215,41,93,0,128,128,125,93,93,93,256,29,29,41,5,5,3,5,5,5,2,2,2,2023-11-22 11:26:00,439,1700643360,252.51171875,2380972.0,2141912.533333333,2380972.0,17.098237502222116,25.95081061333379,1
2053,2045,2045,2045,0,82,221,82,82,190,31,82,0,111,111,111,82,82,82,221,26,26,31,2,2,0,2,2,2,2,2,2,2023-11-22 11:28:00,406,1700643480,256.82421875,3869685.6,3549154.933333333,3869685.6,16.296263304442014,20.866741993328713,1
2106,2108,2108,2108,0,93,244,93,93,207,37,93,0,113,113,111,93,93,93,244,27,27,37,3,3,1,3,3,3,2,2,2,2023-11-22 11:30:00,405,1700643600,262.92578125,5194784.4522968205,4721836.389092607,5194784.4522968205,17.07034206280523,24.03384377958572,1
2106,2107,2107,2107,0,90,242,90,90,198,44,90,0,111,111,110,90,90,90,242,26,26,44,2,2,1,2,2,2,2,2,2,2023-11-22 11:32:00,401,1700643720,250.734375,5225062.4,4704862.933333334,5225062.4,18.041022079996765,24.767889070002035,1
2037,2034,2034,2034,7,93,242,93,93,196,46,93,7,106,106,105,93,93,93,242,28,28,46,4,4,1,4,4,4,2,2,2,2023-11-22 11:34:00,391,1700643840,250.66015625,5032101.6,4589329.866666666,5032101.6,8.059048579994448,22.89868525999433,1
2051,2069,2069,2069,0,92,229,92,92,189,40,92,0,118,118,117,92,92,92,229,27,27,40,3,3,1,3,3,2,2,2,2,2023-11-22 11:36:00,425,1700643960,267.390625,3862355.466666667,3621021.6,3862355.466666667,13.812639615555074,21.636116166664575,1
2032,2022,2022,2022,0,93,238,93,93,191,47,93,0,115,115,112,93,93,93,238,26,26,47,2,2,3,2,2,2,2,2,2,2023-11-22 11:38:00,392,1700644080,253.3671875,4463433.9635223895,4140036.944416658,4463433.9635223895,13.279236417593253,18.01649676902659,1
2115,2112,2112,2112,0,95,241,95,95,206,35,95,0,112,112,110,95,95,95,241,27,27,35,3,3,2,3,3,2,2,2,2,2023-11-22 11:40:00,399,1700644200,259.3671875,5450161.6,5096693.866666666,5450161.6,15.971329242222257,22.208259330000143,1
2071,2067,2067,2067,0,92,237,92,92,198,39,92,0,109,109,108,92,92,92,237,28,28,39,4,4,1,4,4,4,2,2,2,2023-11-22 11:42:00,394,1700644320,252.03125,4195715.466666667,3663874.1333333324,4195715.466666667,13.7516824755504,20.502400969999144,1
2127,2130,2130,2130,7,93,252,93,93,196,56,93,7,112,112,111,93,93,93,252,26,26,56,2,2,1,2,2,2,2,2,2,2023-11-22 11:44:00,411,1700644440,254.39453125,5043087.466666667,4653020.0,5043087.466666667,17.92856985777487,27.838978649997443,1
2149,2159,2159,2159,0,94,245,94,94,205,40,94,0,120,120,119,94,94,94,245,27,27,40,3,3,1,3,3,3,2,2,2,2023-11-22 11:46:00,430,1700644560,250.97265625,5372713.333333333,4864124.266666667,5372713.333333333,18.742558871106464,14.466886356676696,1
2102,2092,2092,2092,0,91,249,91,91,199,50,91,0,120,120,117,91,91,91,249,28,28,50,4,4,3,4,4,4,2,2,2,2023-11-22 11:48:00,415,1700644680,250.81640625,4671319.801353199,4351618.171516182,4671319.801353199,12.778159490714595,25.284453198010567,1
2123,2123,2123,2123,0,102,246,102,102,202,44,102,0,115,115,114,102,102,102,246,27,27,44,3,3,1,3,3,3,2,2,2,2023-11-22 11:50:00,399,1700644800,254.27734375,5511084.8,5002572.8,5511084.8,14.218769708895707,23.93055106332516,1
2085,2080,2080,2080,0,89,243,89,89,208,35,89,0,110,110,108,89,89,89,243,25,25,35,2,2,1,2,2,2,2,2,2,2023-11-22 11:52:00,397,1700644920,251.58203125,5966551.733333332,5346937.6,5966551.733333332,13.061739811107852,19.20002191000094,1
2120,2122,2122,2122,7,90,234,90,90,203,31,90,7,112,112,111,90,90,90,234,26,26,31,2,2,1,2,2,2,2,2,2,2023-11-22 11:54:00,411,1700645040,251.6640625,4594985.333333333,4316513.6,4594985.333333333,15.607016444450386,27.355209583341395,1
2129,2140,2140,2140,0,94,261,94,94,216,45,94,0,118,118,115,94,94,94,261,29,29,45,5,5,1,5,5,5,2,2,2,2023-11-22 11:56:00,419,1700645160,249.67578125,2829990.4,2585692.0,2829990.4,21.762114086660503,30.444223746659798,1
2138,2131,2131,2131,0,98,233,98,98,192,41,98,0,121,121,120,98,98,98,233,26,26,41,2,2,1,2,2,2,2,2,2,2023-11-22 11:58:00,433,1700645280,252.35546875,4301134.666666667,4055974.1333333324,4301134.666666667,12.590761775556734,24.949958830002288,1
2127,2126,2126,2126,0,94,245,94,94,206,39,94,0,116,116,114,94,94,94,245,26,26,39,2,2,1,2,2,2,2,2,2,2023-11-22 12:00:00,412,1700645400,255.99609375,3267384.266666666,3054003.2,3267384.266666666,14.479612746662395,24.9949841999963,1
1652,1673,1648,1648,0,1150,419,386,387,257,323,220,294,36,36,36,93,69,385,419,32,32,27,4,4,0,4,4,2,2,2,2,2023-11-22 12:02:00,2199,1700645520,251.015625,5307437.866666666,4746724.8,5307437.866666666,13.782840119998177,20.107815733329822,1
1982,1985,1985,1985,0,2549,1741,1319,1318,881,1713,634,1319,0,0,0,0,0,1268,1741,29,29,9,5,5,0,5,5,5,2,2,2,2023-11-22 12:04:00,4689,1700645640,259.69921875,2824402.666666666,2543397.6,2824402.666666666,12.253884875559983,20.70788250000381,1
790,792,792,792,0,3411,372,1220,1221,192,346,417,1220,0,0,0,0,0,833,372,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 12:06:00,3437,1700645760,256.8359375,4252633.544514839,3860659.1530510182,4252633.544514839,13.940101384907114,18.32809701567498,1
402,401,401,401,0,2627,49,751,750,26,23,265,751,0,0,0,0,0,531,49,26,26,23,2,2,0,2,2,2,2,2,2,2023-11-22 12:08:00,2878,1700645880,255.69921875,3483331.422094806,3315296.219747984,3483331.422094806,8.837686425762175,23.19376449762525,1
171,172,172,172,0,393,43,295,295,27,16,148,295,2,2,0,0,0,295,43,27,27,16,3,3,2,3,3,2,2,2,2,2023-11-22 12:10:00,299,1700646000,251.1171875,5319630.933333334,4961490.933333334,5319630.933333334,11.43700208888428,10.682464169998033,1
18,18,18,18,0,0,46,0,0,29,17,0,0,0,0,0,0,0,0,46,29,29,17,5,5,0,5,5,4,2,2,2,2023-11-22 12:12:00,3,1700646120,259.5546875,4952549.121578825,4286911.09110911,4952549.121578825,20.96525650120709,18.729239167245737,1
25,25,25,25,0,0,50,0,0,26,24,0,0,1,1,1,0,0,0,50,26,26,24,2,2,0,2,2,2,2,2,2,2023-11-22 12:14:00,0,1700646240,249.6640625,4356248.533333333,3934583.466666667,4356248.533333333,15.208467375551765,25.581773220001196,1
12,12,12,12,0,0,38,0,0,27,11,0,0,0,0,0,0,0,0,38,27,27,11,3,3,0,3,3,3,2,2,2,2023-11-22 12:16:00,2,1700646360,249.6015625,4930469.066666666,4537695.2,4930469.066666666,16.32025196221851,25.891924280003877,1
22,22,22,22,0,0,46,0,0,26,20,0,0,1,1,0,0,0,0,46,26,26,20,2,2,0,2,2,2,2,2,2,2023-11-22 12:18:00,3,1700646480,262.5,5187512.0,4801395.2,5187512.0,14.398490497777756,26.70146663665946,1
10,10,10,10,0,0,39,0,0,29,10,0,0,0,0,0,0,0,0,39,29,29,10,5,5,0,5,5,5,2,2,2,2023-11-22 12:20:00,0,1700646600,251.2109375,1939850.666666667,1819884.2666666661,1939850.666666667,15.703541331111207,25.796173206666328,1
14,14,14,14,0,0,41,0,0,27,14,0,0,0,0,0,0,0,0,41,27,27,14,3,3,0,3,3,3,2,2,2,2023-11-22 12:22:00,0,1700646720,256.9453125,5101890.133333334,4611177.333333333,5101890.133333334,14.371546677777786,11.967746990000403,1
17,17,17,17,0,0,42,0,0,26,16,0,0,1,1,0,0,0,0,42,26,26,16,2,2,1,2,2,2,2,2,2,2023-11-22 12:24:00,0,1700646840,254.89453125,4931780.266666667,4443035.2,4931780.266666667,19.169474624440127,20.78715632333721,1
17,17,17,17,0,0,43,0,0,27,16,0,0,1,1,0,0,0,0,43,27,27,16,3,3,1,3,3,3,2,2,2,2023-11-22 12:26:00,0,1700646960,259.20703125,5346641.866666666,4961422.933333334,5346641.866666666,15.571185897772214,22.331263826660386,1
26,26,26,26,0,0,66,0,0,40,26,0,0,0,0,0,0,0,0,66,40,40,26,8,8,0,8,8,8,3,3,3,2023-11-22 12:28:00,0,1700647080,255.8203125,4463624.8,4083694.4,4463624.8,9.7458303177781,26.66912284999853,1
25,25,25,25,0,0,48,0,0,26,22,0,0,2,2,0,0,0,0,48,26,26,22,2,2,2,2,2,2,2,2,2,2023-11-22 12:30:00,2,1700647200,271.34375,4296733.6,3916333.333333334,4296733.6,18.91161749111133,18.82853772000089,1
16,16,16,16,0,0,43,0,0,27,16,0,0,0,0,0,0,0,0,43,27,27,16,3,3,0,3,3,2,2,2,2,2023-11-22 12:32:00,1,1700647320,268.671875,4568269.6,4067792.8,4568269.6,23.02743176222268,19.68014239000089,1
29,29,29,29,0,0,55,0,0,28,27,0,0,2,2,0,0,0,0,55,28,28,27,4,4,2,4,4,4,2,2,2,2023-11-22 12:34:00,0,1700647440,255.83203125,6144951.308115315,5644413.131144809,6144951.308115315,13.809960333283179,30.997082529582805,1
14,14,14,14,0,0,41,0,0,27,14,0,0,0,0,0,0,0,0,41,27,27,14,3,3,0,3,3,2,2,2,2,2023-11-22 12:36:00,1,1700647560,248.77734375,4015262.354626945,3557001.432903462,4015262.354626945,15.426189565352983,20.784988723381776,1
16,16,16,16,0,0,41,0,0,26,15,0,0,0,0,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 12:38:00,2,1700647680,259.140625,4849237.0446895715,4353317.559236178,4849237.0446895715,15.666951662387705,21.11511306362,1
15,15,15,15,0,0,41,0,0,27,14,0,0,1,1,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 12:40:00,0,1700647800,247.59375,4555216.0,4153983.7333333325,4555216.0,14.716565108893619,23.73957153333322,1
20,20,20,20,0,0,49,0,0,29,20,0,0,0,0,0,0,0,0,49,29,29,20,5,5,0,5,5,5,2,2,2,2023-11-22 12:42:00,0,1700647920,245.8984375,3766948.0,3309042.1333333333,3766948.0,16.120238531107642,30.430017363335843,1
19,19,19,19,0,0,42,0,0,26,16,0,0,3,3,0,0,0,0,42,26,26,16,2,2,2,2,2,2,2,2,2,2023-11-22 12:44:00,1,1700648040,248.2109375,4461246.4,4080215.2,4461246.4,17.037178286668173,24.43238926999281,1
16,16,16,16,0,0,41,0,0,27,14,0,0,2,2,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 12:46:00,1,1700648160,256.125,4247385.6,3843398.1333333324,4247385.6,13.382051637777801,25.499857923338517,1
25,25,25,25,0,0,51,0,0,26,25,0,0,0,0,0,0,0,0,51,26,26,25,2,2,0,2,2,2,2,2,2,2023-11-22 12:48:00,0,1700648280,249.140625,4655290.133333334,4280018.133333334,4655290.133333334,8.684747366666366,24.79698064666688,1
16,16,16,16,0,0,45,0,0,29,16,0,0,0,0,0,0,0,0,45,29,29,16,5,5,0,5,5,5,2,2,2,2023-11-22 12:50:00,0,1700648400,252.96484375,3956970.7235745257,3804458.819606536,3956970.7235745257,17.826614873852943,21.855440626877503,1
15,15,15,15,0,0,41,0,0,27,14,0,0,1,1,0,0,0,0,41,27,27,14,3,3,1,3,3,3,2,2,2,2023-11-22 12:52:00,0,1700648520,259.703125,5432957.333333333,4872860.0,5432957.333333333,16.693701813330538,18.914616933337435,1
12,12,12,12,0,0,38,0,0,26,12,0,0,0,0,0,0,0,0,38,26,26,12,2,2,0,2,2,2,2,2,2,2023-11-22 12:54:00,0,1700648640,245.890625,2571845.8666666667,2493189.6,2571845.8666666667,14.486647468883247,32.28461670000494,1
17,17,17,17,0,0,46,0,0,29,17,0,0,0,0,0,0,0,0,46,29,29,17,5,5,0,5,5,4,2,2,2,2023-11-22 12:56:00,1,1700648760,247.79296875,5847070.666666668,5423685.6,5847070.666666668,21.68539520889075,29.89759959000366,1
15,16,15,15,0,0,41,0,0,26,15,0,0,0,0,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 12:58:00,0,1700648880,247.6328125,3827249.866666666,3656244.266666666,3827249.866666666,17.79689302000205,32.99903925665906,1
18,18,18,18,0,0,43,0,0,27,16,0,0,2,2,0,0,0,0,43,27,27,16,3,3,2,3,3,2,2,2,2,2023-11-22 13:00:00,1,1700649000,247.2109375,5118978.4,4840944.266666667,5118978.4,16.701208879999793,21.337577843332838,1
18,18,18,18,0,0,41,0,0,26,15,0,0,1,1,0,0,0,0,41,26,26,15,2,2,1,2,2,2,2,2,2,2023-11-22 13:02:00,3,1700649120,245.70703125,4553640.0,4083061.066666667,4553640.0,17.176041888887994,30.612988016667565,1
9,10,9,9,0,0,37,0,0,29,8,0,0,1,1,0,0,0,0,37,29,29,8,5,5,0,5,5,5,2,2,2,2023-11-22 13:04:00,1,1700649240,247.53125,3709676.8,3421099.466666667,3709676.8,16.582957173329007,28.65814105999258,1
12,12,12,12,0,0,39,0,0,27,12,0,0,0,0,0,0,0,0,39,27,27,12,3,3,0,3,3,3,2,2,2,2023-11-22 13:06:00,0,1700649360,244.5390625,2826171.3219118724,2521335.377641491,2826171.3219118724,16.062740959496765,21.725175768286576,1
13,13,13,13,0,0,39,0,0,26,13,0,0,0,0,0,0,0,0,39,26,26,13,2,2,0,2,2,2,2,2,2,2023-11-22 13:08:00,0,1700649480,253.33203125,6854817.333333332,6424341.333333332,6854817.333333332,15.209943844448487,23.230592373329273,1
14,14,14,14,0,0,42,0,0,29,13,0,0,1,1,0,0,0,0,42,29,29,13,5,5,1,5,5,5,2,2,2,2023-11-22 13:10:00,0,1700649600,265.265625,4508446.133333334,4112721.066666667,4508446.133333334,15.673578497775855,25.257818500006884,1
23,23,23,23,0,0,102,0,0,28,74,0,0,0,0,0,0,0,0,102,28,28,23,4,4,0,3,3,3,2,2,2,2023-11-22 13:12:00,52,1700649720,266.61328125,4055193.6785249887,3664137.63211416,4055193.6785249887,18.43962092932892,22.93896168105621,1
23,23,23,23,0,0,49,0,0,26,23,0,0,0,0,0,0,0,0,49,26,26,23,2,2,0,2,2,2,2,2,2,2023-11-22 13:14:00,0,1700649840,246.34765625,4143853.6,3763640.0,4143853.6,13.812047619996722,21.348339523331862,1
22,22,22,22,0,0,49,0,0,27,22,0,0,0,0,0,0,0,0,49,27,27,22,3,3,0,3,3,3,2,2,2,2023-11-22 13:16:00,0,1700649960,269.29296875,4637790.933333334,4242493.866666666,4637790.933333334,13.919683402224715,14.241343823341596,1
25,25,25,25,0,0,51,0,0,28,23,0,0,2,2,0,0,0,0,51,28,28,23,4,4,1,4,4,4,2,2,2,2023-11-22 13:18:00,1,1700650080,262.3671875,4559242.133333334,4204350.933333334,4559242.133333334,8.63387561333689,21.41936592333271,1
25,25,25,25,0,0,151,0,0,27,124,0,0,1,1,0,0,0,0,151,27,27,124,3,3,1,3,3,2,2,2,2,2023-11-22 13:20:00,1,1700650200,258.03125,6135413.333333332,5660481.333333332,6135413.333333332,16.617410222218798,22.63947073999589,1
15,15,15,15,0,0,40,0,0,26,14,0,0,1,1,0,0,0,0,40,26,26,14,2,2,0,2,2,2,2,2,2,2023-11-22 13:22:00,1,1700650320,254.328125,5360023.733333333,4742142.133333334,5360023.733333333,14.403804260000472,26.634232206658147,1
19,19,19,19,0,0,44,0,0,27,17,0,0,2,2,0,0,0,0,44,27,27,17,3,3,1,3,3,2,2,2,2,2023-11-22 13:24:00,2,1700650440,257.9140625,4809282.4,4472172.0,4809282.4,12.421049082218412,18.505786036669935,1
22,22,22,22,0,0,51,0,0,29,22,0,0,0,0,0,0,0,0,51,29,29,22,5,5,0,5,5,5,2,2,2,2023-11-22 13:26:00,0,1700650560,251.6640625,2511954.933333333,2447853.6,2511954.933333333,18.565126844445736,13.793660430007243,1
21,21,21,21,0,0,46,0,0,26,20,0,0,1,1,1,0,0,0,46,26,26,20,2,2,0,2,2,2,2,2,2,2023-11-22 13:28:00,0,1700650680,249.7734375,5117414.666666667,4811834.4,5117414.666666667,8.81207856000401,24.89316808333873,1
23,23,23,23,0,0,50,0,0,27,23,0,0,0,0,0,0,0,0,50,27,27,23,3,3,0,3,3,3,2,2,2,2023-11-22 13:30:00,0,1700650800,252.859375,1918170.4,1846720.0,1918170.4,18.457767364444507,22.70589447999858,1
13,13,13,13,0,0,42,0,0,29,13,0,0,0,0,0,0,0,0,42,29,29,13,5,5,0,5,5,5,2,2,2,2023-11-22 13:32:00,0,1700650920,248.4375,4919011.466666667,4492428.8,4919011.466666667,17.5793027422171,19.78168852332601,1
22,22,22,22,0,0,45,0,0,26,19,0,0,2,2,1,0,0,0,45,26,26,19,2,2,1,2,2,2,2,2,2,2023-11-22 13:34:00,2,1700651040,250.1171875,4687746.4,4239190.4,4687746.4,14.675154882222865,31.952139150004463,1
16,16,16,16,0,0,42,0,0,27,15,0,0,1,1,0,0,0,0,42,27,27,15,3,3,1,3,3,3,2,2,2,2023-11-22 13:36:00,0,1700651160,250.5390625,4193065.6,3862778.666666666,4193065.6,15.283599744442553,27.021964949999532,1
23,23,23,23,0,0,48,0,0,26,22,0,0,1,1,0,0,0,0,48,26,26,22,2,2,0,2,2,2,2,2,2,2023-11-22 13:38:00,1,1700651280,249.3828125,4246831.466666667,3880531.7333333325,4246831.466666667,16.947965022223393,23.407181426664465,1
16,16,16,16,0,0,45,0,0,29,16,0,0,0,0,0,0,0,0,45,29,29,16,5,5,0,5,5,5,2,2,2,2023-11-22 13:40:00,0,1700651400,254.6015625,4723134.4,4507640.0,4723134.4,14.486351771112012,19.561062503332018,1
15,15,15,15,0,0,41,0,0,26,15,0,0,0,0,0,0,0,0,41,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 13:42:00,0,1700651520,254.07421875,4812554.666666667,4142450.4,4812554.666666667,15.215743582221975,24.20365962666741,1
21,21,21,21,0,0,48,0,0,27,21,0,0,0,0,0,0,0,0,48,27,27,21,3,3,0,3,3,2,2,2,2,2023-11-22 13:44:00,1,1700651640,257.84765625,3461033.6,3297229.066666667,3461033.6,14.716662786668167,21.525064650001394,1
24,24,24,24,0,0,51,0,0,27,24,0,0,0,0,0,0,0,0,51,27,27,24,3,3,0,3,3,2,2,2,2,2023-11-22 13:46:00,1,1700651760,258.3671875,5074002.4,4637722.133333334,5074002.4,13.614339593332259,18.96051555000061,1
