request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,"CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>，cardNo:<:NUM:> <:resp:>,timestamp,unknown
1293,1293,67,65,23,23,23,23,19,19,19,19,5,3,1,12,12,0,1,0,2023-11-09 12:19:16,0
1300,1300,126,439,19,329,330,328,76,76,76,75,316,66,78,12,12,51,11,2,2023-11-09 12:21:16,8
1295,1295,110,425,17,325,325,325,74,74,74,74,314,64,71,12,12,47,12,3,2023-11-09 12:23:16,2
1269,1269,569,691,426,150,149,149,114,114,114,115,43,21,10,12,12,7,1,1,2023-11-09 12:25:16,6
1296,1296,745,842,612,115,115,115,115,115,115,115,0,11,0,12,12,0,0,0,2023-11-09 12:27:16,0
1296,1296,720,806,594,106,106,106,106,106,106,106,0,14,0,12,12,0,0,0,2023-11-09 12:29:16,0
1296,1296,726,815,604,103,103,103,103,103,103,103,0,16,4,12,12,0,0,0,2023-11-09 12:31:16,8
1294,1294,631,708,518,95,95,95,95,95,95,95,0,9,0,12,12,0,0,0,2023-11-09 12:33:16,0
1269,1269,53,47,19,12,12,12,12,12,12,12,0,1,4,12,12,0,0,0,2023-11-09 12:35:16,8
1296,1296,43,47,15,16,16,16,16,16,16,16,0,0,0,12,12,0,0,0,2023-11-09 12:37:16,0
1296,1296,108,313,22,222,223,222,62,62,62,61,201,45,47,12,12,29,9,2,2023-11-09 12:39:16,1
1296,1296,152,489,35,352,352,352,91,91,91,91,326,70,76,12,12,51,14,0,2023-11-09 12:41:16,1
1291,1291,446,641,317,224,223,224,89,89,89,90,168,41,44,12,12,25,5,4,2023-11-09 12:43:16,9
1264,1264,691,773,567,103,103,103,103,103,103,103,0,12,0,12,12,0,0,0,2023-11-09 12:45:16,0
1295,1295,692,764,572,96,96,96,96,96,96,96,0,16,0,12,12,0,0,0,2023-11-09 12:47:16,0
1295,1295,606,691,481,105,105,105,105,105,105,105,0,8,0,12,12,0,0,0,2023-11-09 12:49:16,0
1296,1296,761,860,639,110,110,110,110,110,110,110,0,11,0,12,12,0,0,0,2023-11-09 12:51:16,0
1264,1264,424,497,334,83,83,83,79,79,79,79,5,11,1,12,12,0,1,0,2023-11-09 12:53:16,0
1300,1300,55,52,17,19,20,19,16,16,16,15,5,4,1,12,12,0,0,1,2023-11-09 12:55:16,0
1296,1296,69,68,27,21,20,21,20,20,20,21,0,4,0,12,12,0,0,0,2023-11-09 12:57:16,0
1296,1296,136,387,19,286,287,286,70,70,70,69,271,56,66,12,12,45,7,2,2023-11-09 12:59:16,1
1296,1296,147,486,25,355,355,355,96,96,96,96,323,67,74,12,12,50,14,1,2023-11-09 13:01:16,1
1271,1271,533,666,397,164,163,164,99,99,99,100,81,29,23,12,12,10,3,3,2023-11-09 13:03:16,9
1297,1297,633,723,480,121,121,121,121,121,121,121,0,15,0,12,12,0,0,0,2023-11-09 13:05:16,0
1288,1288,629,746,489,135,135,135,122,122,122,122,16,19,3,12,12,1,3,0,2023-11-09 13:07:16,0
1303,1303,624,719,481,119,119,119,119,119,119,119,0,20,0,12,12,0,0,0,2023-11-09 13:09:16,0
1264,1264,762,847,631,109,109,109,107,107,107,107,2,10,0,12,12,2,0,0,2023-11-09 13:11:16,0
1293,1293,227,258,154,52,52,52,52,52,52,52,0,7,0,12,12,0,0,0,2023-11-09 13:13:16,0
1287,1287,59,57,32,12,12,12,12,12,12,12,0,2,0,12,12,0,0,0,2023-11-09 13:15:16,0
1304,1304,83,140,26,81,82,81,30,30,30,29,65,17,16,12,12,10,2,1,2023-11-09 13:17:16,0
1294,1294,138,452,22,334,334,334,77,77,77,77,321,64,82,12,12,51,12,1,2023-11-09 13:19:16,8
1260,1260,189,487,88,312,311,312,80,80,80,81,289,60,65,12,12,45,9,4,2023-11-09 13:21:16,1
1292,1292,707,787,595,96,96,96,96,96,96,96,0,11,0,12,12,0,0,0,2023-11-09 13:23:16,0
1299,1299,581,690,450,120,120,120,120,120,120,120,0,17,0,12,12,0,0,0,2023-11-09 13:25:16,0
1295,1295,678,778,551,115,115,115,111,111,111,111,5,17,1,12,12,0,0,1,2023-11-09 13:27:16,0
1266,1266,661,764,514,127,127,127,123,123,123,123,5,11,1,12,12,0,1,0,2023-11-09 13:29:16,0
1295,1295,656,743,527,108,108,108,108,108,108,108,0,10,0,12,12,0,0,0,2023-11-09 13:31:16,0
1295,1295,638,733,517,110,110,110,106,106,106,106,5,12,1,12,12,1,0,0,2023-11-09 13:33:16,0
1295,1295,154,169,103,32,32,32,32,32,32,32,0,2,0,12,12,0,0,0,2023-11-09 13:35:16,0
1295,1295,406,408,350,30,30,30,26,26,26,26,5,4,1,12,12,0,1,0,2023-11-09 13:37:16,0
1267,1267,112,213,38,128,129,128,41,41,41,40,110,26,28,12,12,18,2,2,2023-11-09 13:39:16,0
1286,1286,151,478,36,342,341,342,89,89,89,90,315,68,74,12,12,50,13,0,2023-11-09 13:41:16,1
1304,1304,287,569,166,294,294,293,94,94,94,94,249,58,65,12,12,37,9,4,2023-11-09 13:43:16,22
1285,1285,626,714,499,109,109,109,105,105,105,105,5,14,1,12,12,0,1,0,2023-11-09 13:45:16,0
1305,1305,749,833,614,109,109,109,109,109,109,109,0,14,0,12,12,0,0,0,2023-11-09 13:47:16,0
1264,1264,725,820,556,136,136,134,124,124,124,124,13,20,7,12,12,0,3,0,2023-11-09 13:49:16,20
1297,1297,669,741,531,105,105,105,105,105,105,105,0,19,0,12,12,0,0,0,2023-11-09 13:51:16,0
1295,1295,580,651,455,100,100,100,96,96,96,96,5,14,1,12,12,0,1,0,2023-11-09 13:53:16,0
1296,1296,73,58,27,13,13,13,13,13,13,13,0,5,3,12,12,0,0,0,2023-11-09 13:55:16,2
1294,1294,88,74,36,18,20,18,20,20,20,18,0,4,0,12,12,0,0,0,2023-11-09 13:57:16,0
1263,1263,129,365,26,265,263,265,63,63,63,65,250,53,60,12,12,42,6,2,2023-11-09 13:59:16,0
1297,1297,153,481,51,338,339,338,82,82,82,81,321,65,74,12,12,48,16,0,2023-11-09 14:01:16,1
1294,1294,755,927,583,216,215,216,120,120,120,121,119,35,32,12,12,18,2,4,2023-11-09 14:03:16,8
1295,1295,647,731,469,132,132,132,120,120,120,120,15,15,12,12,12,0,1,2,2023-11-09 14:05:16,18
1296,1296,681,783,535,126,126,126,122,122,122,122,5,18,1,12,12,0,1,0,2023-11-09 14:07:16,0
1278,1278,707,812,567,125,125,125,119,119,119,119,7,19,1,12,12,3,0,0,2023-11-09 14:09:16,0
1295,1295,643,748,481,139,139,139,127,127,127,127,15,25,3,12,12,0,3,0,2023-11-09 14:11:16,1
1293,1293,725,792,568,110,111,110,111,111,111,110,0,17,0,12,12,0,0,0,2023-11-09 14:13:16,0
1296,1296,385,430,289,73,72,73,68,68,68,69,5,7,1,12,12,0,1,0,2023-11-09 14:15:16,0
1296,1296,83,91,33,33,33,33,21,21,21,21,15,7,7,12,12,0,3,0,2023-11-09 14:17:16,8
1264,1264,96,140,36,70,72,70,30,32,32,30,50,12,11,12,12,7,2,1,2023-11-09 14:19:16,2
1297,1297,193,524,46,362,361,361,101,101,101,102,323,69,79,12,12,51,11,3,2023-11-09 14:21:16,5
1293,1293,145,463,38,333,332,333,84,84,84,85,311,65,71,12,12,48,10,4,2023-11-09 14:23:16,1
1295,1295,695,781,547,117,117,117,117,117,117,117,0,16,0,12,12,0,0,0,2023-11-09 14:25:16,0
1269,1269,677,777,541,118,118,118,118,118,118,118,0,10,0,12,12,0,0,0,2023-11-09 14:27:16,0
1296,1296,713,803,565,117,117,117,117,117,117,117,0,8,4,12,12,0,0,0,2023-11-09 14:29:16,8
1294,1294,647,744,502,119,119,119,118,118,118,118,1,16,4,12,12,1,0,0,2023-11-09 14:31:16,8
1291,1291,627,728,496,116,116,116,116,116,116,116,0,12,0,12,12,0,0,0,2023-11-09 14:33:16,0
1271,1271,375,435,285,81,81,81,65,65,65,65,20,14,8,12,12,2,2,0,2023-11-09 14:35:16,8
1296,1296,83,68,32,18,18,18,18,18,18,18,0,4,0,12,12,0,0,0,2023-11-09 14:37:16,0
1295,1295,64,81,24,30,31,30,27,27,27,26,5,3,1,12,12,1,0,0,2023-11-09 14:39:16,0
1285,1285,197,526,59,354,353,353,97,97,97,98,319,68,79,12,12,52,10,2,2023-11-09 14:41:16,5
1274,1274,163,488,35,351,352,351,94,94,94,93,322,69,72,12,12,49,12,4,2023-11-09 14:43:16,1
1298,1298,638,752,500,135,134,135,116,116,116,117,23,15,6,12,12,3,1,0,2023-11-09 14:45:16,1
1294,1294,609,694,461,116,116,116,116,116,116,116,0,13,0,12,12,0,0,0,2023-11-09 14:47:16,0
1295,1295,653,755,506,124,124,124,124,124,124,124,0,25,0,12,12,0,0,0,2023-11-09 14:49:16,0
1296,1296,678,784,526,129,129,129,129,129,129,129,0,18,0,12,12,0,0,0,2023-11-09 14:51:16,0
1264,1264,641,742,508,117,117,117,116,116,116,116,1,14,0,12,12,1,0,0,2023-11-09 14:53:16,0
1297,1297,545,599,441,79,79,79,79,79,79,79,0,10,0,12,12,0,0,0,2023-11-09 14:55:16,0
1295,1295,101,94,44,25,25,25,25,25,25,25,0,8,0,12,12,0,0,0,2023-11-09 14:57:16,0
1296,1296,93,87,47,20,20,20,20,20,20,20,0,3,0,12,12,0,0,0,2023-11-09 14:59:16,0
1296,1296,168,418,47,281,282,281,78,78,78,77,255,55,62,12,12,43,5,3,2023-11-09 15:01:16,0
1267,1267,145,473,27,350,350,350,84,84,84,84,332,68,77,12,12,50,16,0,2023-11-09 15:03:16,1
1296,1296,470,640,329,198,197,198,110,110,110,111,109,32,24,12,12,16,2,5,2023-11-09 15:05:16,0
1292,1292,647,731,513,105,105,105,105,105,105,105,0,14,8,12,12,0,0,0,2023-11-09 15:07:16,16
1300,1300,676,751,525,111,111,111,111,111,111,111,0,17,4,12,12,0,0,0,2023-11-09 15:09:16,8
1297,1297,717,815,571,124,124,124,120,120,120,120,5,20,1,12,12,0,1,0,2023-11-09 15:11:16,0
1292,1292,682,787,549,118,119,118,119,119,119,118,0,16,0,12,12,0,0,0,2023-11-09 15:13:16,0
1266,1266,656,749,524,110,110,110,110,110,110,110,0,10,4,12,12,0,0,0,2023-11-09 15:15:16,8
1295,1295,586,634,435,95,94,95,90,90,90,91,5,12,13,12,12,0,1,0,2023-11-09 15:17:16,24
1296,1296,94,92,37,27,27,27,27,27,27,27,0,1,0,12,12,0,0,0,2023-11-09 15:19:16,0
1297,1297,62,59,24,19,19,19,15,15,15,15,5,2,1,12,12,1,0,0,2023-11-09 15:21:16,0
1264,1264,162,389,44,253,254,253,68,68,68,67,232,49,68,12,12,40,5,2,2023-11-09 15:23:16,25
1295,1295,157,494,32,355,355,355,97,97,97,97,323,70,75,12,12,48,16,0,2023-11-09 15:25:16,1
1296,1296,523,721,372,223,222,223,122,122,122,123,125,35,29,12,12,19,2,4,2023-11-09 15:27:16,0
1296,1296,732,843,569,135,135,135,135,135,135,135,0,14,4,12,12,0,0,0,2023-11-09 15:29:16,8
1266,1266,751,867,567,160,160,160,136,136,136,136,30,22,10,12,12,6,0,0,2023-11-09 15:31:16,8
1295,1295,712,782,552,114,114,114,113,113,113,113,1,20,0,12,12,1,0,0,2023-11-09 15:33:16,0
1295,1295,687,777,521,126,126,126,122,122,122,122,5,19,9,12,12,1,0,0,2023-11-09 15:35:16,16
1296,1296,458,509,360,73,73,73,72,72,72,72,1,9,4,12,12,1,0,0,2023-11-09 15:37:16,8
1296,1296,71,59,18,16,16,16,12,12,12,12,5,2,13,12,12,0,1,0,2023-11-09 15:39:16,24
1269,1269,95,94,42,26,26,26,22,22,22,22,5,4,5,12,12,0,1,0,2023-11-09 15:41:16,8
1293,1293,252,579,82,350,351,350,135,135,135,134,269,61,65,12,12,45,7,2,2023-11-09 15:43:16,0
1297,1297,185,512,45,354,354,354,98,98,98,98,321,69,79,12,12,48,15,1,2023-11-09 15:45:16,8
1295,1295,547,704,387,196,196,196,119,119,119,119,96,32,21,12,12,14,3,3,2023-11-09 15:47:16,1
1271,1271,660,732,493,122,121,122,116,116,116,117,6,17,1,12,12,1,1,0,2023-11-09 15:49:16,0
1294,1294,717,834,547,142,142,142,134,134,134,134,10,19,10,12,12,2,0,0,2023-11-09 15:51:16,12
1296,1296,696,784,571,106,106,106,106,106,106,106,0,8,0,12,12,0,0,0,2023-11-09 15:53:16,0
1296,1296,680,778,538,121,122,121,114,114,114,113,10,15,6,12,12,0,2,0,2023-11-09 15:55:16,8
1267,1267,698,808,551,129,128,129,127,127,127,128,1,17,0,12,12,1,0,0,2023-11-09 15:57:16,0
1295,1295,712,808,568,118,118,118,114,114,114,114,5,9,9,12,12,0,0,1,2023-11-09 15:59:16,16
1295,1295,108,140,54,49,49,49,37,37,37,37,15,9,3,12,12,0,3,0,2023-11-09 16:01:16,0
1296,1296,143,183,69,59,60,59,48,48,48,47,15,6,8,12,12,2,1,0,2023-11-09 16:03:16,10
1295,1295,128,306,38,199,199,198,57,57,57,57,176,38,46,12,12,27,7,2,2023-11-09 16:05:16,14
1268,1268,171,479,47,337,336,337,84,84,84,84,316,65,74,12,12,51,12,0,2023-11-09 16:07:16,2
1295,1295,418,623,256,249,249,249,99,99,99,100,187,43,57,12,12,27,6,4,2023-11-09 16:09:16,26
1294,1294,753,821,573,104,104,104,104,104,104,104,0,8,40,12,12,0,0,0,2023-11-09 16:11:16,80
1295,1295,772,836,595,120,121,120,121,121,121,120,0,19,0,12,12,0,0,0,2023-11-09 16:13:16,0
1270,1270,777,849,607,119,118,119,114,114,114,115,5,13,9,12,12,0,1,0,2023-11-09 16:15:16,16
1295,1295,714,787,550,117,117,117,116,116,116,116,1,11,4,12,12,1,0,0,2023-11-09 16:17:16,8
1296,1296,863,968,677,145,146,145,146,146,146,145,0,17,0,12,12,0,0,0,2023-11-09 16:19:16,0
1284,1284,598,654,466,97,96,97,91,91,91,92,6,11,1,12,12,1,1,0,2023-11-09 16:21:16,0
1306,1306,117,89,41,24,24,24,24,24,24,24,0,3,0,12,12,0,0,0,2023-11-09 16:23:16,0
1269,1269,87,94,45,24,24,24,24,24,24,24,0,3,0,12,12,0,0,0,2023-11-09 16:25:16,0
1296,1296,176,425,39,290,291,289,84,84,84,83,257,56,62,12,12,43,5,4,2023-11-09 16:27:16,8
1296,1296,173,498,38,357,357,357,94,94,94,94,329,68,75,12,12,46,19,0,2023-11-09 16:29:16,1
1297,1297,581,751,434,200,199,200,105,105,105,106,118,35,36,12,12,17,3,4,2023-11-09 16:31:16,17
1262,1262,692,770,539,99,99,99,99,99,99,99,0,20,32,12,12,0,0,0,2023-11-09 16:33:16,64
1296,1296,656,758,511,126,127,126,115,115,115,114,15,20,7,12,12,0,3,0,2023-11-09 16:35:16,8
1296,1296,663,743,522,112,111,112,107,107,107,108,5,7,1,12,12,0,1,0,2023-11-09 16:37:16,0
1296,1296,680,743,523,108,108,108,108,108,108,108,0,14,3,12,12,0,0,0,2023-11-09 16:39:16,2
1270,1270,688,804,547,130,130,130,126,126,126,126,5,16,1,12,12,0,1,0,2023-11-09 16:41:16,0
1295,1295,763,893,601,160,160,160,132,132,132,132,35,23,7,12,12,3,4,0,2023-11-09 16:43:16,0
1296,1296,483,553,344,100,100,100,92,92,92,92,10,15,18,12,12,0,0,2,2023-11-09 16:45:16,32
1294,1294,113,100,45,29,29,29,25,25,25,25,5,5,1,12,12,1,0,0,2023-11-09 16:47:16,0
1296,1296,115,111,35,37,38,37,34,34,34,33,5,5,5,12,12,0,1,0,2023-11-09 16:49:16,8
1270,1270,185,390,30,278,278,278,66,66,66,66,265,56,69,12,12,44,7,2,2023-11-09 16:51:16,9
1295,1295,182,480,28,351,351,351,87,87,87,87,330,68,80,12,12,50,15,1,2023-11-09 16:53:16,10
1295,1295,560,692,388,189,188,189,112,112,112,113,95,31,21,12,12,13,3,3,2023-11-09 16:55:16,1
1296,1296,703,754,542,106,106,106,106,106,106,106,0,10,0,12,12,0,0,0,2023-11-09 16:57:16,0
1265,1265,720,790,532,123,123,123,122,122,122,122,1,13,12,12,12,1,0,0,2023-11-09 16:59:16,24
1297,1297,792,876,656,108,108,108,108,108,108,108,0,10,4,12,12,0,0,0,2023-11-09 17:01:16,8
1293,1293,674,733,525,102,102,102,102,102,102,102,0,15,4,12,12,0,0,0,2023-11-09 17:03:16,8
1296,1296,979,1081,760,159,159,158,158,158,158,158,0,16,4,12,12,0,0,0,2023-11-09 17:05:16,12
1268,1268,789,858,634,112,112,112,111,111,111,111,1,15,0,12,12,1,0,0,2023-11-09 17:07:16,0
1295,1295,112,101,46,33,33,33,21,21,21,21,15,8,3,12,12,0,3,0,2023-11-09 17:09:16,0
1295,1295,173,194,80,53,53,53,53,53,53,53,0,6,8,12,12,0,0,0,2023-11-09 17:11:16,16
1294,1294,154,323,35,210,211,210,63,63,63,62,184,41,51,12,12,27,8,2,2023-11-09 17:13:16,18
1289,1289,172,461,36,337,338,337,78,78,78,77,325,68,75,12,12,50,16,0,2023-11-09 17:15:16,2
1269,1269,395,637,236,271,270,271,102,102,102,103,211,50,70,12,12,30,7,4,2023-11-09 17:17:16,41
1295,1295,734,768,551,109,108,109,104,104,104,105,5,11,5,12,12,0,1,0,2023-11-09 17:19:16,8
1297,1297,871,966,702,134,134,134,130,130,130,130,5,14,1,12,12,1,0,0,2023-11-09 17:21:16,0
1295,1295,726,798,588,105,105,105,105,105,105,105,0,11,0,12,12,0,0,0,2023-11-09 17:23:16,0
1294,1294,717,789,554,118,118,118,113,113,113,113,6,14,5,12,12,2,0,0,2023-11-09 17:25:16,8
1265,1265,735,796,586,105,105,105,105,105,105,105,0,12,0,12,12,0,0,0,2023-11-09 17:27:16,0
1296,1296,843,908,667,112,112,112,112,112,112,112,0,19,16,12,12,0,0,0,2023-11-09 17:29:16,32
1297,1297,256,299,135,86,86,86,74,74,74,74,15,11,7,12,12,0,3,0,2023-11-09 17:31:16,8
1295,1295,71,63,24,23,24,23,16,16,16,15,10,2,2,12,12,0,2,0,2023-11-09 17:33:16,0
1268,1268,143,278,48,172,172,172,51,51,51,51,151,32,37,12,12,24,4,2,2023-11-09 17:35:16,0
1296,1296,141,433,23,328,328,328,72,72,72,72,320,65,74,12,12,51,13,0,2023-11-09 17:37:16,0
1295,1295,436,649,273,257,256,257,97,97,97,98,199,45,59,12,12,30,6,4,2023-11-09 17:39:16,25
1287,1287,822,915,633,133,133,133,129,129,129,129,4,15,20,12,12,0,1,0,2023-11-09 17:41:16,40
1268,1268,740,841,577,131,131,131,127,127,127,127,5,22,5,12,12,1,0,0,2023-11-09 17:43:16,8
1297,1297,820,881,654,111,111,111,111,111,111,111,0,18,4,12,12,0,0,0,2023-11-09 17:45:16,8
1295,1295,680,755,530,109,109,109,108,108,108,108,1,14,8,12,12,1,0,0,2023-11-09 17:47:16,16
1296,1296,809,924,610,155,155,155,147,147,147,147,10,19,14,12,12,0,2,0,2023-11-09 17:49:16,24
1267,1267,717,795,552,123,124,123,119,119,119,118,6,15,1,12,12,1,1,0,2023-11-09 17:51:16,0
1294,1294,514,538,385,75,74,75,74,74,74,75,0,7,4,12,12,0,0,0,2023-11-09 17:53:16,8
1296,1296,96,71,35,18,18,18,18,18,18,18,0,2,0,12,12,0,0,0,2023-11-09 17:55:16,0
1293,1293,93,74,34,16,16,16,16,16,16,16,0,1,8,12,12,0,0,0,2023-11-09 17:57:16,16
1299,1299,164,460,27,332,333,332,84,84,84,83,311,67,79,12,12,48,11,3,2023-11-09 17:59:16,8
1262,1262,168,485,33,344,344,344,89,89,89,89,318,67,81,12,12,50,12,2,2023-11-09 18:01:16,17
1294,1294,564,670,434,142,141,142,93,93,93,94,61,24,14,12,12,8,2,2,2023-11-09 18:03:16,0
1296,1296,776,855,641,107,107,107,103,103,103,103,5,15,5,12,12,0,1,0,2023-11-09 18:05:16,8
1293,1293,771,854,618,116,116,116,112,112,112,112,5,14,9,12,12,0,1,0,2023-11-09 18:07:16,16
1272,1272,814,867,657,99,99,99,99,99,99,99,0,15,12,12,12,0,0,0,2023-11-09 18:09:16,24
1297,1297,811,882,676,103,103,103,99,99,99,99,5,6,5,12,12,0,1,0,2023-11-09 18:11:16,8
1292,1292,664,726,517,98,98,98,98,98,98,98,0,15,12,12,12,0,0,0,2023-11-09 18:13:16,24
1288,1288,354,359,276,44,44,44,36,36,36,36,10,5,3,12,12,0,2,0,2023-11-09 18:15:16,2
1296,1296,70,54,22,14,14,14,14,14,14,14,0,3,4,12,12,0,0,0,2023-11-09 18:17:16,8
1274,1274,105,120,32,53,54,53,26,26,26,25,35,8,16,12,12,5,2,0,2023-11-09 18:19:16,16
1297,1297,180,476,28,348,348,348,84,84,84,84,330,69,81,12,12,52,12,2,2023-11-09 18:21:16,1
1291,1291,236,517,88,334,333,334,85,85,85,86,310,63,70,12,12,48,10,4,2023-11-09 18:23:16,1
1297,1297,699,761,571,96,96,96,95,95,95,95,1,14,0,12,12,1,0,0,2023-11-09 18:25:16,0
1269,1269,804,862,663,98,99,98,99,99,99,98,0,11,0,12,12,0,0,0,2023-11-09 18:27:16,0
1295,1295,716,795,566,123,122,123,106,106,106,107,20,22,4,12,12,0,4,0,2023-11-09 18:29:16,0
1296,1296,724,781,567,109,109,109,105,105,105,105,5,14,1,12,12,0,0,1,2023-11-09 18:31:16,0
1296,1296,787,890,627,132,134,132,118,118,118,116,20,16,16,12,12,0,4,0,2023-11-09 18:33:16,24
1295,1295,699,791,567,121,119,121,103,103,103,105,20,12,4,12,12,0,4,0,2023-11-09 18:35:16,0
1263,1263,751,831,609,111,111,111,107,107,107,107,5,15,5,12,12,0,1,0,2023-11-09 18:37:16,8
1296,1296,203,229,145,46,46,46,30,30,30,30,20,7,12,12,12,0,4,0,2023-11-09 18:39:16,16
1295,1295,92,82,40,21,21,21,21,21,21,21,0,2,0,12,12,0,0,0,2023-11-09 18:41:16,0
1288,1288,117,196,25,123,125,123,41,41,41,39,104,22,26,12,12,16,2,2,2023-11-09 18:43:16,0
1275,1275,151,449,26,337,336,337,75,75,75,76,327,68,77,12,12,54,13,0,2023-11-09 18:45:16,2
1296,1296,367,611,217,282,282,282,87,87,87,87,244,54,68,12,12,35,9,4,2023-11-09 18:47:16,24
1296,1296,596,670,469,101,100,101,100,100,100,101,0,2,0,12,12,0,0,0,2023-11-09 18:49:16,0
1285,1285,660,715,521,97,97,97,97,97,97,97,0,11,0,12,12,0,0,0,2023-11-09 18:51:16,0
1306,1306,734,832,595,121,121,121,116,116,116,116,6,15,1,12,12,2,0,0,2023-11-09 18:53:16,0
1267,1267,721,785,585,100,100,100,95,95,95,95,6,18,5,12,12,2,0,0,2023-11-09 18:55:16,8
1296,1296,613,689,469,110,110,110,110,110,110,110,0,14,0,12,12,0,0,0,2023-11-09 18:57:16,0
1296,1296,140,147,81,33,33,33,33,33,33,33,0,6,0,12,12,0,0,0,2023-11-09 18:59:16,0
