get metadata from header,parseDataReportFlag ok,infra.grpc.invoker,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,no need or no have tags,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,superiorAndDeputy empty,approve callback start,Response=<:MAP:>,message,approve status error,svc.ApproveCallback failed,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
5640,5640,5640,5640,2040,97,366,217,97,97,188,188,178,97,97,97,149,2040,97,149,366,37,37,10,3,3,3,3,3,2,2,2,2023-11-10 15:08:00,20
5565,5565,5565,5566,2032,98,256,223,98,98,179,179,175,98,98,98,33,2032,98,33,256,42,42,4,4,6,4,3,4,2,2,2,2023-11-10 15:10:00,27
5586,5586,5586,5585,2036,99,243,207,99,99,177,177,168,99,99,99,36,2036,99,36,243,27,27,8,3,3,3,3,3,2,2,2,2023-11-10 15:12:00,1
5580,5580,5580,5581,2025,98,240,203,98,98,179,179,173,98,98,98,37,2025,98,37,240,32,32,6,6,7,6,6,6,2,2,2,2023-11-10 15:14:00,3
5630,5630,5630,5630,2030,99,263,209,99,99,184,184,176,99,99,99,54,2030,99,54,263,28,28,8,4,4,4,3,4,2,2,2,2023-11-10 15:16:00,1
5631,5631,5631,5630,2030,89,425,227,89,89,172,172,168,89,89,89,198,2030,89,147,425,30,30,4,3,5,4,3,3,2,2,2,2023-11-10 15:18:00,56
5577,5577,5577,5577,2028,95,262,214,95,95,184,184,177,95,95,95,48,2028,95,48,262,33,33,7,7,8,7,7,7,2,2,2,2023-11-10 15:20:00,4
5617,5617,5617,5617,2026,99,362,213,99,99,187,187,178,99,99,99,149,2026,99,149,362,26,26,8,3,3,3,3,3,2,2,2,2023-11-10 15:22:00,2
5616,5616,5616,5617,2032,107,249,207,107,107,188,188,179,107,107,107,42,2032,107,42,249,28,28,8,4,4,4,4,4,2,2,2,2023-11-10 15:24:00,1
5570,5570,5570,5569,2028,94,233,203,94,94,179,179,175,94,94,94,30,2028,94,30,233,27,27,4,3,3,3,3,3,2,2,2,2023-11-10 15:26:00,6
5590,5590,5590,5591,2032,96,356,219,96,96,181,181,174,96,96,96,137,2032,96,137,356,35,35,7,7,9,7,6,7,2,2,2,2023-11-10 15:28:00,9
5574,5574,5574,5573,2020,95,239,199,95,95,186,186,180,95,95,95,40,2020,95,40,239,27,27,6,3,3,3,3,3,2,2,2,2023-11-10 15:30:00,1
5548,5548,5550,5550,2009,96,234,195,96,96,186,186,178,96,96,96,39,2009,96,39,234,29,29,8,3,4,3,3,3,2,2,2,2023-11-10 15:32:00,3
5621,5621,5621,5619,2042,99,266,219,99,99,181,181,170,99,99,99,47,2042,99,47,266,30,30,10,4,5,4,3,4,2,2,2,2023-11-10 15:34:00,4
5591,5591,5594,5591,2029,101,259,211,101,101,168,168,165,101,101,101,48,2029,101,48,259,31,31,3,7,7,7,7,7,2,2,2,2023-11-10 15:36:00,0
5650,5650,5650,5650,2050,97,262,211,97,97,180,180,170,97,97,97,51,2050,97,51,262,29,29,9,3,4,3,3,3,2,2,2,2023-11-10 15:38:00,3
5574,5574,5572,5574,2033,94,261,222,94,94,177,177,173,94,94,94,39,2033,94,39,261,41,41,3,3,5,3,3,3,2,2,2,2023-11-10 15:40:00,26
5570,5570,5571,5570,2013,99,236,198,99,99,185,185,182,99,99,99,38,2013,99,38,236,29,29,3,4,4,4,4,4,2,2,2,2023-11-10 15:42:00,0
5617,5617,5617,5617,2041,97,247,217,97,97,179,179,173,97,97,97,30,2041,97,30,247,27,27,6,3,3,3,3,3,2,2,2,2023-11-10 15:44:00,0
5606,5606,5606,5606,2029,98,261,212,98,98,183,183,178,98,98,98,49,2029,98,49,261,33,33,5,7,8,7,6,7,2,2,2,2023-11-10 15:46:00,4
5553,5553,5553,5553,2023,103,366,220,103,103,175,175,166,103,103,103,146,2023,103,146,366,48,48,9,3,4,3,3,3,2,2,2,2023-11-10 15:48:00,43
8953,8953,8954,8955,3399,91,341,273,91,91,249,249,237,91,91,91,68,3399,91,68,341,32,32,12,3,3,3,3,3,2,2,2,2023-11-10 15:50:00,0
10295,10295,10295,10294,4065,48,405,264,48,48,243,243,238,48,48,48,141,4065,48,141,405,28,28,5,4,4,4,3,4,2,2,2,2023-11-10 15:52:00,1
10324,10324,10325,10323,4084,48,305,266,48,48,244,244,237,48,48,48,39,4084,48,39,305,31,31,7,7,7,7,7,7,2,2,2,2023-11-10 15:54:00,5
10311,10311,10312,10312,4074,48,302,262,48,48,247,247,237,48,48,48,40,4074,48,40,302,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 15:56:00,0
10231,10231,10231,10232,4037,48,407,263,48,48,243,243,236,48,48,48,144,4037,48,144,407,29,29,6,3,4,3,3,3,2,2,2,2023-11-10 15:58:00,4
10304,10304,10305,10302,4073,48,308,263,48,48,244,244,237,48,48,48,45,4073,48,45,308,28,28,7,4,4,4,4,4,2,2,2,2023-11-10 16:00:00,0
10170,10170,10170,10172,4007,47,316,259,47,47,245,245,235,47,47,48,57,4007,47,57,316,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 16:02:00,0
10326,10326,10327,10324,4081,47,313,267,47,47,243,243,236,47,47,46,46,4081,47,46,313,31,31,7,7,7,7,6,7,2,2,2,2023-11-10 16:04:00,1
10295,10295,10292,10296,4067,46,309,263,46,46,247,247,238,46,46,46,46,4067,46,46,309,27,27,9,3,3,3,3,3,2,2,2,2023-11-10 16:06:00,0
10291,10291,10292,10292,4062,48,410,261,48,48,241,241,236,48,48,48,149,4062,48,149,410,27,27,5,3,3,3,3,3,2,2,2,2023-11-10 16:08:00,0
10305,10305,10304,10303,4071,48,303,263,48,48,243,243,237,48,48,48,40,4071,48,40,303,28,28,5,4,4,4,3,4,2,2,2,2023-11-10 16:10:00,2
10301,10301,10301,10301,4069,48,406,267,48,48,245,245,237,48,48,48,139,4069,48,139,406,31,31,8,7,7,7,7,7,2,2,2,2023-11-10 16:12:00,0
10338,10338,10338,10341,4088,48,309,263,48,48,245,245,237,48,48,48,46,4088,48,46,309,27,27,8,3,3,3,3,3,2,2,2,2023-11-10 16:14:00,0
10267,10267,10267,10264,4056,48,300,261,48,48,247,247,238,48,48,48,39,4056,48,39,300,27,27,9,3,3,3,3,3,2,2,2,2023-11-10 16:16:00,0
10296,10296,10296,10297,4068,48,453,264,48,48,243,243,237,48,48,48,189,4068,48,138,453,29,29,6,4,5,5,4,4,2,2,2,2023-11-10 16:18:00,52
10268,10268,10269,10268,4059,48,296,261,48,48,242,242,237,48,48,48,35,4059,48,35,296,27,27,5,3,3,3,3,3,2,2,2,2023-11-10 16:20:00,2
10294,10294,10294,10294,4060,48,419,267,48,48,246,246,237,48,48,48,152,4060,48,152,419,31,31,9,7,7,7,6,7,2,2,2,2023-11-10 16:22:00,1
10249,10249,10249,10249,4041,48,348,300,48,48,245,245,236,48,48,48,48,4041,48,48,348,67,67,9,3,23,3,3,3,2,2,2,2023-11-10 16:24:00,60
10319,10319,10321,10319,4081,48,459,420,48,48,246,246,238,48,48,48,39,4081,48,39,459,184,184,7,3,81,3,3,3,2,2,2,2023-11-10 16:26:00,237
10167,10167,10167,10167,4015,48,601,559,48,48,241,241,234,48,48,48,42,4015,48,42,601,327,327,7,4,154,4,3,4,2,2,2,2023-11-10 16:28:00,449
10235,10235,10236,10235,4035,48,560,515,48,48,244,244,236,48,48,48,45,4035,48,45,560,281,281,7,7,132,7,7,7,2,2,2,2023-11-10 16:30:00,376
10269,10269,10269,10270,4056,48,419,277,48,48,245,245,236,48,48,48,142,4056,48,142,419,43,43,9,3,11,3,3,3,2,2,2,2023-11-10 16:32:00,24
10328,10328,10328,10326,4076,48,313,263,48,48,248,248,238,48,48,48,50,4076,48,50,313,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 16:34:00,0
10272,10272,10272,10273,4063,44,296,263,44,44,241,241,236,44,44,44,33,4063,44,33,296,28,28,5,4,4,4,4,4,2,2,2,2023-11-10 16:36:00,0
10223,10223,10223,10222,4036,48,405,264,48,48,239,239,236,48,48,48,141,4036,48,141,405,30,30,3,6,6,6,6,6,2,2,2,2023-11-10 16:38:00,0
10231,10231,10231,10232,4032,48,303,262,48,48,244,244,236,48,48,48,41,4032,48,41,303,28,28,8,4,4,4,3,4,2,2,2,2023-11-10 16:40:00,5
10232,10232,10236,10232,4033,48,402,261,48,48,245,245,237,48,48,48,141,4033,48,141,402,27,27,8,3,3,3,3,3,2,2,2,2023-11-10 16:42:00,0
10329,10329,10330,10328,4077,48,324,267,48,48,243,243,237,48,48,48,57,4077,48,57,324,32,32,5,4,6,4,3,4,2,2,2,2023-11-10 16:44:00,8
10356,10356,10356,10356,4093,48,314,267,48,48,245,245,238,48,48,48,47,4093,48,47,314,30,30,7,6,6,6,6,6,2,2,2,2023-11-10 16:46:00,0
10281,10281,10281,10282,4059,48,402,262,48,48,244,244,236,48,48,48,140,4059,48,140,402,28,28,8,4,4,4,4,4,2,2,2,2023-11-10 16:48:00,0
10258,10258,10258,10260,4050,48,304,262,48,48,246,246,238,48,48,48,42,4050,48,42,304,27,27,7,3,3,3,3,3,2,2,2,2023-11-10 16:50:00,0
10298,10298,10298,10296,4070,48,406,263,48,48,242,242,236,48,48,48,143,4070,48,143,406,27,27,6,3,3,3,3,3,2,2,2,2023-11-10 16:52:00,0
10240,10240,10240,10240,4036,48,312,263,48,48,254,254,236,48,48,48,49,4036,48,49,312,31,31,17,7,7,7,7,7,2,2,2,2023-11-10 16:54:00,1
10295,10295,10295,10296,4073,48,343,301,48,48,243,243,236,48,48,48,42,4073,48,42,343,65,65,7,3,22,3,3,3,2,2,2,2023-11-10 16:56:00,57
10354,10354,10354,10352,4085,48,512,446,48,48,252,252,238,48,48,48,66,4085,48,66,512,210,210,14,4,95,4,3,4,2,2,2,2023-11-10 16:58:00,278
10351,10351,10347,10352,4089,48,679,633,48,48,248,248,238,48,48,48,46,4089,48,46,679,397,397,10,3,188,3,3,3,2,2,2,2023-11-10 17:00:00,555
10260,10260,10260,10261,4047,48,626,578,48,48,247,247,236,48,48,48,48,4047,48,48,626,343,343,11,7,163,7,6,7,2,2,2,2023-11-10 17:02:00,469
10302,10302,10302,10300,4065,48,543,493,48,48,248,248,238,48,48,48,50,4065,48,50,543,259,259,10,3,119,3,3,3,2,2,2,2023-11-10 17:04:00,348
10372,10372,10372,10373,4091,48,321,265,48,48,248,248,237,48,48,48,56,4091,48,56,321,28,28,9,4,4,4,4,4,2,2,2,2023-11-10 17:06:00,2
10309,10309,10309,10310,4069,44,404,262,44,44,247,247,237,44,44,44,142,4069,44,142,404,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 17:08:00,0
10346,10346,10346,10344,4083,48,321,267,48,48,247,247,238,48,48,48,54,4083,48,54,321,31,31,9,7,7,7,7,7,2,2,2,2023-11-10 17:10:00,0
10284,10284,10284,10285,4059,48,314,266,48,48,240,240,237,48,48,48,48,4059,48,48,314,31,31,3,3,5,3,3,3,2,2,2,2023-11-10 17:12:00,6
10353,10353,10353,10354,4083,48,317,263,48,48,247,247,238,48,48,48,54,4083,48,54,317,27,27,9,3,3,3,3,3,2,2,2,2023-11-10 17:14:00,0
10342,10342,10342,10340,4082,48,310,264,48,48,244,244,237,48,48,48,46,4082,48,46,310,28,28,7,4,4,4,3,4,2,2,2,2023-11-10 17:16:00,1
10206,10206,10206,10207,4022,48,421,262,48,48,244,244,234,48,48,48,159,4022,48,159,421,30,30,9,6,6,6,6,6,2,2,2,2023-11-10 17:18:00,1
10321,10321,10321,10320,4075,48,313,262,48,48,244,244,237,48,48,48,51,4075,48,51,313,28,28,6,4,4,4,3,4,2,2,2,2023-11-10 17:20:00,2
10326,10326,10326,10326,4068,48,313,263,48,48,253,253,237,48,48,48,50,4068,48,50,313,27,27,16,3,3,3,3,3,2,2,2,2023-11-10 17:22:00,3
10305,10305,10305,10307,4072,48,299,265,48,48,248,248,237,48,48,48,34,4072,48,34,299,30,30,11,4,5,4,4,4,2,2,2,2023-11-10 17:24:00,5
10341,10341,10341,10339,4079,48,315,265,48,48,251,251,238,48,48,48,50,4079,48,50,315,30,30,11,6,6,6,6,6,2,2,2,2023-11-10 17:26:00,2
10317,10317,10317,10317,4079,48,397,263,48,48,240,240,238,48,48,48,134,4079,48,134,397,28,28,2,4,4,4,4,4,2,2,2,2023-11-10 17:28:00,0
10345,10345,10345,10348,4089,48,311,263,48,48,242,242,236,48,48,48,48,4089,48,48,311,27,27,6,3,3,3,3,3,2,2,2,2023-11-10 17:30:00,0
10327,10327,10327,10325,4080,48,408,268,48,48,241,241,238,48,48,48,140,4080,48,140,408,31,31,3,7,7,7,6,7,2,2,2,2023-11-10 17:32:00,1
10257,10257,10257,10257,4047,48,302,260,48,48,243,243,236,48,48,48,42,4047,48,42,302,27,27,7,3,3,3,3,3,2,2,2,2023-11-10 17:34:00,0
10382,10382,10382,10381,4097,48,323,264,48,48,247,247,239,48,48,48,59,4097,48,59,323,27,27,8,3,3,3,3,3,2,2,2,2023-11-10 17:36:00,0
10321,10321,10321,10322,4075,48,312,263,48,48,242,242,238,48,48,48,49,4075,48,49,312,28,28,4,4,4,4,3,4,2,2,2,2023-11-10 17:38:00,1
10339,10339,10339,10339,4078,46,322,266,46,46,244,244,236,46,46,46,56,4078,46,56,322,31,31,8,7,7,7,7,7,2,2,2,2023-11-10 17:40:00,0
10326,10326,10326,10328,4074,47,313,263,47,47,248,248,238,47,47,48,50,4074,47,50,313,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 17:42:00,0
10245,10245,10245,10243,4041,47,307,260,47,47,246,246,234,47,47,46,47,4041,47,47,307,27,27,11,3,3,3,3,3,2,2,2,2023-11-10 17:44:00,1
10361,10361,10361,10362,4094,48,310,264,48,48,250,250,238,48,48,48,46,4094,48,46,310,28,28,10,4,4,4,4,4,2,2,2,2023-11-10 17:46:00,1
10331,10331,10331,10329,4085,48,298,266,48,48,244,244,238,48,48,48,32,4085,48,32,298,30,30,4,6,6,6,6,6,2,2,2,2023-11-10 17:48:00,2
10323,10323,10322,10324,4071,48,320,264,48,48,244,244,236,48,48,48,56,4071,48,56,320,28,28,8,4,4,4,3,4,2,2,2,2023-11-10 17:50:00,1
10358,10358,10359,10359,4096,48,402,263,48,48,248,248,238,48,48,48,139,4096,48,139,402,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 17:52:00,0
10350,10350,10350,10349,4076,48,324,266,48,48,250,250,238,48,48,48,58,4076,48,58,324,31,31,12,7,7,7,6,7,2,2,2,2023-11-10 17:54:00,1
10365,10365,10365,10364,4087,48,323,263,48,48,248,248,237,48,48,48,60,4087,48,60,323,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 17:56:00,1
10370,10370,10370,10370,4098,48,310,265,48,48,245,245,237,48,48,48,45,4098,48,45,310,28,28,8,4,4,4,4,4,2,2,2,2023-11-10 17:58:00,2
10305,10305,10305,10306,4054,48,321,262,48,48,246,246,237,48,48,48,59,4054,48,59,321,27,27,8,3,3,3,3,3,2,2,2,2023-11-10 18:00:00,5
10317,10317,10317,10317,4066,48,322,265,48,48,250,250,237,48,48,48,57,4066,48,57,322,31,31,13,7,7,7,7,7,2,2,2,2023-11-10 18:02:00,0
10346,10346,10346,10345,4078,48,323,262,48,48,249,249,237,48,48,48,61,4078,48,61,323,27,27,12,3,3,3,3,3,2,2,2,2023-11-10 18:04:00,0
10371,10371,10371,10371,4098,48,307,265,48,48,244,244,238,48,48,48,42,4098,48,42,307,27,27,6,3,3,3,3,3,2,2,2,2023-11-10 18:06:00,0
10367,10367,10367,10368,4089,48,431,264,48,48,251,251,237,48,48,48,167,4089,48,167,431,28,28,14,4,4,4,3,4,2,2,2,2023-11-10 18:08:00,1
10161,10161,10161,10161,4009,48,322,261,48,48,241,241,234,48,48,48,61,4009,48,61,322,30,30,6,6,6,6,6,6,2,2,2,2023-11-10 18:10:00,0
10239,10239,10239,10241,4047,46,412,262,46,46,244,244,236,46,46,46,150,4047,46,150,412,28,28,8,4,4,4,3,4,2,2,2,2023-11-10 18:12:00,1
10259,10259,10259,10257,4051,48,308,261,48,48,247,247,237,48,48,48,47,4051,48,47,308,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 18:14:00,0
10251,10251,10251,10252,4049,47,313,262,46,46,248,248,236,46,46,48,51,4049,46,51,313,28,28,12,4,4,4,4,4,2,2,2,2023-11-10 18:16:00,4
10266,10266,10266,10265,4063,47,454,262,48,48,251,251,238,48,48,46,192,4063,48,141,454,28,28,12,3,4,4,3,3,2,2,2,2023-11-10 18:18:00,53
10246,10246,10246,10245,4053,48,297,266,48,48,247,247,236,48,48,48,31,4053,48,31,297,31,31,11,7,7,7,7,7,2,2,2,2023-11-10 18:20:00,0
10196,10196,10196,10198,4024,48,410,259,48,48,247,247,236,48,48,48,151,4024,48,151,410,27,27,11,3,3,3,3,3,2,2,2,2023-11-10 18:22:00,0
10341,10341,10341,10339,4091,48,300,264,48,48,242,242,238,48,48,48,36,4091,48,36,300,28,28,4,4,4,4,3,4,2,2,2,2023-11-10 18:24:00,1
10337,10337,10338,10338,4080,48,313,266,48,48,247,247,236,48,48,48,47,4080,48,47,313,30,30,11,6,6,6,6,6,2,2,2,2023-11-10 18:26:00,0
10315,10315,10315,10314,4070,48,403,262,48,48,247,247,238,48,48,48,141,4070,48,141,403,27,27,9,3,3,3,3,3,2,2,2,2023-11-10 18:28:00,0
10352,10352,10352,10353,4090,48,305,264,48,48,243,243,236,48,48,48,41,4090,48,41,305,28,28,7,4,4,4,3,4,2,2,2,2023-11-10 18:30:00,7
10351,10351,10353,10350,4089,48,410,263,48,48,245,245,238,48,48,48,147,4089,48,147,410,27,27,7,3,3,3,3,3,2,2,2,2023-11-10 18:32:00,6
10348,10348,10348,10349,4072,48,341,268,48,48,248,248,238,48,48,48,73,4072,48,73,341,32,32,9,8,8,8,8,8,2,2,2,2023-11-10 18:34:00,5
10391,10391,10391,10390,4061,48,377,262,48,48,263,263,236,48,48,48,115,4061,48,115,377,27,27,27,3,3,3,3,3,2,2,2,2023-11-10 18:36:00,0
10416,10416,10416,10418,4080,48,469,262,48,48,266,266,238,48,48,48,207,4080,48,207,469,27,27,28,3,3,3,3,3,2,2,2,2023-11-10 18:38:00,0
10333,10333,10333,10332,4047,48,377,262,48,48,255,255,235,48,48,48,115,4047,48,115,377,28,28,18,4,4,4,3,4,2,2,2,2023-11-10 18:40:00,5
10375,10375,10375,10376,4059,48,479,265,48,48,262,262,237,48,48,48,214,4059,48,214,479,30,30,25,6,6,6,6,6,2,2,2,2023-11-10 18:42:00,2
10421,10421,10421,10421,4075,46,388,264,46,46,260,260,236,46,46,48,124,4075,46,124,388,28,28,24,4,4,4,3,4,2,2,2,2023-11-10 18:44:00,1
10440,10440,10440,10438,4088,48,383,263,48,48,263,263,238,48,48,46,120,4088,48,120,383,27,27,23,3,3,3,3,3,2,2,2,2023-11-10 18:46:00,2
10394,10394,10394,10395,4074,48,367,262,48,48,258,258,237,48,48,48,105,4074,48,105,367,28,28,21,4,4,4,4,4,2,2,2,2023-11-10 18:48:00,0
10375,10375,10375,10375,4073,48,353,265,48,48,255,255,237,48,48,48,88,4073,48,88,353,30,30,18,6,6,6,6,6,2,2,2,2023-11-10 18:50:00,0
10377,10377,10377,10379,4058,48,474,262,48,48,260,260,236,48,46,48,212,4058,48,212,474,28,28,24,4,4,4,4,4,2,2,2,2023-11-10 18:52:00,0
10407,10407,10407,10404,4071,46,374,260,46,46,262,262,239,46,48,46,114,4071,46,114,374,24,24,22,0,0,0,0,0,2,2,2,2023-11-10 18:54:00,1
10422,10422,10422,10422,4076,48,389,260,48,48,256,256,236,48,48,48,129,4076,48,129,389,24,24,20,0,0,0,0,0,2,2,2,2023-11-10 18:56:00,0
10419,10419,10419,10420,4079,48,477,258,48,48,259,259,238,48,48,48,219,4079,48,219,477,24,24,21,0,0,0,0,0,2,2,2,2023-11-10 18:58:00,0
10405,10405,10405,10404,4073,48,380,260,48,48,256,256,236,48,48,48,120,4073,48,120,380,24,24,20,0,0,0,0,0,2,2,2,2023-11-10 19:00:00,0
10354,10354,10354,10354,4054,48,370,259,48,48,254,254,238,48,48,48,111,4054,48,111,370,24,24,16,0,0,0,0,0,2,2,2,2023-11-10 19:02:00,0
10378,10378,10378,10380,4084,48,330,260,48,48,259,259,237,48,48,48,70,4084,48,70,330,24,24,22,0,0,0,0,0,2,2,2,2023-11-10 19:04:00,0
10327,10327,10327,10327,4060,48,340,257,48,48,256,256,236,48,48,48,83,4060,48,83,340,23,23,20,0,0,0,0,0,2,2,2,2023-11-10 19:06:00,0
10482,10482,10482,10480,4117,48,368,262,48,48,261,261,239,48,48,48,106,4117,48,106,368,24,24,22,0,0,0,0,0,2,2,2,2023-11-10 19:08:00,0
10398,10398,10398,10401,4073,48,378,263,48,48,258,258,237,48,48,48,115,4073,48,115,378,27,27,21,3,3,3,3,3,2,2,2,2023-11-10 19:10:00,0
10448,10448,10448,10445,4089,48,483,263,48,48,263,263,238,48,48,48,220,4089,48,220,483,27,27,25,3,3,3,3,3,2,2,2,2023-11-10 19:12:00,0
10420,10420,10420,10421,4090,48,372,260,48,48,252,252,236,48,48,48,112,4090,48,112,372,25,25,16,1,1,1,0,1,2,2,2,2023-11-10 19:14:00,1
10323,10323,10323,10326,4050,48,367,263,48,48,260,260,238,48,48,48,104,4050,48,104,367,30,30,22,6,6,6,6,6,2,2,2,2023-11-10 19:16:00,0
10361,10361,10361,10357,4064,48,472,263,48,48,257,257,236,48,48,48,209,4064,48,209,472,27,27,21,3,3,3,3,3,2,2,2,2023-11-10 19:18:00,0
10294,10294,10294,10296,4042,46,359,261,46,46,258,258,236,46,46,46,98,4042,46,98,359,28,28,22,4,4,4,3,4,2,2,2,2023-11-10 19:20:00,3
10216,10216,10216,10215,4002,48,466,259,48,48,256,256,235,48,48,48,207,4002,48,207,466,28,28,21,3,3,3,3,3,2,2,2,2023-11-10 19:22:00,0
10320,10320,10320,10320,4049,48,371,264,48,48,262,262,236,48,48,48,107,4049,48,107,371,31,31,26,7,7,7,7,7,2,2,2,2023-11-10 19:24:00,0
10323,10323,10323,10323,4049,48,376,261,48,48,253,253,236,48,48,48,115,4049,48,115,376,27,27,16,3,3,3,3,3,2,2,2,2023-11-10 19:26:00,1
10340,10340,10340,10339,4057,46,374,263,46,46,255,255,238,46,46,46,111,4057,46,111,374,28,28,17,4,4,4,4,4,2,2,2,2023-11-10 19:28:00,0
10373,10373,10373,10373,4064,48,387,260,48,48,252,252,236,48,48,48,127,4064,48,127,387,26,26,16,3,3,3,3,3,2,2,2,2023-11-10 19:30:00,2
10457,10457,10457,10457,4103,48,480,269,48,48,261,261,239,48,48,48,211,4103,48,211,480,31,31,21,7,7,7,6,7,2,2,2,2023-11-10 19:32:00,2
10413,10413,10413,10415,4077,48,380,261,48,48,260,260,236,48,48,48,119,4077,48,119,380,27,27,24,3,3,3,3,3,2,2,2,2023-11-10 19:34:00,0
