get metadata from header,parseDataReportFlag ok,infra.grpc.invoker,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,funName=concurrentNoPaging run task end,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,funName=DataCompose,parent node is not exist,no need or no have tags,computeAndCompare same,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,allNum=<:NUM:>,ClientEnvHandler is <:*:>,<:GIN:>,protection for <:*:> have compare <:NUM:>,no page <:*:>,no page <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no <:*:>,superiorAndDeputy empty,msg,approve callback start,Response=<:MAP:>,message,approve status error,svc.ApproveCallback failed,<:ownDeptIDs:>,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,<:deptLeaderManageDeptIDs:>,Dao.GetSession,<:listManageOrgReq:>,<:query signature:>,GetSupervisorPosition success,[GetBaseInfoByEmpID] db ge<:updateFanweiEmployee failed:>,GetBaseInfoByEmpID failed,protection for <:*:> done,query ge<:updateFanweiEmployee failed:>,parent deptIDs=[<:SEQ:>],build <:*:> reply,no api page resources,check failed,protection.ComputeAndDiff failed,error occurred in <:NewAccessRequest:>,<:*:> started successfully,callback status error,sign switch is off [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:YID:>,[GetAuthorizedDept] getAllDept success,dept inChargeSuperiors is empty,checkCheckPer<:updateFanweiEmployee failed:>,s.getAuthObject objects=[dealer id customer id],checkAndBuildListPermDataReq failed,ListFieldValues failed,p.svc.GetSingleYidSingleFieldPermDat<:updateFanweiEmployee failed:>,<:tagID:>,token check failed,<:listReq:>,GrpcDataReportInterceptor parse methodSet: <:MAP:>,loadKdConfig success,len(deptYids)=<:NUM:>,len(allDeptMembers)=<:NUM:>,get other dutyCommittee backup employee success,timestamp
981,981,981,982,0,149,182,161,149,149,136,136,134,149,149,149,0,21,0,0,0,149,0,21,182,0,28,28,0,0,0,0,2,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:20:00
951,951,951,951,0,146,176,158,146,146,134,134,133,146,146,147,0,18,0,0,0,146,0,18,176,0,27,27,0,0,0,0,1,0,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:22:00
935,935,935,934,0,137,174,151,137,137,128,128,125,137,137,136,0,23,0,0,0,137,0,23,174,0,25,25,0,0,0,0,3,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:24:00
937,937,937,938,0,146,167,151,145,145,158,158,149,145,145,146,0,16,0,0,0,145,0,16,167,0,27,27,0,0,0,0,9,0,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:26:00
956,956,958,956,0,155,204,168,156,156,136,136,132,156,156,155,0,36,0,0,0,156,0,36,204,0,28,28,0,0,0,0,4,4,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:28:00
925,925,925,925,0,140,178,164,140,140,133,133,128,140,140,140,0,14,0,0,0,140,0,14,178,0,26,26,0,0,0,0,5,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:30:00
938,938,938,937,0,148,165,155,148,148,135,135,132,148,148,148,0,10,0,0,0,148,0,10,165,0,27,27,0,0,0,0,3,0,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:32:00
947,947,947,947,0,135,175,160,135,135,146,146,137,135,135,135,0,15,0,0,0,135,0,15,175,0,28,28,0,0,0,0,9,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:34:00
966,966,966,966,0,166,168,151,166,166,151,151,146,166,166,166,0,17,0,0,0,166,0,17,168,0,26,26,0,0,0,0,5,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:36:00
950,950,950,950,0,133,191,172,133,133,130,130,125,133,133,133,0,19,0,0,0,133,0,19,191,0,27,27,0,0,0,0,5,0,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:38:00
1018,1018,1018,1019,0,151,200,178,151,151,153,153,147,151,151,151,0,22,0,0,0,151,0,22,200,0,26,26,0,0,0,0,6,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:40:00
957,957,957,956,0,144,243,165,144,144,149,149,140,144,144,144,0,78,0,0,0,144,0,27,243,0,30,30,0,0,0,0,9,0,5,6,6,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:42:00
972,972,972,972,0,139,194,164,139,139,144,144,137,139,139,139,0,30,0,0,0,139,0,30,194,0,27,27,0,0,0,0,7,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:44:00
991,991,991,991,0,160,186,167,160,160,140,140,136,160,160,160,0,19,0,0,0,160,0,19,186,0,26,26,0,0,0,0,4,5,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:46:00
951,951,951,952,0,155,183,158,154,154,143,143,141,154,154,155,0,25,0,0,0,154,0,25,183,0,26,26,0,0,0,0,2,0,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:48:00
947,947,947,946,0,154,191,173,155,155,141,141,138,155,155,154,0,18,0,0,0,155,0,18,191,0,28,28,0,0,0,0,3,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:50:00
999,999,999,1000,0,163,195,170,163,163,147,147,145,163,163,163,0,25,0,0,0,163,0,25,195,0,27,27,0,0,0,0,1,0,3,3,3,3,3,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:52:00
1018,1018,1018,1017,0,152,200,180,152,152,140,140,138,152,152,152,0,20,0,0,0,152,0,20,200,0,26,26,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:54:00
968,968,968,968,0,139,196,165,139,139,120,120,118,139,139,139,0,31,0,0,0,139,0,31,196,0,28,28,0,0,0,0,2,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:56:00
994,994,994,994,0,156,186,168,156,156,138,138,136,156,156,156,0,18,0,0,0,156,0,18,186,0,27,27,0,0,0,0,2,0,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:58:00
989,989,989,989,0,155,179,161,155,155,132,132,130,155,155,155,0,18,0,0,0,155,0,18,179,0,26,26,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:00:00
1002,1002,1003,1003,0,161,196,168,161,161,139,139,130,161,161,161,0,28,0,0,0,161,0,28,196,0,27,27,0,0,0,0,9,1,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:02:00
946,946,946,945,0,148,189,169,148,148,132,132,129,148,148,148,0,20,0,0,0,148,0,20,189,0,28,28,0,0,0,0,3,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:04:00
950,950,950,950,0,150,187,172,150,150,146,146,144,150,150,150,0,15,0,0,0,150,0,15,187,0,26,26,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:06:00
970,970,970,970,0,150,187,167,150,150,143,143,138,150,150,150,0,20,0,0,0,150,0,20,187,0,27,27,0,0,0,0,5,0,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:08:00
965,965,965,965,0,154,179,157,154,154,140,140,135,154,154,154,0,22,0,0,0,154,0,22,179,0,26,26,0,0,0,0,5,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:10:00
924,924,924,924,0,149,171,143,149,149,124,124,122,149,149,149,0,28,0,0,0,149,0,28,171,0,29,29,0,0,0,0,2,0,5,5,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:12:00
963,963,963,965,0,153,187,164,152,152,149,149,146,152,152,153,0,23,0,0,0,152,0,23,187,0,26,26,0,0,0,0,3,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:14:00
937,937,937,935,0,150,182,165,151,151,136,136,135,151,151,150,0,17,0,0,0,151,0,17,182,0,26,26,0,0,0,0,1,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:16:00
961,961,962,961,0,149,180,161,149,149,150,150,147,149,149,149,0,19,0,0,0,149,0,19,180,0,27,27,0,0,0,0,3,4,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:18:00
980,980,980,980,0,151,187,163,151,151,147,147,144,151,151,151,0,24,0,0,0,151,0,24,187,0,28,28,0,0,0,0,3,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:20:00
949,949,949,949,0,148,185,171,148,148,142,142,138,148,148,148,0,14,0,0,0,148,0,14,185,0,26,26,0,0,0,0,4,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:22:00
941,941,941,941,0,143,184,159,143,143,133,133,129,143,143,143,0,25,0,0,0,143,0,25,184,0,27,27,0,0,0,0,4,0,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:24:00
997,997,997,997,0,148,176,156,148,148,163,163,159,148,148,148,0,20,0,0,0,148,0,20,176,0,26,26,0,0,0,0,4,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:26:00
961,961,961,962,0,135,188,168,135,135,145,145,140,135,135,135,0,20,0,0,0,135,0,20,188,0,29,29,0,0,0,0,5,0,5,5,5,4,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:28:00
958,958,958,957,0,157,179,157,157,157,147,147,140,157,157,157,0,22,0,0,0,157,0,22,179,0,26,26,0,0,0,0,7,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:30:00
932,932,959,932,0,143,177,162,143,143,146,146,143,143,143,143,0,15,0,0,0,143,0,15,177,0,26,26,0,0,0,0,3,19,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:32:00
944,944,944,944,0,139,178,160,139,139,147,147,142,139,139,139,0,18,0,0,0,139,0,18,178,0,29,29,0,0,0,0,5,0,5,5,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:34:00
959,959,959,960,0,164,182,162,164,164,130,130,128,164,164,164,0,20,0,0,0,164,0,20,182,0,26,26,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:36:00
955,955,955,954,0,161,187,165,161,161,125,125,121,161,161,161,0,22,0,0,0,161,0,22,187,0,27,27,0,0,0,0,4,8,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:38:00
920,920,921,920,0,154,189,168,154,154,129,129,125,154,154,154,0,21,0,0,0,154,0,21,189,0,26,26,0,0,0,0,4,1,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:40:00
1008,1008,1008,1008,0,138,203,187,138,138,165,165,161,138,138,138,0,16,0,0,0,138,0,16,203,0,29,29,0,0,0,0,4,0,5,5,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:42:00
961,961,961,961,0,162,195,177,162,162,137,137,133,162,162,162,0,18,0,0,0,162,0,18,195,0,26,26,0,0,0,0,4,4,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:44:00
962,962,962,962,0,147,173,153,147,147,142,142,137,147,147,147,0,20,0,0,0,147,0,20,173,0,26,26,0,0,0,0,5,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:46:00
964,964,964,964,0,156,230,168,156,156,143,143,136,156,156,156,0,62,0,0,0,156,0,17,230,0,28,28,0,0,0,0,7,0,3,4,4,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:48:00
972,972,972,972,0,165,190,181,165,165,151,151,146,165,165,165,0,9,0,0,0,165,0,9,190,0,28,28,0,0,0,0,5,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:50:00
966,966,966,966,0,143,185,172,143,143,145,145,141,143,143,143,0,13,0,0,0,143,0,13,185,0,26,26,0,0,0,0,4,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:52:00
920,920,920,921,0,143,161,150,143,143,134,134,129,143,143,143,0,11,0,0,0,143,0,11,161,0,27,27,0,0,0,0,5,0,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:54:00
943,943,943,942,0,142,195,166,142,142,143,143,141,142,142,142,0,29,0,0,0,142,0,29,195,0,26,26,0,0,0,0,2,9,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:56:00
990,990,990,990,0,154,179,166,154,154,143,143,142,154,154,154,0,13,0,0,0,154,0,13,179,0,29,29,0,0,0,0,1,10,5,5,5,4,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 11:58:00
940,940,940,942,0,146,181,161,145,145,147,147,146,145,145,146,0,20,0,0,0,145,0,20,181,0,26,26,0,0,0,0,1,3,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:00:00
1005,1005,1005,1003,0,160,187,164,161,161,143,143,141,161,161,160,0,23,0,0,0,161,0,23,187,0,27,27,0,0,0,0,2,1,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:02:00
1000,1000,1002,1000,0,156,188,164,156,156,143,143,141,156,156,156,0,24,0,0,0,156,0,24,188,0,28,28,0,0,0,0,2,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:04:00
943,943,943,944,0,162,179,163,162,162,119,119,117,162,162,162,0,16,0,0,0,162,0,16,179,0,26,26,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:06:00
953,953,953,952,0,166,184,163,166,166,133,133,129,166,166,166,0,21,0,0,0,166,0,21,184,0,27,27,0,0,0,0,3,0,3,3,3,3,3,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:08:00
942,942,942,942,0,137,175,156,137,137,157,157,153,137,137,137,0,19,0,0,0,137,0,19,175,0,26,26,0,0,0,0,3,0,2,2,2,2,2,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:10:00
983,983,983,985,0,150,196,174,149,149,133,133,127,149,149,150,0,22,0,0,0,149,0,22,196,0,29,29,0,0,0,0,6,2,5,5,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:12:00
977,977,977,975,0,148,186,162,149,149,144,144,139,149,149,148,0,24,0,0,0,149,0,24,186,0,26,26,0,0,0,0,5,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:14:00
994,994,994,994,0,147,204,189,147,147,135,135,130,147,147,147,0,15,0,0,0,147,0,15,204,0,26,26,0,0,0,0,5,3,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 12:16:00
