get metadata from header,parseDataReportFlag ok,parse metadata,infra.grpc.invoker,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Depts only have yunzhanghu,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,superiorAndDeputy empty,approve callback start,approve status error,svc.ApproveCallback failed,Response=<:MAP:>,message,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
944,944,944,944,0,139,178,160,139,139,147,147,139,142,139,139,18,0,139,178,18,29,29,5,5,5,5,5,5,2,2,2,2023-11-01 11:34:00,0
959,959,960,959,0,164,182,162,164,164,130,130,164,128,164,164,20,0,164,182,20,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 11:36:00,2
955,955,954,955,0,161,187,165,161,161,125,125,161,121,161,161,22,0,161,187,22,27,27,4,3,3,3,3,3,2,2,2,2023-11-01 11:38:00,8
920,920,920,921,0,154,189,168,154,154,129,129,154,125,154,154,21,0,154,189,21,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 11:40:00,1
1008,1008,1008,1008,0,138,203,187,138,138,165,165,138,161,138,138,16,0,138,203,16,29,29,4,5,5,5,5,5,2,2,2,2023-11-01 11:42:00,0
961,961,961,961,0,162,195,177,162,162,137,137,162,133,162,162,18,0,162,195,18,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 11:44:00,4
962,962,962,962,0,147,173,153,147,147,142,142,147,137,147,147,20,0,147,173,20,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 11:46:00,0
964,964,964,964,0,156,230,168,156,156,143,143,156,136,156,156,62,0,156,230,17,28,28,7,3,2,3,4,4,2,2,2,2023-11-01 11:48:00,47
972,972,972,972,0,165,190,181,165,165,151,151,165,146,165,165,9,0,165,190,9,28,28,5,4,4,4,4,4,2,2,2,2023-11-01 11:50:00,0
966,966,966,966,0,143,185,172,143,143,145,145,143,141,143,143,13,0,143,185,13,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 11:52:00,0
920,920,921,920,0,143,161,150,143,143,134,134,143,129,143,143,11,0,143,161,11,27,27,5,3,2,3,3,3,2,2,2,2023-11-01 11:54:00,1
943,943,942,943,0,142,195,166,142,142,143,143,142,141,142,142,29,0,142,195,29,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 11:56:00,9
990,990,990,990,0,154,179,166,154,154,143,143,154,142,154,154,13,0,154,179,13,29,29,1,5,4,5,5,5,2,2,2,2023-11-01 11:58:00,11
940,940,942,940,0,146,181,161,145,145,147,147,145,146,145,146,20,0,145,181,20,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 12:00:00,3
1005,1005,1003,1005,0,160,187,164,161,161,143,143,161,141,161,160,23,0,161,187,23,27,27,2,3,2,3,3,3,2,2,2,2023-11-01 12:02:00,2
1000,1000,1000,1002,0,156,188,164,156,156,143,143,156,141,156,156,24,0,156,188,24,28,28,2,4,4,4,4,4,2,2,2,2023-11-01 12:04:00,0
943,943,944,943,0,162,179,163,162,162,119,119,162,117,162,162,16,0,162,179,16,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 12:06:00,0
953,953,952,953,0,166,184,163,166,166,133,133,166,129,166,166,21,0,166,184,21,27,27,3,3,3,3,3,3,2,2,2,2023-11-01 12:08:00,1
942,942,942,942,0,137,175,156,137,137,157,157,137,153,137,137,19,0,137,175,19,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 12:10:00,1
983,983,985,983,0,150,196,174,149,149,133,133,149,127,149,150,22,0,149,196,22,29,29,6,5,5,5,5,5,2,2,2,2023-11-01 12:12:00,2
977,977,975,977,0,148,186,162,149,149,144,144,149,139,149,148,24,0,149,186,24,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 12:14:00,0
994,994,994,994,0,147,204,189,147,147,135,135,147,130,147,147,15,0,147,204,15,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 12:16:00,3
995,995,995,995,0,154,192,169,154,154,162,162,154,156,154,154,23,0,154,192,23,27,27,6,3,3,3,3,3,2,2,2,2023-11-01 12:18:00,7
961,961,961,961,0,145,176,153,145,145,141,141,145,135,145,145,23,0,145,176,23,28,28,6,4,4,4,4,4,2,2,2,2023-11-01 12:20:00,0
984,984,984,984,0,161,174,154,161,161,140,140,161,138,161,161,20,0,161,174,20,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 12:22:00,1
949,949,949,949,0,141,181,163,141,141,132,132,141,129,141,141,18,0,141,181,18,27,27,3,3,2,3,3,3,2,2,2,2023-11-01 12:24:00,2
955,955,955,955,0,149,183,168,149,149,135,135,149,135,149,149,15,0,149,183,15,26,26,0,2,2,2,2,2,2,2,2,2023-11-01 12:26:00,0
949,949,949,949,0,150,200,175,150,150,128,128,150,127,150,150,25,0,150,200,25,29,29,1,5,4,5,5,5,2,2,2,2023-11-01 12:28:00,1
990,990,990,990,0,147,187,160,147,147,146,146,147,141,147,147,27,0,147,187,27,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 12:30:00,1
959,959,959,960,0,147,177,160,147,147,148,148,147,146,147,147,17,0,147,177,17,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 12:32:00,2
955,955,955,955,0,151,173,157,151,151,138,138,151,136,151,151,16,0,151,173,16,29,29,2,5,5,5,5,5,2,2,2,2023-11-01 12:34:00,1
962,962,962,962,0,152,183,164,152,152,134,134,152,131,152,152,19,0,152,183,19,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 12:36:00,1
928,928,928,928,0,130,182,152,130,130,149,149,130,146,130,130,30,0,130,182,30,27,27,2,3,3,3,3,3,2,2,2,2023-11-01 12:38:00,3
979,979,979,979,0,149,173,159,149,149,152,152,149,148,149,149,14,0,149,173,14,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 12:40:00,0
994,994,994,994,0,164,193,172,164,164,148,148,164,145,164,164,21,0,164,193,21,29,29,3,5,5,5,5,5,2,2,2,2023-11-01 12:42:00,0
947,947,947,947,0,131,171,160,131,131,147,147,131,143,131,131,11,0,131,171,11,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 12:44:00,0
947,947,947,947,0,156,172,158,156,156,149,149,156,145,156,156,14,0,156,172,14,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 12:46:00,0
962,962,963,962,0,145,182,166,145,145,141,141,145,137,145,145,16,0,145,182,16,27,27,4,3,2,3,3,3,2,2,2,2023-11-01 12:48:00,1
981,981,980,981,0,164,187,167,164,164,136,136,164,133,164,164,20,0,164,187,20,28,28,3,4,4,4,4,4,2,2,2,2023-11-01 12:50:00,0
944,944,944,944,0,127,175,164,127,127,160,160,127,157,127,127,11,0,127,175,11,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 12:52:00,3
960,960,960,960,0,150,190,172,150,150,147,147,150,145,150,150,18,0,150,190,18,27,27,2,3,2,3,3,3,2,2,2,2023-11-01 12:54:00,3
927,927,927,927,0,148,171,150,148,148,142,142,148,137,148,148,21,0,148,171,21,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 12:56:00,2
948,948,948,948,0,158,179,159,158,158,137,137,158,134,158,158,20,0,158,179,20,29,29,3,5,5,5,5,5,2,2,2,2023-11-01 12:58:00,1
963,963,963,963,0,157,174,156,157,157,145,145,157,139,157,157,18,0,157,174,18,26,26,6,2,2,2,2,2,2,2,2,2023-11-01 13:00:00,0
969,969,969,969,0,159,173,155,159,159,153,153,159,149,159,159,18,0,159,173,18,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 13:02:00,0
961,961,961,961,0,142,175,159,142,142,149,149,142,145,142,142,16,0,142,175,16,27,27,4,3,3,3,3,3,2,2,2,2023-11-01 13:04:00,2
955,955,955,956,0,148,192,177,148,148,139,139,148,136,148,148,15,0,148,192,15,28,28,3,4,4,4,4,4,2,2,2,2023-11-01 13:06:00,1
938,938,938,938,0,141,181,157,141,141,144,144,141,142,141,141,24,0,141,181,24,27,27,2,3,3,3,3,3,2,2,2,2023-11-01 13:08:00,0
978,978,978,978,0,145,182,171,145,145,151,151,145,147,145,145,11,0,145,182,11,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 13:10:00,0
941,941,941,941,0,152,171,155,152,152,137,137,152,136,152,152,16,0,152,171,16,28,28,1,4,4,4,4,4,2,2,2,2023-11-01 13:12:00,0
956,956,956,956,0,146,187,164,146,146,138,138,146,130,146,146,23,0,146,187,23,27,27,8,3,2,3,3,3,2,2,2,2023-11-01 13:14:00,3
952,952,952,952,0,129,181,164,129,129,150,150,129,145,129,129,17,0,129,181,17,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 13:16:00,0
1023,1023,1023,1023,0,155,199,182,155,155,146,146,155,142,155,155,17,0,155,199,17,27,27,4,3,2,3,3,3,2,2,2,2023-11-01 13:18:00,1
956,956,956,956,0,135,193,164,135,135,145,145,135,143,135,135,29,0,135,193,29,28,28,2,4,4,4,4,4,2,2,2,2023-11-01 13:20:00,0
992,992,992,992,0,145,210,184,145,145,141,141,145,138,145,145,26,0,145,210,26,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 13:22:00,4
1000,1000,1000,1000,0,147,191,167,147,147,140,140,147,132,147,147,24,0,147,191,24,27,27,8,3,2,3,3,3,2,2,2,2023-11-01 13:24:00,4
962,962,962,962,0,161,172,154,161,161,130,130,161,126,161,161,18,0,161,172,18,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 13:26:00,0
952,952,952,952,0,142,172,161,142,142,154,154,142,150,142,142,11,0,142,172,11,29,29,4,5,5,5,5,5,2,2,2,2023-11-01 13:28:00,2
986,986,986,986,0,131,200,183,131,131,160,160,131,149,131,131,17,0,131,200,17,26,26,11,2,2,2,2,2,2,2,2,2023-11-01 13:30:00,0
943,943,945,943,0,144,274,150,144,144,135,135,144,133,144,144,124,0,144,274,124,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 13:32:00,10
952,952,950,952,0,153,181,162,153,153,151,151,153,148,153,153,19,0,153,181,19,29,29,3,5,5,5,5,5,2,2,2,2023-11-01 13:34:00,0
1003,1003,1004,1003,0,157,191,171,157,157,143,143,157,141,157,157,20,0,157,191,20,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 13:36:00,1
961,961,960,961,0,140,174,160,140,140,155,155,140,152,140,140,14,0,140,174,14,27,27,3,3,3,3,3,3,2,2,2,2023-11-01 13:38:00,0
962,962,962,962,0,157,178,155,157,157,147,147,157,144,157,157,23,0,157,178,23,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 13:40:00,0
967,967,968,967,0,142,203,175,141,141,134,134,141,131,141,142,28,0,141,203,28,28,28,3,4,4,4,4,4,2,2,2,2023-11-01 13:42:00,0
1000,1000,999,1000,0,161,197,178,162,162,136,136,162,133,162,161,19,0,162,197,19,27,27,3,3,2,3,3,3,2,2,2,2023-11-01 13:44:00,1
359,359,359,359,0,53,72,61,53,53,56,56,53,52,53,53,11,0,53,72,11,9,9,4,0,0,0,0,0,1,1,1,2023-11-01 13:46:00,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 13:48:00,0
42,42,41,42,0,0,12,12,0,0,8,8,0,8,0,0,0,0,0,12,0,2,2,0,0,0,0,0,0,0,0,0,2023-11-01 13:50:00,0
945,945,945,945,0,148,188,168,148,148,135,135,148,134,148,148,20,0,148,188,20,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 13:52:00,0
935,935,935,935,0,140,184,166,140,140,127,127,140,125,140,140,18,0,140,184,18,27,27,2,3,3,3,3,3,2,2,2,2023-11-01 13:54:00,0
990,990,990,990,0,154,183,165,154,154,157,157,154,150,154,154,18,0,154,183,18,26,26,7,2,2,2,2,2,2,2,2,2023-11-01 13:56:00,0
959,959,959,959,0,138,181,161,138,138,141,141,138,135,138,138,20,0,138,181,20,29,29,6,5,5,5,5,5,2,2,2,2023-11-01 13:58:00,0
948,948,948,948,0,156,183,160,156,156,138,138,156,135,156,156,23,0,156,183,23,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 14:00:00,0
954,954,954,954,0,147,192,175,147,147,137,137,147,136,147,147,17,0,147,192,17,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 14:02:00,0
937,937,937,937,0,147,170,152,147,147,132,132,147,131,147,147,18,0,147,170,18,29,29,1,5,5,5,5,5,2,2,2,2023-11-01 14:04:00,0
953,953,953,953,0,158,184,167,158,158,139,139,158,136,158,158,17,0,158,184,17,25,25,3,2,2,2,2,2,2,2,2,2023-11-01 14:06:00,0
947,947,947,947,0,162,282,160,162,162,132,132,162,127,162,162,122,0,162,282,122,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 14:08:00,0
974,974,974,974,0,139,181,164,139,139,147,147,139,143,139,139,17,0,139,181,17,27,27,4,3,2,3,3,3,2,2,2,2023-11-01 14:10:00,1
938,938,938,938,0,159,192,170,159,159,126,126,159,123,159,159,22,0,159,192,22,28,28,3,4,4,4,4,4,2,2,2,2023-11-01 14:12:00,0
972,972,972,972,0,129,177,165,129,129,167,167,129,159,129,129,12,0,129,177,12,27,27,8,3,2,3,3,3,2,2,2,2023-11-01 14:14:00,1
1000,1000,1001,1000,0,156,195,172,156,156,138,138,155,136,155,156,23,0,155,195,23,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 14:16:00,0
948,948,948,948,0,148,179,162,148,148,122,122,149,117,149,149,17,0,149,179,17,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 14:18:00,0
957,957,956,957,0,159,180,158,159,159,148,148,159,137,159,158,22,0,159,180,22,29,29,10,5,5,5,5,5,2,2,2,2023-11-01 14:20:00,0
952,952,952,952,0,160,196,173,160,160,138,138,160,137,160,160,23,0,160,196,23,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 14:22:00,1
950,950,950,950,0,144,188,169,144,144,146,146,144,142,144,144,19,0,144,188,19,27,27,4,3,3,3,3,3,2,2,2,2023-11-01 14:24:00,0
990,990,990,990,0,164,179,166,164,164,141,141,164,137,164,164,13,0,164,179,13,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 14:26:00,0
978,978,978,978,0,152,182,163,152,152,137,137,152,134,152,152,19,0,152,182,19,29,29,3,5,5,5,5,5,2,2,2,2023-11-01 14:28:00,0
946,946,946,946,0,151,177,157,151,151,142,142,151,140,151,151,20,0,151,177,20,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 14:30:00,0
915,915,916,915,0,141,166,159,141,141,142,142,141,141,141,141,7,0,141,166,7,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 14:32:00,0
948,948,947,948,0,151,174,156,151,151,138,138,151,136,151,151,18,0,151,174,18,27,27,2,3,2,3,3,3,2,2,2,2023-11-01 14:34:00,1
2707,2707,2707,2707,778,121,200,184,121,121,162,162,121,159,121,121,16,778,121,200,16,28,28,1,4,4,4,4,4,2,2,2,2023-11-01 14:36:00,5
5596,5596,5597,5596,2040,83,230,216,83,83,189,189,83,185,83,83,14,2040,83,230,14,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 14:38:00,3
5654,5654,5653,5654,2054,96,230,213,96,96,182,182,96,179,96,96,17,2054,96,230,17,27,27,3,3,2,3,3,3,2,2,2,2023-11-01 14:40:00,1
5612,5612,5612,5612,2036,88,245,217,88,88,177,177,88,175,88,88,28,2036,88,245,28,28,28,2,4,4,4,4,4,2,2,2,2023-11-01 14:42:00,0
5665,5665,5665,5665,2052,96,231,208,96,96,192,192,96,189,96,96,23,2052,96,231,23,27,27,3,3,3,3,3,3,2,2,2,2023-11-01 14:44:00,0
5611,5611,5611,5611,2046,82,223,205,82,82,194,194,82,189,82,82,18,2046,82,223,18,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 14:46:00,0
5608,5608,5609,5608,2025,101,227,208,101,101,187,187,101,187,101,101,19,2025,101,227,19,26,26,0,2,2,2,2,2,2,2,2,2023-11-01 14:48:00,0
5589,5589,5588,5589,2024,100,241,217,100,100,174,174,100,173,100,100,24,2024,100,241,24,29,29,1,5,5,5,5,5,2,2,2,2023-11-01 14:50:00,0
5628,5628,5628,5627,2029,87,236,220,87,87,192,192,87,189,87,87,16,2029,87,236,16,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 14:52:00,0
5641,5641,5641,5642,2041,84,237,210,84,84,203,203,84,197,84,84,27,2041,84,237,27,27,27,6,3,3,3,3,3,2,2,2,2023-11-01 14:54:00,0
5616,5616,5616,5616,2032,99,229,214,99,99,187,187,99,182,99,99,15,2032,99,229,15,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 14:56:00,0
5578,5578,5579,5578,2010,93,250,219,93,93,196,196,93,192,93,93,31,2010,93,250,31,28,28,4,4,4,4,4,4,2,2,2,2023-11-01 14:58:00,0
5610,5610,5609,5612,2026,88,240,215,88,88,183,183,88,182,88,88,25,2026,88,240,25,27,27,1,3,2,3,3,3,2,2,2,2023-11-01 15:00:00,7
5611,5611,5612,5614,2034,100,231,211,100,100,195,195,100,191,100,100,20,2034,100,231,20,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 15:02:00,12
5630,5630,5630,5630,2035,100,238,215,100,100,182,182,100,178,100,100,23,2035,100,238,23,27,27,4,3,3,3,3,3,2,2,2,2023-11-01 15:04:00,2
5651,5651,5651,5650,2038,90,248,230,90,90,186,186,90,184,90,90,18,2038,90,248,18,31,31,2,5,5,5,6,5,2,2,2,2023-11-01 15:06:00,5
5621,5621,5620,5621,2036,90,226,207,90,90,189,189,90,186,90,90,19,2036,90,226,19,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 15:08:00,11
5670,5670,5670,5670,2044,111,237,207,111,111,191,191,111,187,111,111,30,2044,111,237,30,27,27,4,3,2,3,3,3,2,2,2,2023-11-01 15:10:00,29
5634,5634,5634,5634,2026,88,231,213,88,88,197,197,88,187,88,88,18,2026,88,231,18,26,26,10,2,2,2,2,2,2,2,2,2023-11-01 15:12:00,0
5600,5600,5600,5602,2030,88,245,217,88,88,199,199,88,191,88,88,28,2030,88,245,28,29,29,7,5,4,5,5,5,2,2,2,2023-11-01 15:14:00,8
5667,5667,5668,5667,2039,103,239,205,103,103,197,197,103,193,103,103,34,2039,103,239,34,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 15:16:00,2
5637,5637,5638,5637,2035,92,239,212,92,92,191,191,92,181,92,92,27,2035,92,239,27,27,27,10,3,3,3,3,3,2,2,2,2023-11-01 15:18:00,0
5626,5626,5624,5626,2035,83,241,216,83,83,192,192,83,188,83,83,25,2035,83,241,25,29,29,4,5,5,5,5,5,2,2,2,2023-11-01 15:20:00,0
5629,5629,5630,5629,2025,104,242,209,104,104,194,194,104,190,104,104,33,2025,104,242,33,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 15:22:00,0
5614,5614,5613,5613,2033,90,236,209,90,90,189,189,90,182,90,90,27,2033,90,236,27,27,27,7,3,3,3,3,3,2,2,2,2023-11-01 15:24:00,0
5567,5567,5567,5567,2029,79,247,213,79,79,197,197,79,190,79,79,34,2029,79,247,34,26,26,6,2,2,2,2,2,2,2,2,2023-11-01 15:26:00,1
5623,5623,5623,5623,2031,99,340,215,99,99,199,199,99,191,99,99,125,2031,99,340,125,29,29,8,5,5,5,5,5,2,2,2,2023-11-01 15:28:00,8
5598,5598,5598,5598,2039,87,233,211,87,87,181,181,87,177,87,87,22,2039,87,233,22,27,27,4,3,3,3,3,3,2,2,2,2023-11-01 15:30:00,0
5651,5651,5652,5654,2049,96,238,206,96,96,185,185,96,178,96,96,32,2049,96,238,32,26,26,7,2,2,2,2,2,2,2,2,2023-11-01 15:32:00,0
5649,5649,5648,5649,2044,96,239,207,96,96,186,186,96,183,96,96,32,2044,96,239,32,27,27,3,3,2,3,3,3,2,2,2,2023-11-01 15:34:00,1
5623,5623,5624,5623,2031,101,246,219,101,101,194,194,101,186,101,101,27,2031,101,246,27,28,28,8,4,4,4,4,4,2,2,2,2023-11-01 15:36:00,0
5596,5596,5595,5596,2026,83,266,234,83,83,195,195,83,189,83,83,32,2026,83,266,32,47,47,6,3,2,3,13,3,2,2,2,2023-11-01 15:38:00,31
5597,5597,5598,5597,2035,89,217,200,89,89,186,186,89,183,89,89,17,2035,89,217,17,28,28,3,2,2,2,3,2,2,2,2,2023-11-01 15:40:00,7
5613,5613,5612,5613,2033,95,235,206,95,95,191,191,95,182,95,95,29,2033,95,235,29,27,27,9,3,3,3,3,3,2,2,2,2023-11-01 15:42:00,1
5611,5611,5612,5611,2032,81,254,218,81,81,195,195,81,185,81,81,36,2032,81,254,36,26,26,10,2,2,2,2,2,2,2,2,2023-11-01 15:44:00,3
5588,5588,5588,5590,2028,86,237,211,86,86,181,181,86,179,86,86,26,2028,86,237,26,29,29,1,5,5,5,5,5,2,2,2,2023-11-01 15:46:00,4
5567,5567,5566,5567,2005,86,298,221,86,86,191,191,86,183,86,86,77,2005,86,298,26,28,28,8,3,3,3,4,4,2,2,2,2023-11-01 15:48:00,52
7512,7512,7515,7512,2873,81,251,222,81,81,205,205,81,203,81,81,29,2873,81,251,29,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 15:50:00,0
10284,10284,10281,10284,4073,48,287,263,48,48,238,238,48,236,48,48,24,4073,48,287,24,27,27,2,3,3,3,3,3,2,2,2,2023-11-01 15:52:00,8
10280,10280,10281,10280,4065,48,292,263,48,48,239,239,48,237,48,48,29,4065,48,292,29,28,28,2,4,4,4,4,4,2,2,2,2023-11-01 15:54:00,8
10277,10277,10280,10280,4066,48,289,261,48,48,242,242,48,237,48,48,28,4066,48,289,28,27,27,5,3,2,3,3,3,2,2,2,2023-11-01 15:56:00,1
10278,10278,10275,10278,4057,46,296,262,46,46,241,241,46,236,46,46,34,4057,46,296,34,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 15:58:00,1
10284,10284,10284,10284,4074,48,279,261,48,48,241,241,48,237,48,48,18,4074,48,279,18,27,27,4,3,2,3,3,3,2,2,2,2023-11-01 16:00:00,10
10180,10180,10181,10178,4005,48,284,260,48,48,239,239,48,235,48,48,24,4005,48,284,24,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 16:02:00,1
10229,10229,10228,10228,4046,48,283,265,48,48,241,241,48,236,48,48,18,4046,48,283,18,29,29,4,5,5,5,5,5,2,2,2,2023-11-01 16:04:00,3
10189,10189,10190,10190,4010,48,289,261,48,48,240,240,48,236,48,48,28,4010,48,289,28,27,27,3,3,3,3,3,3,2,2,2,2023-11-01 16:06:00,1
10292,10292,10291,10292,4074,46,278,261,46,46,241,241,46,236,46,46,17,4074,46,278,17,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 16:08:00,1
10259,10259,10259,10259,4054,48,289,262,48,48,238,238,48,237,48,48,27,4054,48,289,27,27,27,1,3,3,3,3,3,2,2,2,2023-11-01 16:10:00,0
10287,10287,10286,10287,4065,48,294,264,48,48,240,240,48,236,48,48,30,4065,48,294,30,29,29,4,5,5,5,5,5,2,2,2,2023-11-01 16:12:00,4
10335,10335,10336,10335,4088,48,281,263,48,48,247,247,48,238,48,48,18,4088,48,281,18,26,26,8,2,2,2,2,2,2,2,2,2023-11-01 16:14:00,6
10214,10214,10217,10214,4038,48,277,261,48,48,239,239,48,234,48,48,16,4038,48,277,16,27,27,5,3,3,3,3,3,2,2,2,2023-11-01 16:16:00,8
10247,10247,10243,10247,4047,48,279,259,48,48,238,238,48,236,48,48,20,4047,48,279,20,26,26,2,2,2,2,2,2,2,2,2,2023-11-01 16:18:00,2
10311,10311,10311,10311,4072,48,295,265,48,48,243,243,48,238,48,48,30,4072,48,295,30,29,29,5,5,4,5,5,5,2,2,2,2023-11-01 16:20:00,1
10200,10200,10201,10200,4011,48,281,260,48,48,241,241,48,235,48,48,21,4011,48,281,21,26,26,6,2,2,2,2,2,2,2,2,2023-11-01 16:22:00,0
10281,10281,10283,10281,4058,47,285,261,46,46,243,243,46,236,46,47,24,4058,46,285,24,27,27,6,3,2,3,3,3,2,2,2,2023-11-01 16:24:00,1
10293,10293,10291,10293,4063,47,291,262,48,48,243,243,48,238,48,47,29,4063,48,291,29,27,27,5,3,3,3,3,3,2,2,2,2023-11-01 16:26:00,4
10286,10286,10286,10286,4064,48,283,263,48,48,242,242,48,236,48,48,20,4064,48,283,20,28,28,6,4,4,4,4,4,2,2,2,2023-11-01 16:28:00,1
